Chile, Life expectancy at birth (period, 1x1)	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1992        77.48    71.46    74.50
  1993        77.66    71.42    74.56
  1994        78.19    71.82    75.03
  1995        78.24    71.64    74.95
  1996        78.61    71.87    75.24
  1997        79.08    72.54    75.82
  1998        79.05    72.77    75.93
  1999        79.18    73.02    76.13
  2000        79.93    73.71    76.85
  2001        79.83    73.58    76.73
  2002        80.39    74.07    77.27
  2003        80.40    74.20    77.33
  2004        80.41    74.28    77.38
  2005        80.75    74.71    77.78
  2006        81.08    75.17    78.18
  2007        80.58    74.62    77.64
  2008        81.20    75.19    78.24
  2009        81.38    75.33    78.40
  2010        81.00    75.22    78.15
  2011        81.52    75.93    78.78
  2012        81.39    76.07    78.79
  2013        81.72    76.15    78.99
  2014        81.78    76.30    79.09
  2015        81.97    76.53    79.30
  2016        82.13    76.89    79.57
  2017        82.25    77.10    79.74
  2018        82.51    77.35    79.99
  2019        82.57    77.38    80.03
  2020        81.81    76.07    78.96
