Germany, Life expectancy at birth (period, 1x1)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1990        78.42    71.91    75.35
  1991        78.69    72.09    75.56
  1992        79.14    72.53    76.01
  1993        79.21    72.63    76.09
  1994        79.51    72.95    76.39
  1995        79.69    73.12    76.56
  1996        79.86    73.42    76.79
  1997        80.27    73.88    77.23
  1998        80.54    74.32    77.58
  1999        80.75    74.58    77.81
  2000        80.99    74.86    78.06
  2001        81.27    75.28    78.41
  2002        81.28    75.44    78.48
  2003        81.37    75.51    78.54
  2004        81.89    76.15    79.13
  2005        81.96    76.36    79.26
  2006        82.24    76.75    79.59
  2007        82.40    76.91    79.74
  2008        82.39    77.10    79.82
  2009        82.48    77.23    79.92
  2010        82.62    77.43    80.08
  2011        82.82    77.77    80.35
  2012        82.94    77.96    80.50
  2013        82.86    77.98    80.46
  2014        83.33    78.43    80.92
  2015        82.97    78.13    80.57
  2016        83.26    78.38    80.84
  2017        83.29    78.56    80.94
  2018        83.23    78.51    80.88
  2019        83.54    78.83    81.20
  2020        83.43    78.60    81.01
