West Germany, Life expectancy at birth (period, 1x1)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1956        70.89    65.93    68.49
  1957        71.06    65.82    68.53
  1958        71.80    66.67    69.33
  1959        72.04    66.80    69.52
  1960        71.89    66.51    69.30
  1961        72.45    66.97    69.82
  1962        72.79    67.11    70.06
  1963        72.76    67.07    70.02
  1964        73.55    67.60    70.69
  1965        73.41    67.59    70.63
  1966        73.52    67.55    70.66
  1967        73.81    67.74    70.91
  1968        73.45    67.41    70.57
  1969        73.37    67.16    70.40
  1970        73.64    67.33    70.62
  1971        73.85    67.47    70.80
  1972        74.17    67.63    71.04
  1973        74.38    67.85    71.26
  1974        74.66    68.25    71.62
  1975        74.66    68.07    71.53
  1976        75.14    68.56    72.02
  1977        75.85    69.20    72.72
  1978        75.90    69.18    72.73
  1979        76.32    69.65    73.18
  1980        76.62    69.87    73.44
  1981        76.80    70.14    73.68
  1982        77.11    70.47    74.00
  1983        77.37    70.73    74.26
  1984        77.93    71.28    74.83
  1985        78.06    71.50    75.01
  1986        78.28    71.77    75.25
  1987        78.73    72.14    75.66
  1988        78.94    72.41    75.88
  1989        79.03    72.56    76.00
  1990        79.01    72.61    76.00
  1991        79.23    72.76    76.18
  1992        79.61    73.15    76.56
  1993        79.55    73.19    76.54
  1994        79.84    73.49    76.83
  1995        79.96    73.59    76.93
  1996        80.09    73.84    77.11
  1997        80.45    74.25    77.50
  1998        80.69    74.61    77.80
  1999        80.83    74.85    77.99
  2000        81.07    75.13    78.24
  2001        81.34    75.51    78.56
  2002        81.35    75.68    78.64
  2003        81.39    75.74    78.67
  2004        81.92    76.38    79.26
  2005        82.00    76.57    79.38
  2006        82.27    76.99    79.73
  2007        82.43    77.12    79.86
  2008        82.41    77.32    79.94
  2009        82.49    77.45    80.04
  2010        82.64    77.66    80.21
  2011        82.84    77.99    80.48
  2012        82.93    78.18    80.61
  2013        82.86    78.21    80.58
  2014        83.31    78.66    81.03
  2015        82.95    78.37    80.69
  2016        83.25    78.63    80.97
  2017        83.28    78.80    81.07
  2018        83.24    78.77    81.02
  2019        83.53    79.07    81.31
  2020        83.44    78.90    81.18
