France, Total Population, Life expectancy at birth (period, 1x1)	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1816        41.12    39.08    40.10
  1817        40.23    38.25    39.23
  1818        39.10    38.12    38.60
  1819        37.94    36.75    37.32
  1820        39.98    38.62    39.28
  1821        40.43    39.37    39.88
  1822        39.04    37.72    38.37
  1823        40.82    39.29    40.04
  1824        39.97    38.50    39.21
  1825        39.07    38.13    38.58
  1826        38.33    37.31    37.80
  1827        40.14    38.72    39.41
  1828        38.31    36.94    37.60
  1829        40.27    38.65    39.44
  1830        40.37    38.93    39.63
  1831        40.57    38.95    39.73
  1832        36.54    35.27    35.87
  1833        39.59    38.22    38.88
  1834        35.81    34.42    35.09
  1835        40.45    38.63    39.52
  1836        42.79    41.24    42.00
  1837        40.00    38.87    39.42
  1838        40.01    38.75    39.37
  1839        41.56    40.36    40.95
  1840        41.17    39.68    40.41
  1841        41.76    39.71    40.71
  1842        40.91    39.18    40.03
  1843        41.42    40.17    40.79
  1844        42.97    41.71    42.33
  1845        44.22    43.00    43.61
  1846        41.32    40.09    40.70
  1847        41.21    39.71    40.45
  1848        41.13    39.54    40.33
  1849        36.70    35.23    35.95
  1850        44.00    42.63    43.31
  1851        42.41    41.21    41.80
  1852        41.95    40.76    41.35
  1853        43.24    41.90    42.55
  1854        37.02    35.36    36.16
  1855        39.50    35.81    37.56
  1856        41.32    39.13    40.19
  1857        40.16    39.07    39.60
  1858        40.06    39.38    39.71
  1859        35.94    34.75    35.32
  1860        43.87    42.85    43.35
  1861        41.03    40.15    40.58
  1862        43.31    42.11    42.70
  1863        42.45    41.21    41.82
  1864        42.78    41.37    42.06
  1865        40.93    39.50    40.20
  1866        42.57    41.11    41.82
  1867        43.21    41.65    42.41
  1868        41.19    39.43    40.29
  1869        42.12    40.17    41.12
  1870        38.47    34.77    36.52
  1871        32.58    27.34    29.74
  1872        43.63    41.44    42.50
  1873        42.81    40.97    41.87
  1874        45.28    43.36    44.29
  1875        44.11    42.33    43.19
  1876        44.72    42.53    43.59
  1877        45.31    43.33    44.29
  1878        44.42    42.37    43.37
  1879        45.09    42.92    43.98
  1880        43.81    41.84    42.79
  1881        44.66    42.38    43.48
  1882        44.41    41.93    43.14
  1883        44.55    42.06    43.27
  1884        43.78    41.23    42.46
  1885        45.28    42.68    43.94
  1886        44.49    41.91    43.17
  1887        44.99    42.51    43.72
  1888        45.68    42.71    44.15
  1889        46.97    44.17    45.54
  1890        44.84    42.11    43.43
  1891        45.56    42.75    44.11
  1892        45.03    42.18    43.56
  1893        45.14    42.05    43.55
  1894        47.15    43.93    45.49
  1895        46.91    43.71    45.26
  1896        49.13    45.94    47.49
  1897        49.55    46.29    47.88
  1898        47.69    44.40    46.01
  1899        46.95    43.47    45.17
  1900        46.95    43.34    45.10
  1901        48.86    45.23    47.00
  1902        49.77    46.28    47.98
  1903        50.12    46.76    48.40
  1904        49.78    46.43    48.07
  1905        50.27    46.57    48.38
  1906        49.67    45.89    47.73
  1907        50.26    46.46    48.30
  1908        51.30    47.40    49.29
  1909        52.04    48.08    50.01
  1910        53.33    49.47    51.35
  1911        50.16    46.35    48.21
  1912        53.73    49.48    51.55
  1913        53.43    49.40    51.36
  1914        53.29    29.37    38.23
  1915        52.73    27.28    36.55
  1916        52.39    30.84    39.75
  1917        51.89    35.49    42.97
  1918        42.97    28.37    34.84
  1919        50.32    43.86    47.14
  1920        53.71    49.94    51.82
  1921        54.77    50.63    52.69
  1922        56.85    52.94    54.89
  1923        56.67    52.53    54.59
  1924        57.40    53.02    55.19
  1925        56.70    52.05    54.35
  1926        56.18    51.77    53.96
  1927        57.80    53.68    55.74
  1928        57.56    53.28    55.41
  1929        56.55    51.97    54.24
