England and Wales, Civilian National Population, Life expectancy at birth (period, 1x1)	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1841        42.65    40.61    41.62
  1842        42.21    40.42    41.30
  1843        42.82    40.84    41.81
  1844        42.50    40.53    41.49
  1845        43.53    41.49    42.49
  1846        40.95    38.91    39.91
  1847        39.29    37.33    38.29
  1848        40.50    38.46    39.46
  1849        38.17    36.54    37.34
  1850        43.66    41.86    42.75
  1851        42.36    40.40    41.36
  1852        41.97    39.81    40.87
  1853        41.65    39.42    40.51
  1854        40.33    38.30    39.30
  1855        42.15    39.88    40.99
  1856        44.32    42.12    43.21
  1857        42.80    40.90    41.84
  1858        40.92    39.08    39.99
  1859        41.79    39.80    40.77
  1860        44.10    41.82    42.94
  1861        43.49    41.17    42.31
  1862        43.67    41.31    42.47
  1863        41.59    39.17    40.36
  1864        41.23    38.68    39.93
  1865        42.00    39.28    40.62
  1866        41.70    39.10    40.38
  1867        44.04    41.17    42.58
  1868        43.35    40.62    41.97
  1869        43.09    40.19    41.62
  1870        42.43    39.43    40.91
  1871        42.84    39.75    41.28
  1872        44.53    41.25    42.87
  1873        45.41    42.12    43.74
  1874        43.66    40.54    42.07
  1875        43.42    40.24    41.81
  1876        45.40    41.94    43.65
  1877        46.50    42.89    44.67
  1878        44.61    41.39    42.98
  1879        45.89    42.58    44.22
  1880        45.36    42.13    43.73
  1881        47.65    44.54    46.08
  1882        46.35    43.34    44.83
  1883        46.65    43.49    45.05
  1884        46.31    43.20    44.74
  1885        47.25    44.22    45.72
  1886        46.87    43.74    45.29
  1887        47.15    44.11    45.62
  1888        48.49    45.09    46.78
  1889        47.95    44.69    46.31
  1890        46.53    42.95    44.72
  1891        46.01    42.52    44.24
  1892        47.08    43.87    45.46
  1893        46.45    43.24    44.83
  1894        49.94    46.67    48.30
  1895        47.33    44.07    45.69
  1896        49.05    45.71    47.37
  1897        49.08    45.34    47.19
  1898        48.76    45.19    46.96
  1899        47.98    44.29    46.12
  1900        48.25    44.39    46.30
  1901        49.82    45.98    47.89
  1902        51.02    47.12    49.05
  1903        52.32    48.48    50.39
  1904        50.95    47.25    49.09
  1905        52.68    48.99    50.83
  1906        52.46    48.68    50.56
  1907        53.27    49.56    51.41
  1908        53.77    49.87    51.81
  1909        54.29    50.67    52.48
  1910        55.86    52.05    53.95
  1911        53.48    49.56    51.51
  1912        56.41    52.61    54.51
  1913        55.86    51.75    53.79
  1914        55.67    51.29    53.49
  1915        54.32    48.50    51.54
  1916        57.07    49.68    53.87
  1917        57.24    48.63    53.73
  1918        50.25    41.06    46.65
  1919        56.61    50.54    53.82
  1920        58.71    54.02    56.39
  1921        60.20    56.21    58.21
  1922        59.50    55.65    57.59
  1923        61.67    57.68    59.69
  1924        60.68    56.69    58.70
  1925        60.82    56.87    58.85
  1926        62.03    58.00    60.03
  1927        61.36    57.25    59.32
  1928        62.52    58.32    60.44
  1929        59.96    55.91    57.94
  1930        63.46    59.10    61.29
  1931        62.41    58.25    60.34
  1932        63.01    59.01    61.02
  1933        62.91    58.99    60.97
  1934        63.72    59.72    61.74
  1935        64.54    60.45    62.51
  1936        64.42    60.11    62.28
  1937        64.46    60.17    62.33
  1938        65.96    61.43    63.72
  1939        66.24    61.78    64.04
  1940        63.94    58.61    61.33
  1941        64.74    58.73    61.94
  1942        67.31    61.36    64.61
  1943        67.23    61.48    64.66
  1944        68.09    61.96    65.35
  1945        68.76    63.19    66.20
  1946        69.15    64.16    66.74
  1947        69.28    64.40    66.88
  1948        71.10    66.38    68.80
  1949        70.72    66.11    68.46
  1950        71.33    66.52    68.98
  1951        71.05    65.95    68.54
  1952        72.47    67.08    69.83
  1953        72.62    67.32    70.04
  1954        73.13    67.66    70.46
  1955        73.08    67.58    70.39
  1956        73.36    67.77    70.63
  1957        73.59    67.83    70.77
  1958        73.77    67.99    70.94
  1959        73.89    68.15    71.09
  1960        74.15    68.25    71.27
  1961        73.88    68.02    71.01
  1962        74.01    68.01    71.06
