Scotland, Life expectancy at birth (period, 1x1)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1855        44.35    41.48    42.98
  1856        45.99    42.54    44.32
  1857        45.12    41.80    43.51
  1858        44.55    41.45    43.05
  1859        45.17    42.49    43.87
  1860        42.67    40.25    41.49
  1861        45.32    42.67    44.03
  1862        43.78    41.32    42.58
  1863        41.91    39.36    40.67
  1864        41.50    38.79    40.18
  1865        43.25    40.61    41.96
  1866        43.54    40.98    42.29
  1867        44.95    42.14    43.57
  1868        44.81    41.94    43.41
  1869        42.50    39.80    41.18
  1870        43.17    40.47    41.84
  1871        42.45    40.44    41.47
  1872        43.20    40.25    41.75
  1873        43.84    40.36    42.11
  1874        42.13    39.03    40.59
  1875        41.95    39.88    40.93
  1876        45.33    42.11    43.74
  1877        46.11    42.90    44.52
  1878        44.84    42.24    43.57
  1879        46.41    44.10    45.28
  1880        45.28    42.45    43.89
  1881        46.81    44.05    45.46
  1882        46.43    43.96    45.23
  1883        45.63    43.14    44.42
  1884        46.35    43.73    45.06
  1885        46.77    44.50    45.66
  1886        47.49    45.13    46.33
  1887        46.96    44.76    45.89
  1888        48.42    46.38    47.43
  1889        47.68    45.30    46.52
  1890        45.67    43.26    44.48
  1891        45.08    42.78    43.95
  1892        47.53    45.04    46.31
  1893        46.03    43.59    44.83
  1894        49.17    46.93    48.08
  1895        46.51    43.70    45.10
  1896        50.05    47.31    48.70
  1897        47.70    44.92    46.33
  1898        48.08    45.20    46.66
  1899        48.37    45.33    46.86
  1900        48.05    44.81    46.43
  1901        48.15    45.28    46.73
  1902        49.89    46.56    48.23
  1903        50.55    47.41    48.99
  1904        49.80    47.12    48.48
  1905        51.11    48.27    49.71
  1906        51.11    48.35    49.75
  1907        50.70    48.18    49.46
  1908        50.63    47.70    49.18
  1909        52.06    49.28    50.69
  1910        52.80    49.75    51.29
  1911        53.01    49.97    51.50
  1912        53.17    50.11    51.65
  1913        53.09    49.91    51.50
  1914        52.92    49.76    51.35
  1915        50.75    47.11    48.92
  1916        54.49    50.97    52.73
  1917        54.49    50.77    52.62
  1918        50.41    47.30    48.87
  1919        52.51    49.08    50.80
  1920        55.89    52.06    53.96
  1921        57.47    54.36    55.92
  1922        55.17    52.15    53.66
  1923        58.96    55.68    57.33
  1924        56.39    52.94    54.66
  1925        58.26    54.38    56.32
  1926        58.99    55.40    57.19
  1927        58.66    54.89    56.78
  1928        58.60    55.10    56.86
  1929        57.78    53.92    55.84
  1930        59.43    55.65    57.54
  1931        59.90    56.16    58.04
  1932        59.11    55.97    57.56
  1933        60.47    56.72    58.61
  1934        60.62    56.93    58.78
  1935        61.19    57.48    59.34
  1936        60.87    56.79    58.84
  1937        60.90    56.73    58.82
  1938        62.50    58.83    60.69
  1939        63.44    58.89    61.17
  1940        61.41    55.48    58.52
  1941        60.95    53.61    57.64
  1942        63.77    55.85    60.37
  1943        63.59    55.63    60.25
  1944        64.64    56.65    61.20
  1945        65.93    59.68    63.03
  1946        65.44    60.65    63.11
  1947        65.51    61.19    63.39
  1948        67.53    63.46    65.55
  1949        67.53    63.69    65.66
  1950        68.17    64.15    66.21
  1951        68.42    64.14    66.33
  1952        69.57    65.04    67.36
  1953        70.67    65.59    68.19
  1954        70.58    65.51    68.10
  1955        70.66    65.74    68.26
  1956        71.24    65.94    68.65
  1957        71.42    65.84    68.68
  1958        71.41    66.15    68.84
  1959        71.58    65.97    68.83
  1960        71.95    66.32    69.19
  1961        71.89    66.16    69.08
  1962        72.12    66.10    69.15
  1963        71.98    65.87    68.96
  1964        72.84    66.71    69.83
  1965        72.73    66.60    69.72
  1966        72.65    66.69    69.73
  1967        73.69    67.47    70.65
  1968        73.22    67.01    70.18
  1969        73.21    67.02    70.17
  1970        73.43    67.13    70.34
  1971        73.96    67.55    70.82
  1972        73.68    67.32    70.55
  1973        73.87    67.34    70.65
  1974        73.82    67.54    70.74
  1975        74.41    67.91    71.22
  1976        74.35    67.95    71.21
  1977        74.72    68.42    71.65
  1978        74.41    68.36    71.45
  1979        74.55    68.37    71.52
  1980        75.22    68.94    72.15
  1981        75.43    69.11    72.34
  1982        75.29    69.25    72.34
  1983        75.73    69.65    72.77
  1984        75.92    69.90    72.99
  1985        75.84    70.05    73.03
  1986        76.30    70.09    73.26
  1987        76.55    70.48    73.60
  1988        76.73    70.49    73.69
  1989        76.18    70.66    73.50
  1990        76.94    71.12    74.12
  1991        77.15    71.38    74.35
  1992        77.30    71.60    74.54
  1993        76.98    71.40    74.26
  1994        77.74    72.11    75.02
  1995        77.69    72.11    74.98
  1996        77.82    72.01    74.99
  1997        78.11    72.56    75.42
  1998        78.23    72.63    75.50
  1999        78.24    72.70    75.54
  2000        78.62    73.18    75.98
  2001        78.82    73.37    76.17
  2002        78.86    73.32    76.16
  2003        78.86    73.73    76.36
  2004        79.39    74.23    76.88
  2005        79.46    74.66    77.14
  2006        79.75    74.82    77.36
  2007        79.80    74.84    77.38
  2008        79.93    75.26    77.65
  2009        80.42    75.90    78.22
  2010        80.61    76.22    78.48
  2011        80.82    76.49    78.72
  2012        80.81    76.79    78.85
  2013        81.06    77.02    79.10
  2014        81.33    77.31    79.37
  2015        81.05    76.96    79.04
  2016        81.09    76.95    79.06
  2017        81.17    77.14    79.19
  2018        81.05    77.07    79.09
  2019        81.24    77.21    79.26
  2020        80.76    76.17    78.47
  2021        80.54    76.38    78.48
