Japan, Life expectancy at birth (period, 1x1)	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1947        53.67    49.81    51.71
  1948        58.65    55.03    56.84
  1949        59.45    55.97    57.72
  1950        60.88    57.57    59.23
  1951        62.61    59.30    60.96
  1952        64.67    61.26    62.97
  1953        65.07    61.54    63.30
  1954        66.57    62.47    64.51
  1955        67.77    63.62    65.68
  1956        67.67    63.43    65.53
  1957        67.62    63.27    65.41
  1958        69.31    64.75    67.01
  1959        69.79    65.12    67.43
  1960        70.14    65.30    67.69
  1961        70.83    65.91    68.34
  1962        71.14    66.20    68.64
  1963        72.28    67.20    69.72
  1964        72.76    67.63    70.17
  1965        72.85    67.68    70.23
  1966        73.65    68.45    71.03
  1967        73.99    68.79    71.38
  1968        74.28    69.04    71.65
  1969        74.63    69.21    71.90
  1970        74.68    69.32    71.99
  1971        75.48    70.13    72.81
  1972        75.94    70.53    73.24
  1973        76.02    70.76    73.41
  1974        76.37    71.25    73.84
  1975        76.88    71.75    74.35
  1976        77.29    72.13    74.75
  1977        77.86    72.67    75.31
  1978        78.22    72.96    75.65
  1979        78.76    73.43    76.16
  1980        78.76    73.38    76.13
  1981        79.16    73.81    76.55
  1982        79.73    74.26    77.07
  1983        79.83    74.24    77.10
  1984        80.26    74.60    77.50
  1985        80.55    74.89    77.80
  1986        80.98    75.27    78.21
  1987        81.43    75.65    78.63
  1988        81.33    75.59    78.54
  1989        81.80    75.97    78.98
  1990        81.86    75.94    78.99
  1991        82.17    76.16    79.26
  1992        82.29    76.13    79.30
  1993        82.45    76.27    79.44
  1994        82.90    76.59    79.83
  1995        82.78    76.41    79.68
  1996        83.50    77.03    80.36
  1997        83.73    77.24    80.58
  1998        83.92    77.21    80.65
  1999        83.92    77.17    80.62
  2000        84.52    77.68    81.19
  2001        84.85    78.01    81.52
  2002        85.15    78.28    81.81
  2003        85.25    78.32    81.87
  2004        85.50    78.61    82.15
  2005        85.42    78.50    82.04
  2006        85.70    78.92    82.40
  2007        85.88    79.10    82.58
  2008        85.95    79.21    82.66
  2009        86.33    79.51    83.00
  2010        86.24    79.51    82.95
  2011        85.86    79.40    82.70
  2012        86.36    79.90    83.20
  2013        86.56    80.17    83.43
  2014        86.77    80.45    83.68
  2015        86.97    80.72    83.91
  2016        87.12    80.93    84.09
  2017        87.26    81.06    84.22
  2018        87.31    81.21    84.32
  2019        87.44    81.36    84.45
  2020        87.74    81.57    84.71
  2021        87.60    81.48    84.58
  2022        87.11    81.07    84.10
