Republic of Korea, Life expectancy at birth (period, 1x1)	Last modified: 20 Jul 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  2003        80.70    73.75    77.34
  2004        81.20    74.27    77.84
  2005        81.55    74.86    78.34
  2006        82.11    75.43    78.90
  2007        82.41    75.84    79.27
  2008        83.01    76.30    79.80
  2009        83.43    76.74    80.23
  2010        83.66    76.87    80.40
  2011        84.05    77.35    80.84
  2012        84.17    77.59    81.01
  2013        84.61    78.17    81.53
  2014        85.02    78.65    81.97
  2015        85.18    78.97    82.21
  2016        85.44    79.34    82.52
  2017        85.76    79.73    82.87
  2018        85.77    79.81    82.90
  2019        86.31    80.34    83.44
  2020        86.47    80.56    83.63
