Poland, Life expectancy at birth (period, 1x1)	Last modified: 13 Apr 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1958        68.62    63.02    65.92
  1959        68.32    62.61    65.56
  1960        70.63    64.81    67.83
  1961        70.81    64.86    67.94
  1962        70.53    64.55    67.63
  1963        71.52    65.40    68.56
  1964        71.61    65.75    68.78
  1965        72.36    66.40    69.48
  1966        72.86    66.72    69.89
  1967        72.67    66.34    69.59
  1968        73.39    66.89    70.23
  1969        72.97    66.31    69.71
  1970        72.87    66.17    69.59
  1971        72.90    65.75    69.37
  1972        73.93    67.02    70.55
  1973        74.06    66.88    70.53
  1974        74.40    67.50    71.02
  1975        74.06    66.74    70.44
  1976        74.28    66.55    70.44
  1977        74.34    66.31    70.33
  1978        74.35    66.12    70.22
  1979        74.69    66.48    70.59
  1980        74.21    65.76    69.95
  1981        75.00    66.83    70.92
  1982        74.97    66.98    70.98
  1983        74.91    66.78    70.84
  1984        74.70    66.56    70.61
  1985        74.54    66.27    70.37
  1986        74.84    66.48    70.62
  1987        74.89    66.53    70.68
  1988        75.30    66.81    71.01
  1989        75.20    66.46    70.77
  1990        75.28    66.25    70.68
  1991        75.11    65.87    70.38
  1992        75.53    66.45    70.91
  1993        75.83    67.12    71.42
  1994        76.08    67.43    71.71
  1995        76.39    67.55    71.92
  1996        76.56    68.00    72.25
  1997        76.95    68.30    72.60
  1998        77.29    68.66    72.95
  1999        77.43    68.63    72.99
  2000        77.93    69.52    73.73
  2001        78.36    70.05    74.22
  2002        78.77    70.37    74.58
  2003        78.89    70.57    74.74
  2004        79.23    70.71    74.98
  2005        79.34    70.84    75.09
  2006        79.58    71.00    75.29
  2007        79.67    71.03    75.34
  2008        79.86    71.32    75.58
  2009        79.95    71.60    75.78
  2010        80.46    72.15    76.32
  2011        80.75    72.51    76.65
  2012        80.77    72.62    76.72
  2013        80.92    72.98    76.97
  2014        81.40    73.66    77.58
  2015        81.31    73.47    77.42
  2016        81.72    73.83    77.80
  2017        81.54    73.85    77.72
  2018        81.48    73.75    77.63
  2019        81.74    74.09    77.93
