Slovenia, Life expectancy at birth (period, 1x1)	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1983        74.88    66.78    70.86
  1984        75.28    67.23    71.31
  1985        75.81    67.56    71.74
  1986        76.13    68.26    72.27
  1987        76.22    68.07    72.21
  1988        76.79    68.81    72.89
  1989        77.24    69.24    73.34
  1990        77.69    69.76    73.83
  1991        77.38    69.43    73.49
  1992        77.47    69.56    73.61
  1993        77.55    69.33    73.50
  1994        77.70    70.01    73.94
  1995        78.32    70.72    74.63
  1996        78.85    71.07    75.07
  1997        78.99    71.07    75.10
  1998        79.05    71.22    75.21
  1999        79.26    71.73    75.58
  2000        79.74    72.17    76.04
  2001        80.25    72.24    76.31
  2002        80.44    72.56    76.56
  2003        80.30    72.51    76.45
  2004        80.70    73.47    77.19
  2005        80.86    73.96    77.50
  2006        81.76    74.37    78.12
  2007        81.75    74.61    78.23
  2008        82.21    75.42    78.88
  2009        82.26    75.75    79.06
  2010        82.60    76.27    79.50
  2011        82.83    76.63    79.80
  2012        82.87    76.96    79.99
  2013        83.15    77.00    80.12
  2014        83.64    77.94    80.86
  2015        83.49    77.59    80.58
  2016        83.85    77.94    80.92
  2017        83.68    78.08    80.92
  2018        83.96    78.31    81.17
  2019        84.18    78.50    81.34
