Switzerland, Life expectancy at birth (period, 1x10)	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1876-1879     42.17    39.14    40.63
1880-1889     45.53    43.01    44.26
1890-1899     48.59    45.73    47.15
1900-1909     51.62    48.77    50.19
1910-1919     55.31    51.88    53.58
1920-1929     60.65    57.51    59.09
1930-1939     64.49    60.58    62.55
1940-1949     67.88    63.66    65.80
1950-1959     72.46    67.56    70.05
1960-1969     74.95    69.18    72.10
1970-1979     77.61    71.20    74.44
1980-1989     79.99    73.26    76.68
1990-1999     81.69    75.31    78.58
2000-2009     83.49    78.46    81.07
2010-2019     85.00    80.96    83.05
2020-2022     85.35    81.40    83.41
