Sweden, Life expectancy at birth (period, 1x10)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1751-1759     37.85    34.87    36.38
1760-1769     37.22    34.27    35.76
1770-1779     34.46    32.06    33.26
1780-1789     37.69    34.28    35.98
1790-1799     40.25    37.30    38.77
1800-1809     37.32    34.24    35.77
1810-1819     39.25    35.78    37.51
1820-1829     43.59    39.36    41.46
1830-1839     43.40    39.12    41.24
1840-1849     45.81    41.43    43.61
1850-1859     43.94    39.87    41.88
1860-1869     46.71    43.08    44.89
1870-1879     48.39    44.98    46.68
1880-1889     51.21    48.27    49.75
1890-1899     53.47    50.81    52.15
1900-1909     56.47    54.00    55.25
1910-1919     58.26    55.51    56.89
1920-1929     62.79    60.55    61.67
1930-1939     65.70    63.39    64.54
1940-1949     70.15    67.52    68.83
1950-1959     73.86    70.75    72.29
1960-1969     75.95    71.63    73.75
1970-1979     77.97    72.22    75.02
1980-1989     79.74    73.76    76.70
1990-1999     81.23    75.99    78.62
2000-2009     82.62    78.34    80.52
2010-2019     83.96    80.36    82.18
2020-2023     84.69    81.19    82.94
