Bulgaria, Life expectancy at birth (period, 1x5)	Last modified: 15 Sep 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1947-1949     57.58    54.45    56.00
1950-1954     63.66    60.34    61.98
1955-1959     68.01    64.64    66.31
1960-1964     71.84    68.31    70.06
1965-1969     72.99    68.90    70.90
1970-1974     73.44    68.85    71.08
1975-1979     73.69    68.62    71.08
1980-1984     74.18    68.49    71.23
1985-1989     74.65    68.29    71.35
1990-1994     74.79    67.75    71.13
1995-1999     74.61    67.42    70.89
2000-2004     75.63    68.72    72.09
2005-2009     76.69    69.56    73.05
2010-2014     77.87    70.87    74.31
2015-2019     78.43    71.39    74.85
2020-2021     76.24    68.98    72.46
