Belarus, Life expectancy at birth (period, 1x5)	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1960-1964     75.26    68.35    72.29
1965-1969     76.44    68.91    73.16
1970-1974     76.52    68.17    72.80
1975-1979     76.20    66.65    71.81
1980-1984     75.87    65.91    71.20
1985-1989     76.02    67.06    71.83
1990-1994     75.07    64.71    69.97
1995-1999     74.17    62.68    68.32
2000-2004     74.58    62.79    68.53
2005-2009     75.87    63.97    69.82
2010-2014     77.45    66.15    71.82
2015-2018     79.13    69.01    74.23
