Canada, Life expectancy at birth (period, 1x5)	Last modified: 15 Jul 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1921-1924     58.58    56.40    57.47
1925-1929     59.71    57.25    58.44
1930-1934     62.36    59.91    61.08
1935-1939     64.11    61.35    62.65
1940-1944     66.29    62.83    64.45
1945-1949     68.97    65.08    66.89
1950-1954     71.48    66.64    68.89
1955-1959     73.21    67.65    70.23
1960-1964     74.53    68.43    71.27
1965-1969     75.60    68.94    72.07
1970-1974     76.64    69.56    72.92
1975-1979     77.96    70.65    74.17
1980-1984     79.28    72.32    75.74
1985-1989     80.05    73.45    76.73
1990-1994     80.80    74.57    77.70
1995-1999     81.24    75.62    78.47
2000-2004     82.03    77.06    79.61
2005-2009     82.85    78.25    80.61
2010-2014     83.69    79.47    81.63
2015-2019     84.08    79.88    82.01
2020-2022     83.84    79.23    81.52
