West Germany, Life expectancy at birth (period, 1x5)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1956-1959     71.45    66.31    68.97
1960-1964     72.69    67.06    69.98
1965-1969     73.50    67.47    70.62
1970-1974     74.13    67.69    71.06
1975-1979     75.57    68.92    72.42
1980-1984     77.16    70.49    74.03
1985-1989     78.60    72.07    75.55
1990-1994     79.44    73.03    76.42
1995-1999     80.40    74.22    77.46
2000-2004     81.41    75.69    78.67
2005-2009     82.32    77.09    79.79
2010-2014     82.92    78.14    80.58
2015-2019     83.25    78.73    81.01
