Denmark, Life expectancy at birth (period, 1x5)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1835-1839     42.40    39.60    40.97
1840-1844     44.08    41.66    42.86
1845-1849     42.36    39.50    40.91
1850-1854     44.24    41.30    42.74
1855-1859     44.88    42.82    43.84
1860-1864     46.59    44.42    45.49
1865-1869     44.65    43.02    43.83
1870-1874     47.53    45.72    46.61
1875-1879     47.26    45.36    46.30
1880-1884     48.32    46.43    47.36
1885-1889     49.40    47.30    48.34
1890-1894     48.78    46.38    47.57
1895-1899     53.42    50.34    51.86
1900-1904     55.62    52.28    53.94
1905-1909     57.30    54.40    55.85
1910-1914     59.58    56.56    58.07
1915-1919     58.33    55.84    57.09
1920-1924     61.30    59.68    60.47
1925-1929     62.52    60.93    61.71
1930-1934     63.82    61.97    62.88
1935-1939     65.31    63.14    64.21
1940-1944     67.65    65.64    66.63
1945-1949     69.53    67.23    68.37
1950-1954     72.22    69.59    70.90
1955-1959     73.71    70.40    72.04
1960-1964     74.42    70.40    72.39
1965-1969     75.21    70.53    72.84
1970-1974     76.33    70.88    73.56
1975-1979     77.24    71.32    74.23
1980-1984     77.47    71.43    74.41
1985-1989     77.64    71.81    74.71
1990-1994     77.91    72.49    75.20
1995-1999     78.47    73.49    76.00
2000-2004     79.51    74.87    77.22
2005-2009     80.69    76.26    78.50
2010-2014     82.04    77.95    80.02
2015-2019     83.00    79.06    81.04
2020-2023     83.40    79.58    81.48
