Spain, Life expectancy at birth (period, 1x5)	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1908-1909     42.27    40.26    41.25
1910-1914     43.12    41.11    42.10
1915-1919     40.70    38.93    39.80
1920-1924     44.76    42.25    43.48
1925-1929     49.93    46.82    48.35
1930-1934     52.61    49.04    50.80
1935-1939     53.34    45.29    49.13
1940-1944     55.30    48.48    51.82
1945-1949     62.08    56.60    59.36
1950-1954     66.39    61.79    64.15
1955-1959     69.81    65.11    67.52
1960-1964     72.24    67.15    69.76
1965-1969     73.93    68.47    71.25
1970-1974     75.30    69.66    72.53
1975-1979     77.16    71.18    74.22
1980-1984     79.10    72.85    76.02
1985-1989     80.12    73.43    76.80
1990-1994     81.13    73.89    77.51
1995-1999     82.21    75.10    78.66
2000-2004     83.19    76.42    79.82
2005-2009     84.19    77.85    81.04
2010-2014     85.23    79.47    82.39
2015-2019     85.73    80.28    83.04
2020-2021     85.37    79.82    82.61
