Estonia, Life expectancy at birth (period, 1x5)	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1960-1964     73.39    65.38    69.85
1965-1969     74.42    66.01    70.64
1970-1974     74.73    65.70    70.57
1975-1979     74.47    64.50    69.74
1980-1984     74.45    64.37    69.62
1985-1989     74.91    65.84    70.61
1990-1994     74.36    63.18    68.77
1995-1999     75.47    63.95    69.69
2000-2004     77.04    65.90    71.50
2005-2009     79.02    68.28    73.76
2010-2014     81.09    71.69    76.61
2015-2019     82.23    73.65    78.17
