France, Total Population, Life expectancy at birth (period, 1x5)	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1816-1819     39.58    38.05    38.80
1820-1824     40.05    38.70    39.35
1825-1829     39.21    37.94    38.56
1830-1834     38.50    37.09    37.77
1835-1839     40.93    39.54    40.22
1840-1844     41.64    40.08    40.85
1845-1849     40.82    39.41    40.10
1850-1854     41.61    40.24    40.92
1855-1859     39.34    37.55    38.42
1860-1864     42.67    41.52    42.09
1865-1869     42.00    40.38    41.17
1870-1874     40.14    36.78    38.38
1875-1879     44.74    42.71    43.69
1880-1884     44.24    41.89    43.03
1885-1889     45.48    42.80    44.10
1890-1894     45.54    42.61    44.03
1895-1899     48.05    44.77    46.36
1900-1904     49.08    45.59    47.29
1905-1909     50.69    46.86    48.73
1910-1914     52.73    43.79    47.97
1915-1919     50.03    32.07    39.92
1920-1924     55.92    51.86    53.88
1925-1929     56.95    52.54    54.73
1930-1934     59.92    54.81    57.36
1935-1939     61.92    55.95    58.92
1940-1944     58.58    47.64    52.78
1945-1949     65.41    59.54    62.51
1950-1954     69.93    64.05    67.06
1955-1959     72.40    65.91    69.21
1960-1964     74.10    67.19    70.67
1965-1969     75.07    67.64    71.35
1970-1974     76.19    68.56    72.35
1975-1979     77.62    69.54    73.54
1980-1984     78.79    70.62    74.67
1985-1989     80.12    71.90    75.99
1990-1994     81.39    73.13    77.25
1995-1999     82.24    74.42    78.34
2000-2004     83.12    75.77    79.49
2005-2009     84.24    77.32    80.86
2010-2014     85.02    78.57    81.87
2015-2019     85.38    79.40    82.46
2020-2022     85.21    79.27    82.28
