United Kingdom, Life expectancy at birth (period, 1x5)	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1922-1924     59.99    56.22    58.12
1925-1929     60.83    56.89    58.87
1930-1934     62.60    58.62    60.63
1935-1939     64.56    60.34    62.47
1940-1944     65.70    59.83    62.97
1945-1949     69.33    64.58    67.01
1950-1954     71.76    66.65    69.26
1955-1959     73.26    67.66    70.52
1960-1964     73.92    67.96    70.99
1965-1969     74.73    68.51    71.67
1970-1974     75.22    68.95    72.13
1975-1979     75.95    69.80    72.92
1980-1984     77.03    71.06    74.10
1985-1989     77.82    72.10    75.02
1990-1994     78.82    73.37    76.16
1995-1999     79.53    74.46    77.05
2000-2004     80.53    75.92    78.29
2005-2009     81.62    77.38    79.56
2010-2014     82.70    78.86    80.82
2015-2019     82.96    79.27    81.14
2020-2021     82.47    78.43    80.45
