Hungary, Life expectancy at birth (period, 1x5)	Last modified: 30 Nov 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1950-1954     65.66    61.40    63.55
1955-1959     68.93    64.56    66.78
1960-1964     70.90    66.37    68.67
1965-1969     71.96    66.86    69.44
1970-1974     72.30    66.42    69.37
1975-1979     72.82    66.40    69.60
1980-1984     72.98    65.32    69.08
1985-1989     73.50    65.37    69.36
1990-1994     74.01    64.90    69.34
1995-1999     75.22    66.28    70.69
2000-2004     76.59    68.18    72.40
2005-2009     77.63    69.36    73.54
2010-2014     78.73    71.52    75.22
2015-2019     79.38    72.62    76.09
