New Zealand -- Non-Maori, Life expectancy at birth (period, 1x5)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1901-1904     60.32    57.74    58.86
1905-1909     61.95    59.32    60.47
1910-1914     63.55    60.57    61.90
1915-1919     62.79    58.61    60.57
1920-1924     64.98    62.37    63.58
1925-1929     66.59    63.81    65.10
1930-1934     68.20    65.49    66.77
1935-1939     68.67    65.54    67.03
1940-1944     69.41    65.78    67.55
1945-1949     71.39    67.69    69.47
1950-1954     72.98    68.56    70.70
1955-1959     74.10    69.00    71.46
1960-1964     74.70    69.11    71.82
1965-1969     75.00    68.75    71.77
1970-1974     75.41    69.13    72.19
1975-1979     76.37    69.71    72.95
1980-1984     77.22    70.97    74.05
1985-1989     77.64    71.51    74.55
1990-1994     79.45    73.69    76.59
1995-1999     80.72    75.57    78.18
2000-2004     81.99    77.48    79.79
2005-2008     82.91    78.92    80.96
