Poland, Life expectancy at birth (period, 1x5)	Last modified: 13 Apr 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1958-1959     68.47    62.80    65.73
1960-1964     71.00    65.05    68.13
1965-1969     72.84    66.51    69.77
1970-1974     73.65    66.67    70.23
1975-1979     74.35    66.44    70.40
1980-1984     74.75    66.57    70.65
1985-1989     74.95    66.50    70.68
1990-1994     75.56    66.61    71.01
1995-1999     76.91    68.22    72.53
2000-2004     78.63    70.24    74.45
2005-2009     79.68    71.16    75.42
2010-2014     80.86    72.78    76.85
2015-2019     81.56    73.80    77.70
