Norway, Exposure to risk (period 1x1), 	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1846           0             18512.17        19172.25        37684.42
  1846           1             16594.33        17040.00        33634.33
  1846           2             16057.25        16674.75        32732.00
  1846           3             16783.17        17014.67        33797.83
  1846           4             16730.25        16672.17        33402.42
  1846           5             15276.83        15263.58        30540.42
  1846           6             13876.58        13898.00        27774.58
  1846           7             13399.92        13627.67        27027.58
  1846           8             13536.33        13846.67        27383.00
  1846           9             13664.92        13919.75        27584.67
  1846          10             14276.08        14505.25        28781.33
  1846          11             14450.08        14705.50        29155.58
  1846          12             13711.17        13991.58        27702.75
  1846          13             12984.08        13515.92        26500.00
  1846          14             12738.92        13375.00        26113.92
  1846          15             13069.50        13481.42        26550.92
  1846          16             13413.33        13759.67        27173.00
  1846          17             13131.25        13390.42        26521.67
  1846          18             12708.58        12778.50        25487.08
  1846          19             13155.92        13177.25        26333.17
  1846          20             13577.42        13308.50        26885.92
  1846          21             13137.00        12525.25        25662.25
  1846          22             12948.17        12287.42        25235.58
  1846          23             12901.00        12247.58        25148.58
  1846          24             12898.75        12123.00        25021.75
  1846          25             12697.50        11907.08        24604.58
  1846          26             11895.25        11158.67        23053.92
  1846          27             11083.83        10487.17        21571.00
  1846          28             10829.92        10307.58        21137.50
  1846          29             11214.25        10649.33        21863.58
  1846          30             10466.17        10000.00        20466.17
  1846          31              8442.00         8165.33        16607.33
  1846          32              7542.67         7339.08        14881.75
  1846          33              8097.42         7904.92        16002.33
  1846          34              8093.17         7969.75        16062.92
  1846          35              7483.25         7467.25        14950.50
  1846          36              6643.00         6616.42        13259.42
  1846          37              6770.83         6599.42        13370.25
  1846          38              7615.83         7460.33        15076.17
  1846          39              7723.58         7682.08        15405.67
  1846          40              7590.42         7496.33        15086.75
  1846          41              7082.33         6889.00        13971.33
  1846          42              6841.17         6563.75        13404.92
  1846          43              6734.25         6345.75        13080.00
  1846          44              6736.17         6379.67        13115.83
  1846          45              7029.58         6681.25        13710.83
  1846          46              6994.17         6608.00        13602.17
  1846          47              6855.42         6447.00        13302.42
  1846          48              6709.08         6289.08        12998.17
  1846          49              6495.00         6060.17        12555.17
  1846          50              6333.42         5875.25        12208.67
  1846          51              6434.25         5938.67        12372.92
  1846          52              6446.00         5919.25        12365.25
  1846          53              6385.33         5842.08        12227.42
  1846          54              6123.00         5561.25        11684.25
  1846          55              5731.25         5178.42        10909.67
  1846          56              5397.58         4852.67        10250.25
  1846          57              5140.17         4595.00         9735.17
  1846          58              4860.00         4318.75         9178.75
  1846          59              4663.33         4104.00         8767.33
  1846          60              4462.58         3864.42         8327.00
  1846          61              4328.50         3671.08         7999.58
  1846          62              4070.17         3414.08         7484.25
  1846          63              3916.75         3257.25         7174.00
  1846          64              3967.67         3271.17         7238.83
  1846          65              3860.67         3156.17         7016.83
  1846          66              3588.42         2901.58         6490.00
  1846          67              3331.58         2662.50         5994.08
  1846          68              3190.25         2523.25         5713.50
  1846          69              2883.92         2245.08         5129.00
  1846          70              2812.25         2177.92         4990.17
  1846          71              2612.50         2042.42         4654.92
  1846          72              2058.33         1619.83         3678.17
  1846          73              1904.25         1496.50         3400.75
  1846          74              1948.25         1525.83         3474.08
  1846          75              1871.50         1443.42         3314.92
  1846          76              1736.75         1308.50         3045.25
  1846          77              1548.33         1147.42         2695.75
  1846          78              1394.08         1017.67         2411.75
  1846          79              1261.42          912.50         2173.92
  1846          80              1295.00          881.17         2176.17
  1846          81              1181.00          803.58         1984.58
  1846          82              1063.42          721.50         1784.92
  1846          83               932.00          628.83         1560.83
  1846          84               796.33          525.67         1322.00
  1846          85               685.08          434.00         1119.08
  1846          86               581.17          342.83          924.00
  1846          87               473.00          269.42          742.42
  1846          88               376.25          204.00          580.25
  1846          89               297.33          160.17          457.50
  1846          90               209.08          114.75          323.83
  1846          91               169.50           92.58          262.08
  1846          92               139.50           72.75          212.25
  1846          93               115.50           53.50          169.00
  1846          94                91.25           41.75          133.00
  1846          95                71.67           35.50          107.17
  1846          96                55.17           23.67           78.83
  1846          97                37.50           15.92           53.42
  1846          98                28.58           12.25           40.83
  1846          99                22.83            9.83           32.67
  1846         100                 9.75            4.75           14.50
  1846         101                 6.75            2.50            9.25
  1846         102                 5.42            1.17            6.58
  1846         103                 3.08            0.92            4.00
  1846         104                 2.00            0.08            2.08
  1846         105                 1.00            0.00            1.00
  1846         106                 0.08            0.00            0.08
  1846         107                 0.00            0.00            0.00
  1846         108                 0.00            0.00            0.00
  1846         109                 0.00            0.00            0.00
  1846         110+                0.00            0.00            0.00
  1847           0             18887.08        19731.33        38618.42
  1847           1             17233.67        17741.33        34975.00
  1847           2             16074.33        16491.50        32565.83
  1847           3             15646.00        16287.17        31933.17
  1847           4             16357.58        16643.75        33001.33
  1847           5             16345.17        16375.92        32721.08
  1847           6             14993.58        15035.50        30029.08
  1847           7             13682.42        13736.83        27419.25
  1847           8             13250.58        13489.58        26740.17
  1847           9             13424.25        13728.75        27153.00
  1847          10             13621.50        13821.33        27442.83
  1847          11             14275.25        14406.00        28681.25
  1847          12             14503.17        14605.25        29108.42
  1847          13             13807.42        13901.92        27709.33
  1847          14             13090.33        13432.58        26522.92
  1847          15             12839.92        13301.17        26141.08
  1847          16             13168.17        13418.42        26586.58
  1847          17             13511.00        13691.75        27202.75
  1847          18             13206.92        13313.75        26520.67
  1847          19             12750.25        12693.58        25443.83
  1847          20             13151.00        13064.00        26215.00
  1847          21             13515.83        13181.75        26697.58
  1847          22             13021.25        12401.42        25422.67
  1847          23             12794.08        12165.58        24959.67
  1847          24             12711.75        12115.08        24826.83
  1847          25             12685.42        11975.58        24661.00
  1847          26             12473.17        11754.33        24227.50
  1847          27             11673.92        11018.08        22692.00
  1847          28             10870.42        10348.25        21218.67
  1847          29             10623.25        10166.50        20789.75
  1847          30             10996.75        10476.08        21472.83
  1847          31             10286.83         9852.42        20139.25
  1847          32              8306.83         8048.50        16355.33
  1847          33              7426.92         7230.92        14657.83
  1847          34              7974.75         7788.75        15763.50
  1847          35              7982.67         7848.75        15831.42
  1847          36              7382.50         7351.92        14734.42
  1847          37              6569.83         6516.42        13086.25
  1847          38              6702.00         6509.75        13211.75
  1847          39              7554.42         7363.58        14918.00
  1847          40              7652.58         7570.92        15223.50
  1847          41              7549.08         7409.50        14958.58
  1847          42              7053.83         6808.25        13862.08
  1847          43              6825.67         6497.75        13323.42
  1847          44              6718.75         6276.08        12994.83
  1847          45              6714.08         6300.33        13014.42
  1847          46              6986.08         6602.42        13588.50
  1847          47              6926.58         6510.58        13437.17
  1847          48              6764.00         6334.50        13098.50
  1847          49              6605.25         6174.00        12779.25
  1847          50              6372.17         5926.50        12298.67
  1847          51              6235.92         5771.58        12007.50
  1847          52              6337.00         5815.75        12152.75
  1847          53              6342.50         5799.50        12142.00
  1847          54              6286.67         5718.17        12004.83
  1847          55              6023.33         5439.00        11462.33
  1847          56              5638.67         5067.50        10706.17
  1847          57              5325.33         4751.08        10076.42
  1847          58              5074.00         4501.33         9575.33
  1847          59              4789.92         4227.00         9016.92
  1847          60              4541.83         3987.33         8529.17
  1847          61              4371.42         3768.42         8139.83
  1847          62              4228.67         3555.08         7783.75
  1847          63              3952.92         3291.58         7244.50
  1847          64              3777.25         3113.33         6890.58
  1847          65              3819.67         3118.50         6938.17
  1847          66              3699.42         2994.75         6694.17
  1847          67              3434.00         2748.50         6182.50
  1847          68              3166.42         2513.67         5680.08
  1847          69              3034.17         2376.00         5410.17
  1847          70              2717.83         2090.67         4808.50
  1847          71              2690.17         2060.50         4750.67
  1847          72              2486.42         1920.33         4406.75
  1847          73              1957.08         1517.00         3474.08
  1847          74              1785.50         1393.50         3179.00
