Portugal, Exposure to risk (period 1x1), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1940           0             78984.68        84658.33       163643.01
  1940           1             81964.65        85819.56       167784.22
  1940           2             84453.29        88658.44       173111.72
  1940           3             84800.70        88189.35       172990.05
  1940           4             84828.37        88334.73       173163.10
  1940           5             83722.37        88231.34       171953.71
  1940           6             83112.08        86762.45       169874.53
  1940           7             83133.56        85754.86       168888.42
  1940           8             79725.56        82547.80       162273.36
  1940           9             80328.51        84809.25       165137.75
  1940          10             78538.69        82849.51       161388.20
  1940          11             79436.07        81721.41       161157.48
  1940          12             80121.32        81288.98       161410.31
  1940          13             78345.02        79943.98       158289.00
  1940          14             78148.84        80585.43       158734.26
  1940          15             78575.65        78940.03       157515.68
  1940          16             77444.96        76485.52       153930.48
  1940          17             77182.10        76272.45       153454.55
  1940          18             72707.46        71207.62       143915.08
  1940          19             69796.77        66621.37       136418.14
  1940          20             66452.84        68016.25       134469.10
  1940          21             56074.03        59143.59       115217.62
  1940          22             63501.91        62049.52       125551.43
  1940          23             63328.80        62452.99       125781.79
  1940          24             65213.22        63098.87       128312.09
  1940          25             65332.98        62585.51       127918.49
  1940          26             63214.16        60320.77       123534.92
  1940          27             64680.88        61177.47       125858.35
  1940          28             60135.32        57359.61       117494.93
  1940          29             63498.78        59633.00       123131.79
  1940          30             60147.39        56515.59       116662.98
  1940          31             53540.37        50885.76       104426.12
  1940          32             58449.67        53549.21       111998.88
  1940          33             55263.38        49788.28       105051.66
  1940          34             56380.74        49456.58       105837.32
  1940          35             57250.51        49067.03       106317.54
  1940          36             53540.28        46213.78        99754.06
  1940          37             53410.56        45970.59        99381.15
  1940          38             50430.57        44173.25        94603.82
  1940          39             54925.61        47823.21       102748.82
  1940          40             49434.58        42888.52        92323.10
  1940          41             41513.46        36279.48        77792.94
  1940          42             44511.48        37597.34        82108.82
  1940          43             41864.19        35321.01        77185.20
  1940          44             43988.82        37359.18        81348.00
  1940          45             43236.35        36798.91        80035.26
  1940          46             39167.91        33316.11        72484.02
  1940          47             41840.46        34514.92        76355.38
  1940          48             40577.13        33171.87        73748.99
  1940          49             44657.76        35060.35        79718.11
  1940          50             41768.42        33102.13        74870.55
  1940          51             34685.00        29373.98        64058.98
  1940          52             37516.55        30921.29        68437.84
  1940          53             35305.07        28287.78        63592.85
  1940          54             36304.17        28524.42        64828.59
  1940          55             36576.21        28543.72        65119.93
  1940          56             32449.37        25459.66        57909.03
  1940          57             31925.49        24833.36        56758.84
  1940          58             29674.55        23528.90        53203.45
  1940          59             36783.04        27703.17        64486.21
  1940          60             34771.00        26124.09        60895.09
  1940          61             24210.89        19590.94        43801.83
  1940          62             27404.90        21857.73        49262.63
  1940          63             26441.65        21044.68        47486.33
  1940          64             28146.96        20770.79        48917.75
  1940          65             27924.27        20504.04        48428.31
  1940          66             22927.57        17458.28        40385.85
  1940          67             22067.06        15991.18        38058.24
  1940          68             19140.70        13980.76        33121.46
  1940          69             23246.17        15764.39        39010.56
  1940          70             21563.25        14475.86        36039.11
  1940          71             13786.14        10054.74        23840.88
  1940          72             14788.66        10571.38        25360.04
  1940          73             13113.86         9632.58        22746.45
  1940          74             14654.77         9773.43        24428.20
  1940          75             14214.29         8984.72        23199.01
  1940          76             10979.81         7370.13        18349.95
  1940          77             10713.16         6884.70        17597.87
  1940          78              8764.70         5586.34        14351.04
  1940          79              8066.49         4883.50        12949.99
  1940          80              9124.08         4895.01        14019.10
  1940          81              7678.47         4066.95        11745.42
  1940          82              6660.82         3419.84        10080.66
  1940          83              5758.65         2817.98         8576.62
  1940          84              4957.97         2353.03         7310.99
  1940          85              4146.00         1873.57         6019.56
  1940          86              3404.01         1466.02         4870.04
  1940          87              2849.81         1183.44         4033.25
  1940          88              2373.74          935.60         3309.34
  1940          89              1996.06          736.66         2732.72
  1940          90              1580.13          561.55         2141.68
  1940          91              1175.14          410.76         1585.90
  1940          92               941.14          317.33         1258.47
  1940          93               746.47          247.97          994.44
