Switzerland, Exposure to risk (period 1x10), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1876-1879        0            138864.37       140500.06       279364.43
1876-1879        1            135923.39       136782.47       272705.86
1876-1879        2            133015.22       134039.58       267054.81
1876-1879        3            129982.64       131055.68       261038.32
1876-1879        4            126214.08       127437.17       253651.25
1876-1879        5            122815.73       123769.34       246585.07
1876-1879        6            119820.22       120085.75       239905.97
1876-1879        7            116973.92       116713.26       233687.18
1876-1879        8            114498.32       113672.19       228170.51
1876-1879        9            113147.33       111788.67       224936.00
1876-1879       10            112130.00       110544.83       222674.83
1876-1879       11            111435.17       109226.33       220661.50
1876-1879       12            110899.00       108223.17       219122.17
1876-1879       13            110173.83       107439.33       217613.17
1876-1879       14            109072.33       106516.17       215588.50
1876-1879       15            107594.17       105090.33       212684.50
1876-1879       16            105716.00       103128.17       208844.17
1876-1879       17            103659.83       100700.50       204360.33
1876-1879       18            101511.33        97974.00       199485.33
1876-1879       19             99162.83        95119.67       194282.50
1876-1879       20             96421.17        92145.00       188566.17
1876-1879       21             93412.33        89231.33       182643.67
1876-1879       22             90484.00        86543.00       177027.00
1876-1879       23             87974.50        84120.50       172095.00
1876-1879       24             86096.00        82160.83       168256.83
1876-1879       25             84801.00        80649.67       165450.67
1876-1879       26             84082.50        79604.83       163687.33
1876-1879       27             83665.00        78803.50       162468.50
1876-1879       28             83276.50        78089.67       161366.17
1876-1879       29             82880.33        77506.00       160386.33
1876-1879       30             82522.33        77028.17       159550.50
1876-1879       31             82165.67        76570.33       158736.00
1876-1879       32             81820.50        76121.67       157942.17
1876-1879       33             81423.83        75591.83       157015.67
1876-1879       34             80889.50        74916.33       155805.83
1876-1879       35             80178.83        74151.67       154330.50
1876-1879       36             79224.33        73304.00       152528.33
1876-1879       37             78096.17        72460.17       150556.33
1876-1879       38             76868.00        71524.17       148392.17
1876-1879       39             75421.33        70398.50       145819.83
1876-1879       40             73787.67        69085.67       142873.33
1876-1879       41             71974.50        67553.00       139527.50
1876-1879       42             70080.83        65934.17       136015.00
1876-1879       43             68356.50        64412.17       132768.67
1876-1879       44             66909.17        63042.50       129951.67
1876-1879       45             65716.67        61833.50       127550.17
1876-1879       46             64783.50        60756.50       125540.00
1876-1879       47             63976.33        59746.83       123723.17
1876-1879       48             63055.17        58667.83       121723.00
1876-1879       49             61936.50        57448.50       119385.00
1876-1879       50             60609.33        56061.17       116670.50
1876-1879       51             59065.33        54528.33       113593.67
1876-1879       52             57452.00        52988.83       110440.83
1876-1879       53             55782.83        51362.33       107145.17
1876-1879       54             54002.17        49579.17       103581.33
1876-1879       55             52060.50        47644.83        99705.33
1876-1879       56             50004.00        45576.50        95580.50
1876-1879       57             47905.67        43479.67        91385.33
1876-1879       58             45878.83        41499.00        87377.83
1876-1879       59             43872.00        39639.83        83511.83
1876-1879       60             41884.33        37930.00        79814.33
1876-1879       61             39918.50        36278.33        76196.83
1876-1879       62             38008.83        34748.33        72757.17
1876-1879       63             36145.50        33173.50        69319.00
1876-1879       64             34302.33        31600.67        65903.00
1876-1879       65             32456.00        29929.83        62385.83
1876-1879       66             30630.50        28198.50        58829.00
1876-1879       67             28839.00        26498.83        55337.83
1876-1879       68             27085.00        24843.83        51928.83
1876-1879       69             25228.33        23181.67        48410.00
1876-1879       70             22730.33        21093.67        43824.00
1876-1879       71             20835.17        19382.67        40217.83
1876-1879       72             19108.67        17786.33        36895.00
1876-1879       73             16810.83        15754.50        32565.33
1876-1879       74             14806.17        13938.17        28744.33
1876-1879       75             13039.00        12342.00        25381.00
1876-1879       76             11489.50        10934.00        22423.50
1876-1879       77             10120.00         9677.67        19797.67
1876-1879       78              8368.83         8036.50        16405.33
1876-1879       79              6926.83         6685.83        13612.67
1876-1879       80              5481.43         5450.66        10932.10
1876-1879       81              4258.09         4281.23         8539.32
1876-1879       82              3337.95         3327.66         6665.61
1876-1879       83              2659.63         2644.15         5303.78
1876-1879       84              2087.15         2109.59         4196.75
1876-1879       85              1641.96         1636.44         3278.39
1876-1879       86              1246.13         1230.35         2476.47
1876-1879       87               892.41          871.77         1764.18
1876-1879       88               625.28          646.08         1271.35
1876-1879       89               422.57          459.14          881.70
1876-1879       90               280.26          292.72          572.98
1876-1879       91               186.66          184.51          371.18
1876-1879       92               120.52          117.46          237.98
1876-1879       93                88.20           78.59          166.79
1876-1879       94                63.88           47.47          111.36
1876-1879       95                42.99           32.29           75.28
1876-1879       96                29.98           16.73           46.71
1876-1879       97                19.99           10.27           30.26
1876-1879       98                 9.84            5.43           15.27
1876-1879       99                 4.97            1.37            6.35
1876-1879      100                 2.45            0.00            2.45
1876-1879      101                 1.27            0.00            1.27
1876-1879      102                 0.34            0.00            0.34
1876-1879      103                 0.00            0.00            0.00
1876-1879      104                 0.00            0.00            0.00
1876-1879      105                 0.00            0.00            0.00
1876-1879      106                 0.00            0.00            0.00
1876-1879      107                 0.00            0.00            0.00
1876-1879      108                 0.00            0.00            0.00
1876-1879      109                 0.00            0.00            0.00
1876-1879      110+                0.00            0.00            0.00
1880-1889        0            357651.92       364216.40       721868.31
1880-1889        1            330935.82       332030.70       662966.53
1880-1889        2            324986.50       325514.51       650501.00
1880-1889        3            322707.29       323384.02       646091.31
1880-1889        4            320983.94       321613.84       642597.78
1880-1889        5            317663.86       317927.85       635591.71
1880-1889        6            314301.65       314378.92       628680.56
1880-1889        7            311777.00       311999.05       623776.05
1880-1889        8            308099.53       308454.20       616553.74
1880-1889        9            304126.70       304485.96       608612.66
1880-1889       10            299513.74       299570.45       599084.19
1880-1889       11            294960.30       294736.72       589697.03
1880-1889       12            290243.79       289178.59       579422.39
1880-1889       13            285607.77       282911.45       568519.22
1880-1889       14            280349.83       276081.01       556430.84
1880-1889       15            276171.78       270484.49       546656.27
1880-1889       16            272909.55       265725.94       538635.49
1880-1889       17            269443.31       260652.27       530095.57
1880-1889       18            266164.06       255833.49       521997.55
1880-1889       19            262419.50       250445.00       512864.50
1880-1889       20            258703.17       245341.67       504044.83
1880-1889       21            254598.00       240088.50       494686.50
1880-1889       22            250045.50       234585.17       484630.67
1880-1889       23            244739.17       229073.83       473813.00
1880-1889       24            238812.00       223470.17       462282.17
1880-1889       25            232481.17       217606.33       450087.50
1880-1889       26            225793.83       211561.50       437355.33
1880-1889       27            219053.50       205717.17       424770.67
1880-1889       28            212795.50       200201.83       412997.33
1880-1889       29            207241.00       195289.33       402530.33
1880-1889       30            202541.33       191135.33       393676.67
1880-1889       31            198814.17       187705.50       386519.67
1880-1889       32            195926.50       184898.83       380825.33
1880-1889       33            193872.67       182648.67       376521.33
1880-1889       34            192316.83       180725.00       373041.83
1880-1889       35            190880.83       178812.50       369693.33
1880-1889       36            189641.50       176930.83       366572.33
1880-1889       37            188427.00       175160.67       363587.67
1880-1889       38            187133.83       173512.33       360646.17
1880-1889       39            185849.67       171943.00       357792.67
1880-1889       40            184341.17       170402.17       354743.33
1880-1889       41            182734.00       168826.00       351560.00
1880-1889       42            180815.00       167096.00       347911.00
1880-1889       43            178607.33       165046.83       343654.17
1880-1889       44            176009.83       162674.17       338684.00
1880-1889       45            173048.67       159923.17       332971.83
1880-1889       46            169747.00       156798.50       326545.50
1880-1889       47            166145.00       153338.67       319483.67
1880-1889       48            162376.83       149593.50       311970.33
1880-1889       49            158636.50       145691.83       304328.33
1880-1889       50            154982.50       141847.83       296830.33
1880-1889       51            151548.67       138168.00       289716.67
1880-1889       52            147987.67       134493.17       282480.83
1880-1889       53            144266.33       130778.33       275044.67
1880-1889       54            140614.67       127081.67       267696.33
1880-1889       55            136985.17       123390.67       260375.83
1880-1889       56            133283.00       119699.00       252982.00
1880-1889       57            129439.17       115824.17       245263.33
1880-1889       58            125356.33       111770.50       237126.83
1880-1889       59            121078.50       107487.50       228566.00
1880-1889       60            116476.17       102965.83       219442.00
1880-1889       61            111682.17        98381.00       210063.17
1880-1889       62            106604.00        93728.00       200332.00
1880-1889       63            101086.17        88848.17       189934.33
1880-1889       64             95390.33        83915.00       179305.33
1880-1889       65             89694.67        78914.50       168609.17
1880-1889       66             83876.00        73965.17       157841.17
1880-1889       67             77930.33        68848.33       146778.67
1880-1889       68             71710.33        63610.67       135321.00
1880-1889       69             65627.33        58538.83       124166.17
1880-1889       70             61865.33        55069.67       116935.00
1880-1889       71             55772.67        49888.17       105660.83
1880-1889       72             50869.17        45433.67        96302.83
1880-1889       73             45059.17        40261.50        85320.67
1880-1889       74             39716.50        35701.50        75418.00
1880-1889       75             34911.17        31549.67        66460.83
1880-1889       76             30869.17        27942.83        58812.00
1880-1889       77             27434.67        24738.50        52173.17
1880-1889       78             22938.17        20905.50        43843.67
1880-1889       79             19281.50        17550.33        36831.83
1880-1889       80             16600.90        14943.00        31543.90
1880-1889       81             13428.12        12172.44        25600.56
1880-1889       82             10712.61         9855.54        20568.15
1880-1889       83              8382.82         7835.19        16218.01
1880-1889       84              6374.05         6060.77        12434.82
1880-1889       85              4758.29         4544.98         9303.27
1880-1889       86              3507.61         3373.67         6881.27
1880-1889       87              2487.43         2435.77         4923.20
1880-1889       88              1747.74         1699.76         3447.49
