England and Wales, Civilian National Population, Exposure to risk (period 1x10), 	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1849        0           2195843.90      2256453.53      4452297.43
1841-1849        1           2007062.83      2020230.05      4027292.88
1841-1849        2           1922264.66      1928471.87      3850736.53
1841-1849        3           1863616.62      1867301.19      3730917.81
1841-1849        4           1818727.20      1820560.77      3639287.97
1841-1849        5           1787283.42      1788291.64      3575575.06
1841-1849        6           1762963.37      1764582.06      3527545.43
1841-1849        7           1739621.58      1741656.44      3481278.01
1841-1849        8           1716674.61      1718867.69      3435542.29
1841-1849        9           1692536.55      1695078.98      3387615.53
1841-1849       10           1668208.42      1672633.95      3340842.37
1841-1849       11           1645174.07      1651578.50      3296752.56
1841-1849       12           1625182.53      1630753.73      3255936.26
1841-1849       13           1605824.45      1608276.01      3214100.46
1841-1849       14           1585515.55      1582363.92      3167879.47
1841-1849       15           1567080.38      1553497.20      3120577.58
1841-1849       16           1550572.22      1522687.56      3073259.77
1841-1849       17           1534074.17      1491205.52      3025279.69
1841-1849       18           1517073.78      1459649.11      2976722.89
1841-1849       19           1498564.80      1428468.47      2927033.27
1841-1849       20           1483233.49      1397886.25      2881119.74
1841-1849       21           1470831.91      1367740.44      2838572.35
1841-1849       22           1455602.27      1337948.64      2793550.90
1841-1849       23           1437856.00      1309272.19      2747128.18
1841-1849       24           1414514.28      1280399.32      2694913.59
1841-1849       25           1382193.97      1248981.33      2631175.31
1841-1849       26           1343188.08      1215137.24      2558325.32
1841-1849       27           1301305.61      1180518.54      2481824.15
1841-1849       28           1258516.99      1146809.58      2405326.56
1841-1849       29           1217981.90      1115732.61      2333714.51
1841-1849       30           1180626.85      1087790.55      2268417.40
1841-1849       31           1145151.50      1061915.02      2207066.52
1841-1849       32           1112015.60      1037571.91      2149587.51
1841-1849       33           1081583.64      1014673.28      2096256.92
1841-1849       34           1051175.92       990355.41      2041531.32
1841-1849       35           1015611.13       960871.57      1976482.70
1841-1849       36            976437.16       927996.26      1904433.41
1841-1849       37            937984.61       895222.13      1833206.74
1841-1849       38            900665.22       862888.34      1763553.56
1841-1849       39            867008.71       833228.36      1700237.06
1841-1849       40            840677.97       809687.81      1650365.77
1841-1849       41            819668.78       790628.45      1610297.23
1841-1849       42            800764.03       773343.44      1574107.47
1841-1849       43            784183.25       757908.84      1542092.09
1841-1849       44            767198.93       741440.62      1508639.54
1841-1849       45            744811.58       719241.41      1464052.99
1841-1849       46            717708.69       692258.24      1409966.93
1841-1849       47            689361.45       663910.49      1353271.94
1841-1849       48            660083.17       634640.77      1294723.94
1841-1849       49            631269.74       605862.71      1237132.46
1841-1849       50            606755.62       580670.82      1187426.44
1841-1849       51            586570.65       559031.06      1145601.70
1841-1849       52            569144.76       539791.28      1108936.04
1841-1849       53            555625.72       524202.49      1079828.21
1841-1849       54            542779.68       509643.99      1052423.68
1841-1849       55            523789.23       489725.73      1013514.96
1841-1849       56            500294.46       465589.58       965884.04
1841-1849       57            476954.20       441424.01       918378.21
1841-1849       58            452775.10       416600.16       869375.25
1841-1849       59            428755.38       392709.81       821465.19
1841-1849       60            409999.77       374034.60       784034.37
1841-1849       61            395791.01       359276.77       755067.78
1841-1849       62            382626.03       345393.92       728019.95
1841-1849       63            371893.58       333746.59       705640.17
1841-1849       64            361512.80       322785.13       684297.93
1841-1849       65            346229.50       307616.86       653846.36
1841-1849       66            327144.77       288961.89       616106.66
1841-1849       67            307626.24       269932.22       577558.45
1841-1849       68            287047.95       250037.33       537085.28
1841-1849       69            265883.91       229968.24       495852.16
1841-1849       70            246619.55       212074.98       458694.53
1841-1849       71            229302.93       196080.28       425383.21
1841-1849       72            212916.35       180808.02       393724.37
1841-1849       73            198058.72       166894.93       364953.65
1841-1849       74            183850.04       154002.95       337852.99
1841-1849       75            168139.67       140423.04       308562.70
1841-1849       76            151568.51       126235.88       277804.39
1841-1849       77            135600.76       112396.15       247996.91
1841-1849       78            120100.77        98811.18       218911.95
1841-1849       79            106178.79        86400.64       192579.43
1841-1849       80            108156.57        84606.64       192763.21
1841-1849       81             93703.99        72327.79       166031.77
1841-1849       82             80178.60        60948.07       141126.67
1841-1849       83             67676.71        50492.06       118168.77
1841-1849       84             56345.84        41062.59        97408.43
1841-1849       85             46083.99        32858.98        78942.97
1841-1849       86             37528.80        26317.50        63846.30
1841-1849       87             30251.46        20805.79        51057.24
1841-1849       88             24087.90        16197.81        40285.71
1841-1849       89             18872.16        12395.67        31267.83
1841-1849       90             14553.81         9322.80        23876.61
1841-1849       91             11052.91         6887.89        17940.80
1841-1849       92              8252.30         4993.55        13245.84
1841-1849       93              6055.94         3552.07         9608.01
1841-1849       94              4371.64         2478.19         6849.82
1841-1849       95              3097.46         1692.30         4789.76
1841-1849       96              2149.47         1130.72         3280.19
1841-1849       97              1461.98          739.59         2201.57
1841-1849       98               974.33          472.65         1446.98
1841-1849       99               635.64          294.71          930.35
1841-1849      100               405.62          178.94          584.56
1841-1849      101               252.75          105.30          358.05
1841-1849      102               153.39           59.46          212.85
1841-1849      103                90.19           31.68          121.87
1841-1849      104                50.79           15.10           65.89
1841-1849      105                26.79            5.33           32.12
1841-1849      106                12.36            0.52           12.89
1841-1849      107                 4.09            0.00            4.09
1841-1849      108                 0.52            0.00            0.52
1841-1849      109                 0.00            0.00            0.00
1841-1849      110+                0.00            0.00            0.00
1850-1859        0           2838862.68      2912798.85      5751661.53
1850-1859        1           2554328.57      2570697.64      5125026.21
1850-1859        2           2415256.58      2423435.56      4838692.14
1850-1859        3           2326166.42      2332535.71      4658702.13
1850-1859        4           2258015.92      2265158.55      4523174.48
1850-1859        5           2200505.37      2209293.88      4409799.25
1850-1859        6           2158322.32      2168804.99      4327127.31
1850-1859        7           2120240.23      2131898.69      4252138.92
1850-1859        8           2086852.48      2098908.77      4185761.25
1850-1859        9           2057836.30      2068909.70      4126746.00
1850-1859       10           2031126.35      2040128.62      4071254.97
1850-1859       11           2006270.55      2011388.05      4017658.61
1850-1859       12           1983139.29      1981439.46      3964578.74
1850-1859       13           1962512.83      1951466.70      3913979.53
1850-1859       14           1942505.44      1920049.39      3862554.83
1850-1859       15           1920434.24      1884865.59      3805299.83
1850-1859       16           1898158.21      1848270.64      3746428.84
1850-1859       17           1874361.61      1808834.30      3683195.91
1850-1859       18           1850357.56      1768692.48      3619050.03
1850-1859       19           1825116.30      1728531.77      3553648.07
1850-1859       20           1798431.00      1688059.46      3486490.46
1850-1859       21           1769383.24      1647386.49      3416769.73
1850-1859       22           1739207.85      1607701.67      3346909.52
1850-1859       23           1708756.54      1569716.45      3278472.99
1850-1859       24           1678106.38      1533889.69      3211996.07
1850-1859       25           1646981.57      1500280.77      3147262.34
1850-1859       26           1613132.03      1466731.00      3079863.02
1850-1859       27           1576992.36      1433496.89      3010489.25
1850-1859       28           1538370.65      1399982.56      2938353.21
1850-1859       29           1498445.67      1367384.86      2865830.53
1850-1859       30           1459381.84      1337104.50      2796486.34
