Croatia, Exposure to risk (period 1x10), 	Last modified: 24 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2001-2009        0            179210.37       189180.55       368390.93
2001-2009        1            180076.23       190282.34       370358.57
2001-2009        2            181935.67       192129.78       374065.45
2001-2009        3            185912.91       195901.86       381814.77
2001-2009        4            190388.35       200516.89       390905.24
2001-2009        5            194324.42       204694.85       399019.26
2001-2009        6            198914.74       209066.81       407981.55
2001-2009        7            203031.74       213045.62       416077.36
2001-2009        8            206963.55       217203.08       424166.63
2001-2009        9            209451.29       219730.92       429182.21
2001-2009       10            213098.43       223464.46       436562.89
2001-2009       11            215233.88       225610.77       440844.65
2001-2009       12            216764.14       227279.47       444043.61
2001-2009       13            217870.96       228295.48       446166.44
2001-2009       14            219527.75       229607.73       449135.49
2001-2009       15            222330.38       232468.78       454799.16
2001-2009       16            226633.77       236961.31       463595.07
2001-2009       17            230699.51       240929.88       471629.40
2001-2009       18            235502.48       245567.42       481069.90
2001-2009       19            238794.06       249056.97       487851.03
2001-2009       20            242911.80       253792.17       496703.97
2001-2009       21            246963.33       258249.26       505212.58
2001-2009       22            250104.68       261666.42       511771.10
2001-2009       23            253170.67       264989.18       518159.85
2001-2009       24            255059.00       266702.10       521761.10
2001-2009       25            255739.55       266669.55       522409.09
2001-2009       26            255669.68       265739.40       521409.08
2001-2009       27            255688.89       264609.25       520298.14
2001-2009       28            255478.02       263447.54       518925.57
2001-2009       29            255005.66       262084.87       517090.53
2001-2009       30            253129.56       259137.73       512267.29
2001-2009       31            251941.48       257030.12       508971.60
2001-2009       32            251694.75       255840.94       507535.68
2001-2009       33            252819.93       256281.18       509101.11
2001-2009       34            255008.31       257882.11       512890.42
2001-2009       35            258437.00       260404.99       518841.99
2001-2009       36            261326.31       262678.55       524004.86
2001-2009       37            263709.31       264447.68       528157.00
2001-2009       38            266493.93       266525.93       533019.86
2001-2009       39            271468.78       270721.63       542190.41
2001-2009       40            276342.83       274960.50       551303.33
2001-2009       41            280715.67       279078.66       559794.33
2001-2009       42            284176.83       282434.50       566611.33
2001-2009       43            286181.00       284391.01       570572.01
2001-2009       44            288175.50       286311.67       574487.17
2001-2009       45            291391.67       289541.84       580933.51
2001-2009       46            294198.66       293500.50       587699.17
2001-2009       47            295616.50       296153.00       591769.50
2001-2009       48            295812.00       296733.83       592545.83
2001-2009       49            294002.50       295136.67       589139.17
2001-2009       50            291624.50       292409.51       584034.01
2001-2009       51            290358.00       289858.00       580216.00
2001-2009       52            288005.67       285386.01       573391.67
2001-2009       53            283576.00       278650.51       562226.51
2001-2009       54            277406.83       269477.51       546884.34
2001-2009       55            267632.83       255862.34       523495.17
2001-2009       56            256441.34       240851.51       497292.84
2001-2009       57            247767.67       228762.34       476530.01
2001-2009       58            243001.00       220446.17       463447.17
2001-2009       59            239109.34       213026.01       452135.34
2001-2009       60            234539.67       205667.02       440206.68
2001-2009       61            231785.67       200856.67       432642.34
2001-2009       62            230488.33       196899.84       427388.17
2001-2009       63            230903.67       194655.82       425559.49
2001-2009       64            235562.33       195704.50       431266.83
2001-2009       65            241577.17       197714.66       439291.83
2001-2009       66            245044.00       197487.33       442531.33
2001-2009       67            246021.67       194622.33       440644.00
2001-2009       68            246405.00       190370.34       436775.34
2001-2009       69            245732.00       184994.34       430726.34
2001-2009       70            243422.00       178394.33       421816.33
2001-2009       71            239215.50       170845.34       410060.84
2001-2009       72            232365.00       161413.34       393778.34
2001-2009       73            223631.50       150298.51       373930.01
2001-2009       74            214166.67       138257.67       352424.34
2001-2009       75            204034.84       125328.35       329363.18
2001-2009       76            192751.66       112154.01       304905.67
2001-2009       77            180571.66        99532.68       280104.34
2001-2009       78            167565.84        87439.18       255005.02
2001-2009       79            154249.66        75694.01       229943.67
2001-2009       80            140815.54        64555.19       205370.73
2001-2009       81            127058.97        54837.09       181896.07
2001-2009       82            110291.81        45178.49       155470.30
2001-2009       83             91792.06        35944.20       127736.26
2001-2009       84             74574.88        28253.04       102827.91
2001-2009       85             60164.96        22195.49        82360.45
2001-2009       86             49343.47        17830.75        67174.22
2001-2009       87             40449.18        14529.71        54978.89
2001-2009       88             32428.00        11644.28        44072.28
2001-2009       89             25639.40         9119.10        34758.49
2001-2009       90             19909.11         6952.13        26861.24
2001-2009       91             15946.52         5412.94        21359.46
2001-2009       92             12935.94         4204.58        17140.52
2001-2009       93             10180.01         3209.76        13389.77
2001-2009       94              7704.14         2318.12        10022.26
2001-2009       95              5411.89         1567.62         6979.50
2001-2009       96              3546.16          983.60         4529.75
2001-2009       97              2255.76          596.33         2852.09
2001-2009       98              1352.18          346.92         1699.10
2001-2009       99               791.09          199.07          990.17
2001-2009      100               453.08          115.20          568.28
2001-2009      101               247.67           63.50          311.17
2001-2009      102               113.00           29.33          142.33
2001-2009      103                48.17           15.00           63.17
2001-2009      104                19.67            6.67           26.33
2001-2009      105                 7.50            1.83            9.33
2001-2009      106                 5.83            2.00            7.83
2001-2009      107                 3.67            1.00            4.67
2001-2009      108                 1.50            0.00            1.50
2001-2009      109                 0.17            0.00            0.17
2001-2009      110+                0.00            0.00            0.00
2010-2019        0            190805.41       202426.92       393232.32
2010-2019        1            194200.31       205721.12       399921.42
2010-2019        2            196663.18       208156.63       404819.82
2010-2019        3            197733.34       209594.06       407327.40
2010-2019        4            199463.06       211520.02       410983.08
2010-2019        5            200878.57       213040.89       413919.47
2010-2019        6            200777.62       212707.73       413485.35
2010-2019        7            200396.85       211769.37       412166.22
2010-2019        8            200255.61       211130.39       411386.00
2010-2019        9            200593.91       211389.58       411983.49
2010-2019       10            200824.97       211788.37       412613.34
2010-2019       11            202333.16       213342.26       415675.42
2010-2019       12            205436.52       216548.44       421984.96
2010-2019       13            210532.48       221763.82       432296.30
2010-2019       14            214552.97       225873.05       440426.02
2010-2019       15            218056.08       229056.52       447112.60
2010-2019       16            222261.02       233120.43       455381.45
2010-2019       17            226941.11       238040.59       464981.70
2010-2019       18            230509.58       241823.43       472333.01
