Belgium, Exposure to risk (period 1x5), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1844        0            239095.53       246857.40       485952.94
1841-1844        1            217726.39       221610.89       439337.28
1841-1844        2            206906.28       210808.66       417714.94
1841-1844        3            198810.59       202742.43       401553.02
1841-1844        4            192213.32       196196.07       388409.39
1841-1844        5            185834.80       189969.85       375804.64
1841-1844        6            180284.99       184627.64       364912.62
1841-1844        7            175603.95       180661.90       356265.86
1841-1844        8            171384.25       177212.35       348596.60
1841-1844        9            168524.39       175004.14       343528.53
1841-1844       10            166069.90       173555.15       339625.05
1841-1844       11            164315.79       172016.53       336332.31
1841-1844       12            163325.29       168697.51       332022.80
1841-1844       13            161194.00       163371.00       324565.00
1841-1844       14            159668.71       158595.75       318264.45
1841-1844       15            159278.34       156706.70       315985.04
1841-1844       16            158990.76       158342.50       317333.26
1841-1844       17            160618.07       161953.39       322571.45
1841-1844       18            161794.79       164276.38       326071.17
1841-1844       19            161015.21       163687.26       324702.47
1841-1844       20            158078.72       160272.06       318350.79
1841-1844       21            152553.07       154647.47       307200.54
1841-1844       22            145562.39       147889.84       293452.23
1841-1844       23            137086.27       139302.39       276388.66
1841-1844       24            132239.74       133882.82       266122.56
1841-1844       25            129390.09       130810.38       260200.47
1841-1844       26            126055.64       127022.98       253078.63
1841-1844       27            125735.81       126224.48       251960.28
1841-1844       28            123037.63       123240.62       246278.25
1841-1844       29            120733.98       120944.42       241678.40
1841-1844       30            121765.58       122932.23       244697.81
1841-1844       31            121038.81       122801.12       243839.93
1841-1844       32            120199.10       121755.36       241954.46
1841-1844       33            118674.08       120046.90       238720.98
1841-1844       34            117652.32       119019.93       236672.25
1841-1844       35            116605.93       118870.90       235476.83
1841-1844       36            113192.83       116793.63       229986.46
1841-1844       37            110061.98       114428.29       224490.27
1841-1844       38            105096.20       109428.85       214525.05
1841-1844       39            102922.58       107245.04       210167.61
1841-1844       40            105596.51       110670.85       216267.36
1841-1844       41            106733.97       112112.01       218845.98
1841-1844       42            106569.08       111408.23       217977.31
1841-1844       43            104293.42       108283.22       212576.63
1841-1844       44            101805.69       104456.00       206261.69
1841-1844       45             99357.20       100586.84       199944.04
1841-1844       46             94494.36        93966.28       188460.64
1841-1844       47             89605.60        86294.00       175899.60
1841-1844       48             83044.97        76197.27       159242.24
1841-1844       49             78607.73        68114.25       146721.97
1841-1844       50             78513.72        65308.26       143821.98
1841-1844       51             77548.16        62831.71       140379.86
1841-1844       52             75591.57        60236.88       135828.45
1841-1844       53             72519.37        57518.66       130038.03
1841-1844       54             70915.59        56781.96       127697.55
1841-1844       55             70394.39        57544.28       127938.66
1841-1844       56             68061.82        56972.93       125034.76
1841-1844       57             65941.95        56512.76       122454.71
1841-1844       58             62012.42        54000.38       116012.80
1841-1844       59             58801.09        51496.32       110297.41
1841-1844       60             58842.70        52003.25       110845.95
1841-1844       61             58224.18        51939.99       110164.17
1841-1844       62             56277.26        50405.18       106682.44
1841-1844       63             53260.83        47871.57       101132.40
1841-1844       64             50502.48        45375.85        95878.33
1841-1844       65             47792.32        42985.47        90777.79
1841-1844       66             44566.67        40298.42        84865.10
1841-1844       67             41819.00        38034.20        79853.20
1841-1844       68             38181.57        34817.46        72999.03
1841-1844       69             35305.88        32241.63        67547.50
1841-1844       70             34078.64        31268.53        65347.17
1841-1844       71             32367.62        29757.13        62124.75
1841-1844       72             30491.92        27903.13        58395.05
1841-1844       73             28220.78        25533.30        53754.08
1841-1844       74             25974.02        23128.20        49102.22
1841-1844       75             23854.72        21084.33        44939.05
1841-1844       76             21301.36        18858.83        40160.19
1841-1844       77             18919.21        16757.46        35676.67
1841-1844       78             16363.82        14451.80        30815.62
1841-1844       79             14076.32        12306.14        26382.46
1841-1844       80             12131.92        10304.17        22436.09
1841-1844       81             10345.11         8660.07        19005.18
1841-1844       82              8719.35         7177.79        15897.14
1841-1844       83              7263.82         5868.19        13132.00
1841-1844       84              5981.03         4732.70        10713.72
1841-1844       85              4864.93         3764.11         8629.04
1841-1844       86              3913.04         2958.12         6871.16
1841-1844       87              3105.82         2291.65         5397.48
1841-1844       88              2427.39         1744.76         4172.15
1841-1844       89              1865.09         1302.82         3167.91
1841-1844       90              1406.07          952.49         2358.56
1841-1844       91              1044.39          685.44         1729.83
1841-1844       92               764.43          488.04         1252.47
1841-1844       93               550.81          346.08          896.89
1841-1844       94               389.24          244.29          633.53
1841-1844       95               266.32          169.77          436.09
1841-1844       96               175.67          116.72          292.39
1841-1844       97               113.30           78.08          191.38
1841-1844       98                71.77           48.98          120.75
1841-1844       99                44.21           29.04           73.24
1841-1844      100                25.59           15.54           41.13
1841-1844      101                13.80            7.50           21.30
1841-1844      102                 6.66            2.87            9.54
1841-1844      103                 2.34            0.29            2.62
1841-1844      104                 0.35            0.00            0.35
1841-1844      105                 0.00            0.00            0.00
1841-1844      106                 0.00            0.00            0.00
1841-1844      107                 0.00            0.00            0.00
1841-1844      108                 0.00            0.00            0.00
1841-1844      109                 0.00            0.00            0.00
1841-1844      110+                0.00            0.00            0.00
1845-1849        0            271915.75       279426.39       551342.15
1845-1849        1            248153.55       250580.39       498733.94
1845-1849        2            240318.39       242725.09       483043.48
1845-1849        3            240266.53       243824.57       484091.09
1845-1849        4            241501.70       246293.71       487795.41
1845-1849        5            239904.87       245513.73       485418.60
1845-1849        6            237450.46       243609.37       481059.82
1845-1849        7            234016.32       240296.75       474313.07
1845-1849        8            229432.17       235684.47       465116.64
1845-1849        9            223851.85       230221.06       454072.91
1845-1849       10            217951.85       224457.42       442409.27
1845-1849       11            212570.16       219591.21       432161.37
1845-1849       12            208115.34       216416.66       424532.00
1845-1849       13            204716.13       214507.58       419223.71
1845-1849       14            202004.18       213338.78       415342.95
1845-1849       15            199582.10       211138.15       410720.24
1845-1849       16            197484.16       206722.76       404206.93
1845-1849       17            194626.29       200814.36       395440.65
1845-1849       18            192157.30       195658.71       387816.01
1845-1849       19            190931.62       192553.15       383484.77
1845-1849       20            190333.34       191533.01       381866.35
1845-1849       21            190699.67       192604.62       383304.29
1845-1849       22            191927.20       194203.02       386130.22
1845-1849       23            191608.92       194137.50       385746.43
1845-1849       24            188436.79       190783.80       379220.59
1845-1849       25            183590.93       185407.86       368998.79
1845-1849       26            176484.76       178430.39       354915.15
1845-1849       27            167738.93       170032.38       337771.31
1845-1849       28            161682.07       164038.59       325720.66
1845-1849       29            157297.45       159636.74       316934.19
1845-1849       30            152454.42       154664.24       307118.67
1845-1849       31            149864.66       151698.50       301563.16
1845-1849       32            148630.85       150230.80       298861.65
1845-1849       33            146077.47       147910.50       293987.97
1845-1849       34            144673.39       147156.68       291830.07
1845-1849       35            144331.83       147081.85       291413.68
1845-1849       36            142611.25       145200.44       287811.69
1845-1849       37            141207.62       144067.03       285274.65
1845-1849       38            140785.76       144294.76       285080.53
1845-1849       39            138380.81       142377.11       280757.92
1845-1849       40            134156.58       138916.55       273073.13
1845-1849       41            130465.64       136324.29       266789.93
1845-1849       42            126772.38       133238.98       260011.35
1845-1849       43            123281.58       129936.57       253218.15
1845-1849       44            123021.72       129959.58       252981.30
1845-1849       45            124241.09       131019.66       255260.76
1845-1849       46            123681.29       129415.76       253097.05
1845-1849       47            122730.54       127414.22       250144.76
1845-1849       48            121695.39       125272.41       246967.80
1845-1849       49            117640.71       119350.22       236990.92
1845-1849       50            111103.80       110311.86       221415.66
1845-1849       51            105461.55       101973.60       207435.15
1845-1849       52            100120.66        93309.16       193429.82
1845-1849       53             94209.25        83460.02       177669.28
1845-1849       54             90512.43        76204.68       166717.11
1845-1849       55             89029.14        72391.90       161421.04
