Finland, Exposure to risk (period 1x5), 	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1878-1879        0             66146.17        68744.85       134891.02
1878-1879        1             58668.54        59748.92       118417.46
1878-1879        2             53485.53        53838.96       107324.49
1878-1879        3             51601.99        51616.96       103218.94
1878-1879        4             51379.86        51694.64       103074.50
1878-1879        5             49322.00        50145.95        99467.94
1878-1879        6             47720.80        48286.81        96007.60
1878-1879        7             46454.57        46668.92        93123.49
1878-1879        8             45453.49        45702.52        91156.02
1878-1879        9             39241.01        39696.75        78937.75
1878-1879       10             33439.19        34051.85        67491.03
1878-1879       11             33189.30        33522.54        66711.84
1878-1879       12             33465.88        33518.68        66984.56
1878-1879       13             36638.71        36593.07        73231.78
1878-1879       14             39603.75        39520.79        79124.54
1878-1879       15             39995.23        39947.22        79942.45
1878-1879       16             38761.99        38546.14        77308.13
1878-1879       17             37977.19        37678.07        75655.26
1878-1879       18             36804.51        36800.21        73604.72
1878-1879       19             35994.83        36418.13        72412.96
1878-1879       20             35911.93        36393.22        72305.15
1878-1879       21             34432.84        34641.44        69074.29
1878-1879       22             33418.86        33509.47        66928.33
1878-1879       23             33587.53        33570.34        67157.88
1878-1879       24             33870.73        33592.96        67463.69
1878-1879       25             33565.32        33184.95        66750.27
1878-1879       26             33217.37        32476.35        65693.71
1878-1879       27             32783.03        31440.51        64223.54
1878-1879       28             32148.24        30640.37        62788.61
1878-1879       29             31804.74        30320.82        62125.56
1878-1879       30             31215.89        29747.74        60963.63
1878-1879       31             29925.32        28633.20        58558.52
1878-1879       32             29187.54        28026.65        57214.19
1878-1879       33             29229.53        28053.02        57282.55
1878-1879       34             29355.84        27998.29        57354.13
1878-1879       35             29527.25        28035.95        57563.20
1878-1879       36             28832.30        27362.77        56195.07
1878-1879       37             27344.00        25876.74        53220.74
1878-1879       38             26106.79        24688.42        50795.20
1878-1879       39             25346.33        24098.09        49444.42
1878-1879       40             24453.90        23249.60        47703.50
1878-1879       41             23240.01        22015.46        45255.46
1878-1879       42             22246.98        21032.84        43279.83
1878-1879       43             21869.45        20599.99        42469.44
1878-1879       44             21327.00        19933.97        41260.97
1878-1879       45             20224.60        18777.49        39002.10
1878-1879       46             19553.32        17990.07        37543.38
1878-1879       47             19433.35        17747.37        37180.71
1878-1879       48             19649.83        17915.67        37565.49
1878-1879       49             20209.29        18375.28        38584.57
1878-1879       50             20486.88        18542.50        39029.38
1878-1879       51             19920.46        17866.21        37786.67
1878-1879       52             19219.06        17018.63        36237.69
1878-1879       53             18824.68        16538.32        35362.99
1878-1879       54             18439.50        16085.43        34524.94
1878-1879       55             17599.56        15288.54        32888.10
1878-1879       56             16675.10        14455.91        31131.01
1878-1879       57             16161.04        13846.11        30007.15
1878-1879       58             15812.07        13285.09        29097.16
1878-1879       59             15267.19        12576.80        27844.00
1878-1879       60             14515.54        11825.61        26341.14
1878-1879       61             13599.68        11111.09        24710.76
1878-1879       62             12665.24        10341.27        23006.51
1878-1879       63             11887.87         9604.26        21492.13
1878-1879       64             11108.43         8837.06        19945.49
1878-1879       65             10137.97         7897.47        18035.44
1878-1879       66              9282.26         7046.38        16328.65
1878-1879       67              8592.53         6461.84        15054.36
1878-1879       68              7833.68         5878.05        13711.72
1878-1879       69              6857.43         5049.88        11907.31
1878-1879       70              5859.82         4261.38        10121.21
1878-1879       71              5105.21         3664.72         8769.92
1878-1879       72              4883.72         3425.91         8309.63
1878-1879       73              4897.04         3396.60         8293.64
1878-1879       74              4733.61         3292.89         8026.50
1878-1879       75              4203.93         2921.61         7125.54
1878-1879       76              3632.14         2453.15         6085.29
1878-1879       77              3189.77         2038.80         5228.57
1878-1879       78              2836.75         1757.09         4593.84
1878-1879       79              2397.69         1487.77         3885.46
1878-1879       80              1864.64         1174.78         3039.43
1878-1879       81              1575.18          940.09         2515.27
1878-1879       82              1353.23          761.77         2115.00
1878-1879       83              1124.54          611.61         1736.15
1878-1879       84               872.55          471.56         1344.11
1878-1879       85               650.81          345.45          996.26
1878-1879       86               485.31          252.69          738.00
1878-1879       87               346.31          179.05          525.37
1878-1879       88               241.89          113.89          355.77
1878-1879       89               173.54           69.06          242.60
1878-1879       90               121.18           45.16          166.33
1878-1879       91                82.93           29.09          112.01
1878-1879       92                54.34           17.30           71.64
1878-1879       93                32.22            8.80           41.02
1878-1879       94                19.31            5.78           25.09
1878-1879       95                15.26            6.27           21.53
1878-1879       96                12.79            6.01           18.79
1878-1879       97                 7.77            3.73           11.50
1878-1879       98                 3.26            1.52            4.77
1878-1879       99                 1.01            1.53            2.54
1878-1879      100                 0.25            1.47            1.72
1878-1879      101                 0.00            0.47            0.47
1878-1879      102                 0.00            0.00            0.00
1878-1879      103                 0.00            0.00            0.00
1878-1879      104                 0.00            0.00            0.00
1878-1879      105                 0.00            0.00            0.00
1878-1879      106                 0.00            0.00            0.00
1878-1879      107                 0.00            0.00            0.00
1878-1879      108                 0.00            0.00            0.00
1878-1879      109                 0.00            0.00            0.00
1878-1879      110+                0.00            0.00            0.00
1880-1884        0            162801.04       168246.00       331047.04
1880-1884        1            148236.51       150662.89       298899.40
1880-1884        2            141706.40       143873.60       285580.00
1880-1884        3            137068.19       138854.42       275922.61
1880-1884        4            131983.65       133330.97       265314.62
1880-1884        5            128141.84       129268.49       257410.33
1880-1884        6            124449.81       125481.66       249931.47
1880-1884        7            120772.38       121722.02       242494.40
1880-1884        8            119075.79       119922.70       238998.49
1880-1884        9            117515.21       118270.13       235785.34
1880-1884       10            115376.29       116101.89       231478.18
1880-1884       11            107478.57       108193.55       215672.12
1880-1884       12            101118.24       101781.86       202900.10
1880-1884       13             93907.99        94594.98       188502.98
1880-1884       14             89018.80        89756.72       178775.52
1880-1884       15             85983.41        86598.80       172582.21
1880-1884       16             89341.64        89621.89       178963.52
1880-1884       17             91785.86        91766.74       183552.60
1880-1884       18             94196.95        94050.73       188247.69
1880-1884       19             95653.58        95339.86       190993.44
1880-1884       20             93932.00        93652.00       187584.01
1880-1884       21             92164.38        91933.26       184097.65
1880-1884       22             90067.72        89751.83       179819.55
1880-1884       23             87780.28        87498.77       175279.05
1880-1884       24             85316.66        85144.66       170461.32
1880-1884       25             84298.67        83995.72       168294.39
1880-1884       26             83022.71        82430.78       165453.49
1880-1884       27             82220.78        81405.97       163626.75
1880-1884       28             82148.56        80874.77       163023.33
1880-1884       29             81879.89        79853.93       161733.81
1880-1884       30             80992.58        78385.10       159377.67
1880-1884       31             79589.32        76450.47       156039.79
1880-1884       32             77787.31        74233.51       152020.82
1880-1884       33             75573.12        72036.35       147609.47
1880-1884       34             73766.99        70400.76       144167.74
1880-1884       35             72420.40        69108.32       141528.72
1880-1884       36             71691.67        68381.50       140073.17
1880-1884       37             71304.93        67933.64       139238.57
1880-1884       38             70764.10        67291.19       138055.29
1880-1884       39             69461.76        65744.47       135206.23
1880-1884       40             67653.42        63746.98       131400.39
1880-1884       41             65197.16        61445.20       126642.37
1880-1884       42             62427.31        58854.96       121282.27
1880-1884       43             59778.20        56304.29       116082.49
1880-1884       44             57515.96        54213.74       111729.71
1880-1884       45             55716.09        52319.09       108035.18
1880-1884       46             53709.14        50040.40       103749.55
1880-1884       47             51619.40        47744.66        99364.06
1880-1884       48             49999.65        45870.37        95870.02
1880-1884       49             48799.71        44408.81        93208.52
1880-1884       50             47918.03        43264.79        91182.81
1880-1884       51             47752.92        42887.13        90640.05
1880-1884       52             47958.87        42834.16        90793.04
1880-1884       53             47894.74        42464.42        90359.15
1880-1884       54             47542.91        41812.61        89355.52
1880-1884       55             46747.77        40774.48        87522.25
1880-1884       56             45370.20        39194.36        84564.55
1880-1884       57             43608.09        37415.49        81023.57
1880-1884       58             41866.52        35787.09        77653.61
1880-1884       59             40227.54        34179.43        74406.97
1880-1884       60             38547.11        32401.77        70948.88
1880-1884       61             36796.54        30446.59        67243.12
1880-1884       62             35030.65        28556.86        63587.51
1880-1884       63             33155.85        26754.61        59910.46
1880-1884       64             31027.69        24847.40        55875.09
1880-1884       65             28837.17        22923.98        51761.15
1880-1884       66             26684.26        21051.16        47735.41
1880-1884       67             24510.23        19069.06        43579.30
1880-1884       68             22355.92        17059.94        39415.87
