United Kingdom, Exposure to risk (period 1x5), 	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1922-1924        0           1286867.36      1330540.47      2617407.83
1922-1924        1           1296412.95      1328204.13      2624617.07
1922-1924        2           1299226.12      1330989.97      2630216.09
1922-1924        3           1227242.12      1257116.64      2484358.76
1922-1924        4           1106512.18      1130910.30      2237422.48
1922-1924        5           1029949.86      1049033.77      2078983.62
1922-1924        6           1050290.19      1066804.80      2117095.00
1922-1924        7           1129130.92      1142950.08      2272081.00
1922-1924        8           1198425.06      1207320.16      2405745.22
1922-1924        9           1237379.82      1242944.06      2480323.88
1922-1924       10           1248331.33      1254484.97      2502816.30
1922-1924       11           1247193.35      1254264.45      2501457.80
1922-1924       12           1252091.07      1257302.63      2509393.69
1922-1924       13           1265111.12      1265794.61      2530905.73
1922-1924       14           1276778.62      1272177.68      2548956.30
1922-1924       15           1277740.18      1268304.39      2546044.57
1922-1924       16           1269227.30      1255621.15      2524848.45
1922-1924       17           1257066.03      1238423.19      2495489.21
1922-1924       18           1245811.41      1218890.43      2464701.84
1922-1924       19           1236839.19      1198265.06      2435104.24
1922-1924       20           1226185.58      1171239.91      2397425.48
1922-1924       21           1214089.59      1137128.72      2351218.30
1922-1924       22           1202394.25      1098553.05      2300947.30
1922-1924       23           1188784.84      1054310.45      2243095.29
1922-1924       24           1174070.74      1008631.22      2182701.96
1922-1924       25           1159785.73       969802.96      2129588.69
1922-1924       26           1148475.84       946262.49      2094738.32
1922-1924       27           1134853.92       933067.09      2067921.01
1922-1924       28           1118712.37       923679.40      2042391.76
1922-1924       29           1103931.91       916190.36      2020122.26
1922-1924       30           1094955.89       911968.61      2006924.50
1922-1924       31           1085752.80       907480.47      1993233.28
1922-1924       32           1065284.50       895526.68      1960811.19
1922-1924       33           1040796.26       880806.89      1921603.15
1922-1924       34           1024191.60       871124.68      1895316.28
1922-1924       35           1017600.07       866371.82      1883971.88
1922-1924       36           1014288.68       863969.82      1878258.50
1922-1924       37           1004793.39       860123.23      1864916.62
1922-1924       38            996107.71       857640.01      1853747.72
1922-1924       39            991440.78       857199.06      1848639.84
1922-1924       40            993159.13       862639.06      1855798.18
1922-1924       41            992730.56       869077.28      1861807.83
1922-1924       42            975978.12       862537.58      1838515.70
1922-1924       43            950467.15       844447.27      1794914.42
1922-1924       44            925907.08       824730.17      1750637.25
1922-1924       45            908404.45       813531.13      1721935.58
1922-1924       46            896090.23       811281.24      1707371.47
1922-1924       47            876424.30       805781.35      1682205.65
1922-1924       48            854298.44       795583.64      1649882.09
1922-1924       49            833634.23       781267.65      1614901.89
1922-1924       50            819185.38       767346.33      1586531.72
1922-1924       51            800211.75       748289.23      1548500.98
1922-1924       52            763498.29       715184.27      1478682.56
1922-1924       53            720821.89       675886.06      1396707.95
1922-1924       54            687176.52       641889.63      1329066.15
1922-1924       55            664559.82       615563.80      1280123.62
1922-1924       56            644217.72       592532.28      1236750.00
1922-1924       57            618581.45       567959.16      1186540.61
1922-1924       58            593925.31       543904.51      1137829.82
1922-1924       59            571891.52       520621.95      1092513.47
1922-1924       60            553278.03       499295.34      1052573.37
1922-1924       61            534507.40       477860.17      1012367.58
1922-1924       62            505874.64       448650.00       954524.64
1922-1924       63            472927.22       415121.11       888048.33
1922-1924       64            445119.85       385407.29       830527.14
1922-1924       65            426621.23       364234.53       790855.76
1922-1924       66            412624.97       348388.90       761013.87
1922-1924       67            392359.03       328403.43       720762.46
1922-1924       68            367540.68       304050.63       671591.30
1922-1924       69            344924.22       281055.63       625979.84
1922-1924       70            327618.76       261794.26       589413.02
1922-1924       71            308989.43       240794.55       549783.98
1922-1924       72            282760.63       213999.48       496760.12
1922-1924       73            253703.24       186471.59       440174.83
1922-1924       74            227638.73       163060.25       390698.98
1922-1924       75            206119.57       144168.67       350288.24
1922-1924       76            187854.63       128342.20       316196.83
1922-1924       77            170583.89       113833.61       284417.51
1922-1924       78            152730.07        99583.66       252313.73
1922-1924       79            133073.47        84891.18       217964.64
1922-1924       80            116409.61        71057.12       187466.73
1922-1924       81            100964.21        60357.69       161321.90
1922-1924       82             87168.62        50624.51       137793.13
1922-1924       83             73054.01        40874.55       113928.55
1922-1924       84             59076.03        31955.64        91031.67
1922-1924       85             46652.70        24537.36        71190.06
1922-1924       86             36668.13        18672.47        55340.60
1922-1924       87             28535.21        13940.35        42475.56
1922-1924       88             21955.73        10219.73        32175.45
1922-1924       89             16626.68         7426.57        24053.24
1922-1924       90             12280.77         5330.87        17611.63
1922-1924       91              9051.23         3772.90        12824.13
1922-1924       92              6617.71         2608.63         9226.34
1922-1924       93              4678.42         1772.96         6451.38
1922-1924       94              3206.69         1191.57         4398.26
1922-1924       95              2149.32          774.94         2924.25
1922-1924       96              1437.31          489.74         1927.05
1922-1924       97               920.27          302.76         1223.03
1922-1924       98               556.93          184.79          741.72
1922-1924       99               330.35          109.46          439.80
1922-1924      100               196.40           59.85          256.25
1922-1924      101               119.43           32.90          152.33
1922-1924      102                70.39           20.55           90.94
1922-1924      103                39.67           10.68           50.35
1922-1924      104                22.33            4.29           26.62
1922-1924      105                11.84            2.48           14.32
1922-1924      106                 6.20            0.95            7.15
1922-1924      107                 1.95            0.00            1.95
1922-1924      108                 0.00            0.00            0.00
1922-1924      109                 0.00            0.00            0.00
1922-1924      110+                0.00            0.00            0.00
1925-1929        0           1892320.03      1953154.33      3845474.36
1925-1929        1           1876968.81      1919266.88      3796235.69
1925-1929        2           1907706.20      1947585.48      3855291.68
1925-1929        3           1958798.37      1999487.43      3958285.79
1925-1929        4           2024347.56      2066925.59      4091273.14
1925-1929        5           2064765.60      2109525.94      4174291.55
1925-1929        6           2029477.33      2074577.05      4104054.38
1925-1929        7           1949591.02      1992425.79      3942016.81
1925-1929        8           1874193.05      1913899.87      3788092.92
1925-1929        9           1810646.91      1845258.88      3655905.79
1925-1929       10           1791324.35      1817575.29      3608899.64
1925-1929       11           1850673.32      1867708.12      3718381.44
1925-1929       12           1944067.04      1953469.36      3897536.40
1925-1929       13           2011476.51      2012870.66      4024347.17
1925-1929       14           2049262.22      2040784.61      4090046.83
1925-1929       15           2067265.65      2049361.52      4116627.17
1925-1929       16           2077151.62      2050325.67      4127477.29
1925-1929       17           2087849.98      2049380.07      4137230.05
1925-1929       18           2095311.08      2043728.17      4139039.25
1925-1929       19           2097360.77      2034559.55      4131920.32
1925-1929       20           2089973.09      2016190.03      4106163.12
