Luxembourg, Exposure to risk (period 1x5), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1964        0             12347.00        12842.63        25189.63
1960-1964        1             12241.46        12678.56        24920.03
1960-1964        2             12180.28        12730.49        24910.77
1960-1964        3             12105.80        12680.66        24786.46
1960-1964        4             12012.60        12566.43        24579.04
1960-1964        5             11877.98        12408.77        24286.75
1960-1964        6             11754.95        12161.93        23916.87
1960-1964        7             11628.94        11940.49        23569.44
1960-1964        8             11355.33        11703.37        23058.70
1960-1964        9             11017.36        11444.01        22461.37
1960-1964       10             10728.76        11145.45        21874.22
1960-1964       11             10476.43        10885.82        21362.25
1960-1964       12             10265.22        10644.06        20909.29
1960-1964       13             10218.01        10569.74        20787.75
1960-1964       14             10124.71        10495.86        20620.57
1960-1964       15              9962.19        10362.15        20324.34
1960-1964       16              9983.80        10384.39        20368.19
1960-1964       17             10019.11        10433.58        20452.69
1960-1964       18             10096.38        10489.93        20586.31
1960-1964       19             10068.01        10466.86        20534.86
1960-1964       20             10303.82        10861.58        21165.41
1960-1964       21             10452.18        11091.80        21543.98
1960-1964       22             10530.44        11197.63        21728.08
1960-1964       23             10506.68        11279.91        21786.59
1960-1964       24             10708.63        11560.79        22269.42
1960-1964       25             10774.50        11598.19        22372.69
1960-1964       26             10731.86        11583.61        22315.47
1960-1964       27             10786.73        11692.20        22478.93
1960-1964       28             11008.36        11878.71        22887.07
1960-1964       29             11365.21        12232.66        23597.87
1960-1964       30             11686.52        12635.50        24322.03
1960-1964       31             11953.46        13024.03        24977.48
1960-1964       32             12202.37        13273.62        25475.99
1960-1964       33             12274.23        13199.24        25473.47
1960-1964       34             12126.14        12760.05        24886.19
1960-1964       35             11993.68        12120.08        24113.76
1960-1964       36             11957.35        11402.68        23360.04
1960-1964       37             11817.00        10643.70        22460.69
1960-1964       38             11674.56        10121.88        21796.44
1960-1964       39             11621.08         9833.89        21454.97
1960-1964       40             11577.20         9808.29        21385.49
1960-1964       41             10944.18         9546.13        20490.30
1960-1964       42             10204.66         9206.77        19411.43
1960-1964       43              9639.34         8966.95        18606.29
1960-1964       44              9181.31         8830.12        18011.43
1960-1964       45              9051.03         8973.29        18024.32
1960-1964       46              9615.07         9540.58        19155.65
1960-1964       47             10395.62        10270.74        20666.36
1960-1964       48             11032.20        10872.64        21904.84
1960-1964       49             11456.36        11290.25        22746.62
1960-1964       50             11525.98        11408.41        22934.38
1960-1964       51             11532.81        11411.81        22944.61
1960-1964       52             11575.49        11393.76        22969.25
1960-1964       53             11562.56        11359.92        22922.48
1960-1964       54             11549.10        11297.46        22846.56
1960-1964       55             11515.77        11132.55        22648.32
1960-1964       56             11331.93        10844.06        22175.98
1960-1964       57             11129.94        10516.13        21646.07
1960-1964       58             10945.58        10212.78        21158.35
1960-1964       59             10747.94         9943.42        20691.36
1960-1964       60             10487.53         9542.45        20029.97
1960-1964       61             10207.23         9114.20        19321.43
1960-1964       62              9784.05         8632.06        18416.11
1960-1964       63              9331.82         8102.64        17434.46
1960-1964       64              8868.60         7513.33        16381.93
1960-1964       65              8437.48         7031.31        15468.79
1960-1964       66              8052.50         6618.13        14670.62
1960-1964       67              7630.02         6211.39        13841.40
1960-1964       68              7141.65         5799.27        12940.92
1960-1964       69              6666.60         5413.12        12079.71
1960-1964       70              6235.20         5017.22        11252.41
1960-1964       71              5807.12         4610.38        10417.50
1960-1964       72              5422.15         4264.65         9686.79
1960-1964       73              5122.98         3970.81         9093.79
1960-1964       74              4797.62         3669.39         8467.01
1960-1964       75              4448.18         3366.66         7814.84
1960-1964       76              4098.71         3069.33         7168.03
1960-1964       77              3756.34         2768.97         6525.31
1960-1964       78              3413.00         2469.20         5882.21
1960-1964       79              3067.02         2196.78         5263.80
1960-1964       80              2730.00         1960.78         4690.78
1960-1964       81              2373.77         1692.68         4066.45
1960-1964       82              2013.39         1430.16         3443.55
1960-1964       83              1688.20         1187.49         2875.69
1960-1964       84              1421.97          976.12         2398.08
1960-1964       85              1173.53          781.43         1954.96
1960-1964       86               931.84          609.03         1540.87
1960-1964       87               718.71          473.80         1192.51
1960-1964       88               536.12          358.95          895.07
1960-1964       89               386.81          255.83          642.64
1960-1964       90               272.67          174.15          446.82
1960-1964       91               192.98          111.91          304.88
1960-1964       92               127.22           67.68          194.90
1960-1964       93                82.03           39.67          121.69
1960-1964       94                58.17           23.45           81.61
1960-1964       95                40.73           14.18           54.91
1960-1964       96                29.57            7.94           37.51
1960-1964       97                20.47            3.22           23.68
1960-1964       98                11.05            1.25           12.30
1960-1964       99                 4.01            1.00            5.01
1960-1964      100                 1.07            0.48            1.55
1960-1964      101                 0.09            0.00            0.09
1960-1964      102                 0.00            0.00            0.00
1960-1964      103                 0.00            0.00            0.00
1960-1964      104                 0.00            0.00            0.00
1960-1964      105                 0.00            0.00            0.00
1960-1964      106                 0.00            0.00            0.00
1960-1964      107                 0.00            0.00            0.00
1960-1964      108                 0.00            0.00            0.00
1960-1964      109                 0.00            0.00            0.00
1960-1964      110+                0.00            0.00            0.00
1965-1969        0             12064.71        12734.43        24799.15
1965-1969        1             12272.07        12958.95        25231.02
1965-1969        2             12492.77        13117.75        25610.52
1965-1969        3             12665.45        13208.98        25874.43
1965-1969        4             12708.81        13203.77        25912.58
1965-1969        5             12716.66        13114.11        25830.77
1965-1969        6             12650.95        13020.21        25671.16
1965-1969        7             12562.79        13030.90        25593.69
1965-1969        8             12456.22        12972.26        25428.48
1965-1969        9             12351.01        12865.11        25216.11
1965-1969       10             12206.59        12712.08        24918.67
1965-1969       11             12075.94        12465.04        24540.98
1965-1969       12             11965.29        12253.67        24218.97
1965-1969       13             11744.57        12047.01        23791.58
1965-1969       14             11521.60        11855.65        23377.25
1965-1969       15             11372.07        11644.69        23016.76
1965-1969       16             11235.31        11529.85        22765.15
1965-1969       17             11080.59        11415.30        22495.89
1965-1969       18             11005.81        11408.05        22413.86
1965-1969       19             10870.09        11367.62        22237.71
1965-1969       20             10652.08        11246.19        21898.26
1965-1969       21             10617.61        11280.71        21898.31
1965-1969       22             10609.46        11371.86        21981.31
1965-1969       23             10665.41        11436.84        22102.25
1965-1969       24             10620.56        11348.76        21969.32
1965-1969       25             10900.26        11665.35        22565.61
1965-1969       26             11062.12        11794.88        22857.00
1965-1969       27             11126.78        11825.43        22952.22
1965-1969       28             11081.79        11851.75        22933.54
1965-1969       29             11249.34        12091.36        23340.70
1965-1969       30             11254.47        12055.39        23309.85
1965-1969       31             11139.81        11936.30        23076.11
1965-1969       32             11148.57        11952.29        23100.86
1965-1969       33             11324.57        12090.85        23415.42
1965-1969       34             11666.10        12426.84        24092.94
1965-1969       35             11985.02        12791.20        24776.22
1965-1969       36             12229.08        13142.99        25372.07
1965-1969       37             12443.51        13373.28        25816.79
1965-1969       38             12501.44        13296.05        25797.49
1965-1969       39             12363.66        12854.62        25218.28
1965-1969       40             12194.05        12192.28        24386.33
1965-1969       41             12104.96        11437.77        23542.72
1965-1969       42             11921.12        10652.73        22573.85
1965-1969       43             11773.48        10077.74        21851.23
1965-1969       44             11714.92         9735.02        21449.94
1965-1969       45             11638.34         9685.22        21323.56
1965-1969       46             10975.04         9408.92        20383.95
1965-1969       47             10202.17         9051.69        19253.86
1965-1969       48              9600.57         8797.64        18398.21
1965-1969       49              9117.42         8651.88        17769.29
1965-1969       50              8968.11         8757.61        17725.72
1965-1969       51              9490.94         9267.63        18758.57
1965-1969       52             10231.79         9921.42        20153.22
1965-1969       53             10815.36        10402.15        21217.51
1965-1969       54             11182.82        10686.53        21869.35
1965-1969       55             11223.46        10703.55        21927.01
1965-1969       56             11211.79        10618.61        21830.40
1965-1969       57             11224.71        10559.54        21784.25
1965-1969       58             11182.05        10461.51        21643.56
1965-1969       59             11162.34        10280.14        21442.48
1965-1969       60             11085.32        10006.92        21092.24
1965-1969       61             10837.49         9646.14        20483.63
1965-1969       62             10586.14         9231.18        19817.33
1965-1969       63             10351.24         8836.46        19187.70
1965-1969       64             10096.48         8529.65        18626.13
1965-1969       65              9746.97         8126.03        17873.00
1965-1969       66              9374.12         7695.51        17069.63
