Netherlands, Exposure to risk (period 5x1), 	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1850           0             42850.70        44433.57        87284.26
  1850         1-4            131425.13       132826.04       264251.17
  1850         5-9            170956.00       174298.80       345254.80
  1850        10-14           164141.25       166739.37       330880.61
  1850        15-19           142774.17       143180.83       285955.00
  1850        20-24           139333.83       134423.83       273757.67
  1850        25-29           132647.50       128640.33       261287.83
  1850        30-34           111716.50       107796.33       219512.83
  1850        35-39            99050.33        94958.50       194008.83
  1850        40-44            85211.67        80775.67       165987.33
  1850        45-49            81572.50        76724.17       158296.67
  1850        50-54            73763.17        68247.33       142010.50
  1850        55-59            59988.00        50874.17       110862.17
  1850        60-64            50400.67        40352.33        90753.00
  1850        65-69            34335.83        27510.00        61845.83
  1850        70-74            23566.83        18675.33        42242.17
  1850        75-79            14548.50        11287.83        25836.33
  1850        80-84             6616.67         5005.67        11622.33
  1850        85-89             2131.33         1608.33         3739.67
  1850        90-94              471.00          329.59          800.59
  1850        95-99               79.28           46.25          125.53
  1850       100-104               2.44            0.50            2.94
  1850       105-109               0.00            0.00            0.00
  1850       110+                  0.00            0.00            0.00
  1851           0             47375.08        48991.82        96366.90
  1851         1-4            133235.35       134985.49       268220.84
  1851         5-9            168763.42       171688.62       340452.04
  1851        10-14           165543.07       168325.58       333868.65
  1851        15-19           145925.33       147301.33       293226.67
  1851        20-24           137421.00       133666.50       271087.50
  1851        25-29           135756.67       131271.33       267028.00
  1851        30-34           112737.17       108940.17       221677.33
  1851        35-39           100215.67        96695.00       196910.67
  1851        40-44            86837.17        82280.00       169117.17
  1851        45-49            80451.17        76112.50       156563.67
  1851        50-54            75962.00        70424.33       146386.33
  1851        55-59            60761.17        52121.50       112882.67
  1851        60-64            51203.83        40775.83        91979.67
  1851        65-69            35793.00        28601.83        64394.83
  1851        70-74            23861.00        18943.00        42804.00
  1851        75-79            14517.83        11334.83        25852.67
  1851        80-84             6818.67         5121.67        11940.33
  1851        85-89             2190.33         1636.50         3826.83
  1851        90-94              486.40          353.25          839.65
  1851        95-99               80.71           46.42          127.13
  1851       100-104               1.89            0.50            2.38
  1851       105-109               0.00            0.00            0.00
  1851       110+                  0.00            0.00            0.00
  1852           0             47138.57        48627.53        95766.11
  1852         1-4            141403.28       143825.51       285228.79
  1852         5-9            163942.52       166392.09       330334.62
  1852        10-14           166662.79       169474.83       336137.62
