Chile, Exposure to risk (period 5x10), 	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1999        0           1037184.05      1084268.51      2121452.56
1992-1999      1-4           4281819.58      4466555.75      8748375.33
1992-1999      5-9           5409733.67      5623077.95     11032811.62
1992-1999     10-14          4996433.55      5166898.06     10163331.61
1992-1999     15-19          4769930.59      4895451.48      9665382.07
1992-1999     20-24          4823830.50      4831189.38      9655019.88
1992-1999     25-29          4916127.84      4801701.24      9717829.08
1992-1999     30-34          4911194.80      4727490.92      9638685.72
1992-1999     35-39          4399563.15      4207673.22      8607236.37
1992-1999     40-44          3611715.53      3431925.38      7043640.91
1992-1999     45-49          2998263.62      2840689.03      5838952.65
1992-1999     50-54          2523955.87      2366719.59      4890675.46
1992-1999     55-59          2106404.33      1915588.29      4021992.61
1992-1999     60-64          1832379.97      1600167.48      3432547.45
1992-1999     65-69          1592279.46      1340728.61      2933008.06
1992-1999     70-74          1156554.44       913013.51      2069567.95
1992-1999     75-79           841540.79       594377.04      1435917.84
1992-1999     80-84           591678.35       347744.91       939423.26
1992-1999     85-89           301400.66       149083.82       450484.48
1992-1999     90-94           105064.73        42758.11       147822.84
1992-1999     95-99            22880.53         7369.64        30250.17
1992-1999    100-104            2865.59          753.93         3619.52
1992-1999    105-109             291.85          101.95          393.80
1992-1999    110+                 38.08           15.68           53.76
2000-2009        0           1150836.36      1200793.50      2351629.86
2000-2009      1-4           4573890.97      4762868.92      9336759.90
2000-2009      5-9           6145724.46      6385021.30     12530745.77
2000-2009     10-14          6759076.81      7005921.06     13764997.87
2000-2009     15-19          6695641.96      6918348.87     13613990.83
2000-2009     20-24          6192850.81      6316551.75     12509402.56
2000-2009     25-29          6009237.12      5991035.32     12000272.44
2000-2009     30-34          6049755.29      5928604.18     11978359.47
2000-2009     35-39          6159971.78      5940945.65     12100917.43
2000-2009     40-44          6011104.15      5735223.59     11746327.74
2000-2009     45-49          5204299.62      4929167.02     10133466.64
2000-2009     50-54          4268403.47      4021914.74      8290318.21
2000-2009     55-59          3496369.10      3253134.64      6749503.75
2000-2009     60-64          2896302.35      2603976.08      5500278.43
2000-2009     65-69          2362138.96      2022980.54      4385119.50
2000-2009     70-74          1941657.18      1553915.70      3495572.88
2000-2009     75-79          1456694.81      1064527.09      2521221.89
2000-2009     80-84           936572.60       576232.75      1512805.35
2000-2009     85-89           540663.14       264968.28       805631.41
2000-2009     90-94           224530.21        85814.55       310344.76
2000-2009     95-99            53891.47        16119.72        70011.19
2000-2009    100-104            6692.96         1627.98         8320.95
2000-2009    105-109             530.36          124.00          654.36
2000-2009    110+                 51.81           31.79           83.60
2010-2019        0           1158530.16      1204589.71      2363119.87
2010-2019      1-4           4690799.17      4881204.10      9572003.28
2010-2019      5-9           5778651.21      6028672.26     11807323.47
2010-2019     10-14          5813675.20      6062606.86     11876282.06
2010-2019     15-19          6376044.32      6612661.11     12988705.43
2010-2019     20-24          6968398.62      7142597.33     14110995.95
2010-2019     25-29          6861029.78      6947833.75     13808863.53
2010-2019     30-34          6320621.05      6274871.84     12595492.89
2010-2019     35-39          6093280.84      5926240.22     12019521.05
2010-2019     40-44          6061819.89      5801455.24     11863275.13
2010-2019     45-49          6097931.73      5738811.68     11836743.42
2010-2019     50-54          5868841.61      5447306.83     11316148.45
2010-2019     55-59          5059028.07      4626714.70      9685742.77
2010-2019     60-64          4097545.48      3678768.32      7776313.79
2010-2019     65-69          3273593.80      2839883.61      6113477.41
2010-2019     70-74          2601552.12      2125445.20      4726997.31
2010-2019     75-79          1937048.08      1441032.15      3378080.23
2010-2019     80-84          1325340.36       871810.61      2197150.97
2010-2019     85-89           736228.36       407047.17      1143275.52
2010-2019     90-94           308986.15       131537.68       440523.83
2010-2019     95-99            90955.05        27725.77       118680.82
2010-2019    100-104           14616.63         3012.83        17629.46
2010-2019    105-109            1199.44          191.56         1391.01
2010-2019    110+                111.72           47.09          158.81
