Germany, Exposure to risk (period 5x10), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999        0           3948426.75      4163975.19      8112401.94
1990-1999      1-4          16471566.29     17349587.27     33821153.56
1990-1999      5-9          21644143.29     22770425.97     44414569.25
1990-1999     10-14         21382162.46     22472370.07     43854532.53
1990-1999     15-19         21125266.93     22204447.93     43329714.87
1990-1999     20-24         25344655.26     26544209.58     51888864.84
1990-1999     25-29         31712956.73     33777171.35     65490128.08
1990-1999     30-34         33221979.74     35391166.76     68613146.50
1990-1999     35-39         30471871.04     32024813.66     62496684.70
1990-1999     40-44         27553553.27     28521028.23     56074581.50
1990-1999     45-49         25037772.70     25756210.46     50793983.16
1990-1999     50-54         26572506.64     27130441.13     53702947.77
1990-1999     55-59         27363602.17     27224554.33     54588156.50
1990-1999     60-64         23716831.33     22065474.00     45782305.33
1990-1999     65-69         22281113.50     16856910.84     39138024.34
1990-1999     70-74         19888498.50     11570247.17     31458745.67
1990-1999     75-79         15636746.50      7471722.33     23108468.83
1990-1999     80-84         12485004.63      4990277.19     17475281.82
1990-1999     85-89          7367126.40      2453911.30      9821037.70
1990-1999     90-94          2357309.79       629923.23      2987233.02
1990-1999     95-99           403431.66        82238.55       485670.21
1990-1999    100-104           32759.17         5438.27        38197.44
1990-1999    105-109            1282.00          225.17         1507.16
1990-1999    110+                 15.00            1.67           16.67
2000-2009        0           3443791.77      3631369.24      7075161.01
2000-2009      1-4          14390975.05     15165803.76     29556778.81
2000-2009      5-9          19094589.34     20103176.41     39197765.76
2000-2009     10-14         20825917.10     21892652.18     42718569.28
2000-2009     15-19         22291639.30     23358073.42     45649712.71
2000-2009     20-24         23230297.69     23817289.78     47047587.47
2000-2009     25-29         23490489.85     23969999.60     47460489.45
2000-2009     30-34         26540820.53     27318768.57     53859589.10
2000-2009     35-39         32079263.88     33316496.99     65395760.87
2000-2009     40-44         33410352.05     34632016.08     68042368.13
2000-2009     45-49         30496475.94     31113747.84     61610223.77
2000-2009     50-54         27263885.60     27248221.96     54512107.57
2000-2009     55-59         24331631.25     23967996.59     48299627.84
2000-2009     60-64         25395502.86     24384807.60     49780310.46
2000-2009     65-69         25532429.13     23151528.16     48683957.29
2000-2009     70-74         21104724.02     17103433.25     38208157.27
2000-2009     75-79         18070530.57     11294549.94     29365080.52
2000-2009     80-84         13540487.01      6063987.48     19604474.49
2000-2009     85-89          7553826.29      2518892.83     10072719.12
2000-2009     90-94          3264295.67       823530.94      4087826.61
2000-2009     95-99           790177.40       150186.30       940363.70
2000-2009    100-104           73671.18         9827.78        83498.96
2000-2009    105-109            2843.73          285.70         3129.43
2000-2009    110+                 32.31            6.00           38.31
2010-2019        0           3523438.62      3708630.53      7232069.14
2010-2019      1-4          13950436.38     14701342.73     28651779.11
2010-2019      5-9          17349609.07     18311204.50     35660813.57
2010-2019     10-14         18318666.06     19355197.85     37673863.91
2010-2019     15-19         19683091.77     21078654.70     40761746.46
2010-2019     20-24         22598771.56     24157650.58     46756422.14
2010-2019     25-29         24823112.12     26213818.20     51036930.32
2010-2019     30-34         24888258.66     25746073.70     50634332.36
2010-2019     35-39         24315694.30     24747463.69     49063157.99
2010-2019     40-44         26910709.97     27398083.67     54308793.63
2010-2019     45-49         32116766.27     32854170.38     64970936.66
2010-2019     50-54         33101249.44     33604165.39     66705414.83
2010-2019     55-59         29808400.07     29464702.00     59273102.08
2010-2019     60-64         26118211.98     24910335.52     51028547.49
2010-2019     65-69         22669105.85     20833156.60     43502262.45
2010-2019     70-74         22894214.15     19851328.64     42745542.79
2010-2019     75-79         21639474.03     17004642.74     38644116.77
2010-2019     80-84         15443411.05     10211572.26     25654983.31
2010-2019     85-89          9688913.39      4612606.40     14301519.78
2010-2019     90-94          4181290.98      1335241.67      5516532.64
2010-2019     95-99           918398.40       195811.49      1114209.89
2010-2019    100-104          108485.10        15359.05       123844.16
2010-2019    105-109            5490.97          524.49         6015.46
2010-2019    110+                 85.64            1.82           87.45
