Greece, Exposure to risk (period 5x10), 	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1981-1989        0            541952.31       580459.75      1122412.07
1981-1989      1-4           2395846.44      2552043.57      4947890.01
1981-1989      5-9           3267639.49      3458853.70      6726493.19
1981-1989     10-14          3343960.95      3520964.71      6864925.65
1981-1989     15-19          3376093.69      3520920.78      6897014.47
1981-1989     20-24          3276138.67      3312520.20      6588658.87
1981-1989     25-29          3184736.42      3142633.92      6327370.35
1981-1989     30-34          3035983.72      3010289.25      6046272.97
1981-1989     35-39          2913783.79      2864460.85      5778244.64
1981-1989     40-44          2799873.22      2696708.07      5496581.28
1981-1989     45-49          2952319.72      2803995.49      5756315.21
1981-1989     50-54          3061786.26      2957102.00      6018888.25
1981-1989     55-59          2848650.23      2687424.67      5536074.90
1981-1989     60-64          2316003.14      2064750.24      4380753.37
1981-1989     65-69          1951508.52      1654249.12      3605757.64
1981-1989     70-74          1807346.16      1466672.42      3274018.58
1981-1989     75-79          1389201.47      1087848.43      2477049.90
1981-1989     80-84           874450.49       615971.41      1490421.89
1981-1989     85-89           402584.86       254122.99       656707.85
1981-1989     90-94           131220.62        75029.71       206250.33
1981-1989     95-99            35121.18        17421.42        52542.61
1981-1989    100-104            5730.14         2461.45         8191.59
1981-1989    105-109             604.49          213.21          817.70
1981-1989    110+                 20.53            1.42           21.95
1990-1999        0            497187.01       527864.07      1025051.08
1990-1999      1-4           2077415.26      2196553.93      4273969.19
1990-1999      5-9           2933002.48      3105300.62      6038303.09
1990-1999     10-14          3415755.40      3657492.98      7073248.38
1990-1999     15-19          3766943.32      4024408.40      7791351.72
1990-1999     20-24          3899914.13      4094727.53      7994641.66
1990-1999     25-29          3921609.89      3973736.49      7895346.38
1990-1999     30-34          3792022.64      3741354.62      7533377.26
1990-1999     35-39          3638791.13      3584623.12      7223414.25
1990-1999     40-44          3433659.65      3417917.45      6851577.11
1990-1999     45-49          3220220.74      3194231.51      6414452.25
1990-1999     50-54          3091828.99      2997854.42      6089683.41
1990-1999     55-59          3233027.24      3058614.72      6291641.97
1990-1999     60-64          3301668.42      3067943.40      6369611.82
1990-1999     65-69          2927940.90      2587217.03      5515157.93
1990-1999     70-74          2237287.66      1812308.70      4049596.35
1990-1999     75-79          1677825.79      1253787.06      2931612.85
1990-1999     80-84          1230835.41       835279.59      2066115.00
1990-1999     85-89           642350.05       411588.11      1053938.16
1990-1999     90-94           218698.43       125636.58       344335.02
1990-1999     95-99            46904.14        22853.67        69757.81
1990-1999    100-104            6403.14         2415.19         8818.33
1990-1999    105-109             406.16          113.58          519.74
1990-1999    110+                  5.75            0.22            5.96
2000-2009        0            523824.85       549904.39      1073729.24
2000-2009      1-4           2083844.99      2185404.78      4269249.77
2000-2009      5-9           2656301.73      2776948.95      5433250.68
2000-2009     10-14          2841832.76      2983700.98      5825533.74
2000-2009     15-19          3145854.57      3380038.91      6525893.48
2000-2009     20-24          3641784.76      3983047.08      7624831.84
2000-2009     25-29          4025990.15      4343156.94      8369147.09
2000-2009     30-34          4161586.42      4315184.03      8476770.45
2000-2009     35-39          4115673.36      4129957.92      8245631.28
2000-2009     40-44          3927872.98      3846422.55      7774295.53
2000-2009     45-49          3703881.92      3601745.50      7305627.42
2000-2009     50-54          3447696.50      3360462.87      6808159.37
2000-2009     55-59          3182166.61      3070353.08      6252519.68
2000-2009     60-64          3004430.31      2796588.13      5801018.44
2000-2009     65-69          3053841.83      2710689.26      5764531.10
2000-2009     70-74          2942298.60      2489211.09      5431509.69
2000-2009     75-79          2363453.69      1836765.15      4200218.84
2000-2009     80-84          1557034.45      1044707.96      2601742.40
2000-2009     85-89           794711.65       466233.33      1260944.98
2000-2009     90-94           312710.22       168913.92       481624.14
2000-2009     95-99            73797.52        35062.94       108860.45
2000-2009    100-104            9371.85         3710.10        13081.95
2000-2009    105-109             531.38          179.91          711.29
2000-2009    110+                  3.03            0.05            3.08
2010-2019        0            469106.48       496007.28       965113.75
2010-2019      1-4           2004594.03      2109299.93      4113893.96
2010-2019      5-9           2627761.16      2757322.11      5385083.27
2010-2019     10-14          2613502.63      2743388.87      5356891.50
2010-2019     15-19          2673765.36      2807327.99      5481093.34
2010-2019     20-24          2863167.91      3007537.91      5870705.82
2010-2019     25-29          3146817.28      3257716.13      6404533.42
2010-2019     30-34          3645763.22      3731993.89      7377757.11
2010-2019     35-39          4031127.50      4054339.06      8085466.56
2010-2019     40-44          4161971.32      4079407.42      8241378.74
2010-2019     45-49          4105404.81      3906594.22      8011999.03
2010-2019     50-54          3907363.72      3615679.63      7523043.35
2010-2019     55-59          3664208.37      3349893.49      7014101.86
2010-2019     60-64          3394471.59      3095646.06      6490117.65
2010-2019     65-69          3101155.22      2770503.63      5871658.85
2010-2019     70-74          2836373.21      2408520.52      5244893.73
2010-2019     75-79          2670160.26      2089884.54      4760044.80
2010-2019     80-84          2189962.04      1601564.34      3791526.38
2010-2019     85-89          1288229.37       873789.38      2162018.76
2010-2019     90-94           474427.12       276166.33       750593.45
2010-2019     95-99           105217.64        47332.34       152549.97
2010-2019    100-104           13603.86         4589.54        18193.40
2010-2019    105-109             772.41          217.25          989.66
2010-2019    110+                  8.97            0.14            9.11
