Hong Kong, Exposure to risk (period 5x10), 	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1986-1989        0            144235.24       155113.75       299349.00
1986-1989      1-4            621506.05       670681.01      1292187.06
1986-1989      5-9            822693.77       886749.08      1709442.85
1986-1989     10-14           823017.93       897612.06      1720629.99
1986-1989     15-19           841861.99       916677.92      1758539.90
1986-1989     20-24          1042342.47      1078790.06      2121132.54
1986-1989     25-29          1216334.27      1258108.36      2474442.63
1986-1989     30-34          1066673.33      1140836.91      2207510.23
1986-1989     35-39           855461.75       953889.33      1809351.08
1986-1989     40-44           553874.74       661827.18      1215701.92
1986-1989     45-49           446425.73       546063.30       992489.03
1986-1989     50-54           497448.42       584618.78      1082067.21
1986-1989     55-59           493512.13       546995.65      1040507.77
1986-1989     60-64           443980.28       452825.13       896805.41
1986-1989     65-69           359786.67       335314.43       695101.11
1986-1989     70-74           281228.25       232390.37       513618.62
1986-1989     75-79           187274.60       124414.12       311688.71
1986-1989     80-84            90713.45        40075.89       130789.34
1986-1989     85-89            44564.85        13158.19        57723.04
1986-1989     90-94            14420.65         2596.83        17017.48
1986-1989     95-99             3097.17          431.00         3528.17
1986-1989    100-104             367.30           37.91          405.21
1986-1989    105-109              11.53            0.07           11.60
1986-1989    110+                  0.00            0.00            0.00
1990-1999        0            325064.43       352153.50       677217.92
1990-1999      1-4           1422786.88      1540751.89      2963538.77
1990-1999      5-9           1922206.88      2058986.29      3981193.17
1990-1999     10-14          2065018.84      2201586.77      4266605.61
1990-1999     15-19          2094648.85      2235627.69      4330276.54
1990-1999     20-24          2305344.79      2278795.22      4584140.01
1990-1999     25-29          2926693.88      2643390.24      5570084.11
1990-1999     30-34          3267787.18      3064177.82      6331964.99
1990-1999     35-39          3052846.08      3047014.28      6099860.36
1990-1999     40-44          2463531.84      2602127.26      5065659.10
1990-1999     45-49          1765481.47      1992747.77      3758229.24
1990-1999     50-54          1245874.99      1486093.48      2731968.47
1990-1999     55-59          1178036.16      1381265.56      2559301.72
1990-1999     60-64          1223149.35      1319771.05      2542920.40
1990-1999     65-69          1110212.23      1093459.49      2203671.73
1990-1999     70-74           879973.42       765557.19      1645530.60
1990-1999     75-79           632868.63       479481.13      1112349.76
1990-1999     80-84           353543.28       204976.20       558519.48
1990-1999     85-89           171233.36        69226.26       240459.61
1990-1999     90-94            63520.29        15579.68        79099.96
1990-1999     95-99            15855.63         2326.68        18182.31
1990-1999    100-104            2196.03          150.75         2346.79
1990-1999    105-109             149.33            0.13          149.45
1990-1999    110+                  0.09            0.00            0.09
2000-2009        0            204516.91       222780.93       427297.84
2000-2009      1-4            941978.41      1015536.62      1957515.03
2000-2009      5-9           1642970.90      1758296.11      3401267.02
2000-2009     10-14          2019916.65      2133164.88      4153081.52
2000-2009     15-19          2144538.63      2248906.79      4393445.42
2000-2009     20-24          2395980.81      2231520.56      4627501.38
2000-2009     25-29          2802838.99      2301906.69      5104745.68
2000-2009     30-34          3178491.61      2431040.32      5609531.93
2000-2009     35-39          3460742.79      2717837.61      6178580.40
2000-2009     40-44          3528054.84      3109236.39      6637291.23
2000-2009     45-49          3132878.55      3017747.11      6150625.66
2000-2009     50-54          2507023.76      2535962.83      5042986.59
2000-2009     55-59          1764691.19      1861118.85      3625810.04
2000-2009     60-64          1243125.66      1370327.82      2613453.47
2000-2009     65-69          1173243.00      1251034.28      2424277.28
2000-2009     70-74          1136281.47      1098353.30      2234634.77
2000-2009     75-79           914606.73       768955.42      1683562.14
2000-2009     80-84           623839.36       410222.59      1034061.94
2000-2009     85-89           333365.14       172437.71       505802.85
2000-2009     90-94           138036.43        51223.28       189259.72
2000-2009     95-99            38597.02         9028.98        47626.00
2000-2009    100-104            6567.29          890.62         7457.91
2000-2009    105-109             567.05           21.19          588.24
2000-2009    110+                  8.27            0.00            8.27
2010-2019        0            241017.61       259108.86       500126.47
2010-2019      1-4           1030101.70      1106954.30      2137055.99
2010-2019      5-9           1321897.41      1419884.38      2741781.79
2010-2019     10-14          1408141.49      1492412.87      2900554.35
2010-2019     15-19          1777116.27      1880768.62      3657884.89
2010-2019     20-24          2239188.58      2180747.70      4419936.29
2010-2019     25-29          2876902.22      2267060.76      5143962.99
2010-2019     30-34          3339361.37      2297127.47      5636488.84
2010-2019     35-39          3408687.18      2326569.89      5735257.07
2010-2019     40-44          3357858.41      2384598.42      5742456.83
2010-2019     45-49          3397466.32      2632609.60      6030075.92
2010-2019     50-54          3368319.13      2954953.44      6323272.57
2010-2019     55-59          2999063.49      2863690.97      5862754.46
2010-2019     60-64          2400461.23      2352111.93      4752573.16
2010-2019     65-69          1702470.50      1703445.03      3405915.53
2010-2019     70-74          1183872.09      1206757.11      2390629.21
2010-2019     75-79          1044812.85       982913.73      2027726.58
2010-2019     80-84           925221.24       718341.73      1643562.97
2010-2019     85-89           637223.71       379135.67      1016359.38
2010-2019     90-94           290592.13       125464.17       416056.30
2010-2019     95-99            83316.49        25277.66       108594.15
2010-2019    100-104           13861.74         2768.00        16629.74
2010-2019    105-109            1077.54          124.54         1202.08
2010-2019    110+                 20.28            0.00           20.28
