New Zealand -- Maori, Exposure to risk (period 5x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1948-1949        0              4525.91         4743.25         9269.16
1948-1949      1-4             15486.65        16219.09        31705.73
1948-1949      5-9             15584.73        16127.33        31712.06
1948-1949     10-14            13960.29        14530.35        28490.64
1948-1949     15-19            12057.67        12287.83        24345.49
1948-1949     20-24             9335.12         9155.74        18490.86
1948-1949     25-29             7712.73         7885.53        15598.26
1948-1949     30-34             6510.11         6482.74        12992.84
1948-1949     35-39             5217.53         5842.49        11060.02
1948-1949     40-44             4415.11         4937.69         9352.80
1948-1949     45-49             3265.02         3794.86         7059.88
1948-1949     50-54             2522.56         3137.49         5660.05
1948-1949     55-59             1539.84         2117.31         3657.15
1948-1949     60-64             1472.29         1849.81         3322.09
1948-1949     65-69             1159.58         1387.06         2546.64
1948-1949     70-74              819.71          957.17         1776.88
1948-1949     75-79              279.69          377.09          656.77
1948-1949     80-84              332.77          332.52          665.29
1948-1949     85-89              213.86          146.07          359.92
1948-1949     90-94               82.62           89.94          172.56
1948-1949     95-99               62.06           23.04           85.10
1948-1949    100-104              43.26           13.84           57.09
1948-1949    105-109              14.73            2.00           16.73
1948-1949    110+                  2.98            0.00            2.98
1950-1959        0             27329.39        28532.69        55862.08
1950-1959      1-4             95395.18       100192.97       195588.15
1950-1959      5-9             97316.23       101459.76       198775.99
1950-1959     10-14            82320.49        85441.10       167761.59
1950-1959     15-19            70757.01        72956.90       143713.91
1950-1959     20-24            57777.33        57453.40       115230.73
1950-1959     25-29            48057.20        48023.16        96080.36
1950-1959     30-34            38536.79        38490.09        77026.87
1950-1959     35-39            31846.03        31505.98        63352.02
1950-1959     40-44            27185.85        29040.34        56226.19
1950-1959     45-49            20218.18        23697.87        43916.05
1950-1959     50-54            15690.29        18747.61        34437.91
1950-1959     55-59            10685.13        13337.28        24022.41
1950-1959     60-64             8061.63        10129.02        18190.65
1950-1959     65-69             6031.08         7218.49        13249.57
1950-1959     70-74             3993.45         4685.92         8679.37
1950-1959     75-79             1938.45         2433.39         4371.84
1950-1959     80-84             1535.61         1741.79         3277.39
1950-1959     85-89              976.40          921.48         1897.88
1950-1959     90-94              509.48          383.53          893.01
1950-1959     95-99              231.52          174.85          406.37
1950-1959    100-104             113.12           42.43          155.55
1950-1959    105-109              62.10           14.12           76.22
1950-1959    110+                 22.38            0.47           22.85
1960-1969        0             37515.06        39201.50        76716.56
1960-1969      1-4            141857.98       146515.07       288373.04
1960-1969      5-9            158682.45       162135.28       320817.72
1960-1969     10-14           127168.40       131473.38       258641.78
1960-1969     15-19            95660.65        98748.43       194409.08
1960-1969     20-24            75552.71        75033.49       150586.20
1960-1969     25-29            66599.78        67280.94       133880.73
1960-1969     30-34            57120.30        57081.12       114201.42
1960-1969     35-39            46705.24        46805.53        93510.77
1960-1969     40-44            37134.74        37247.03        74381.77
1960-1969     45-49            29079.12        30168.03        59247.15
1960-1969     50-54            23316.52        25652.85        48969.37
1960-1969     55-59            16266.21        19628.11        35894.32
1960-1969     60-64            11640.34        13835.12        25475.46
1960-1969     65-69             7842.22         9374.36        17216.58
1960-1969     70-74             4336.85         5149.28         9486.13
1960-1969     75-79             2509.06         2873.76         5382.82
1960-1969     80-84             1483.32         1696.46         3179.78
1960-1969     85-89              802.27          787.69         1589.96
1960-1969     90-94              405.83          320.43          726.26
1960-1969     95-99              232.51          147.58          380.09
1960-1969    100-104              91.87           47.08          138.95
1960-1969    105-109              34.10           17.18           51.28
1960-1969    110+                 28.88            1.42           30.30
1970-1979        0             34785.98        36497.38        71283.36
1970-1979      1-4            145826.39       150799.14       296625.53
1970-1979      5-9            191375.90       196701.17       388077.07
1970-1979     10-14           184717.08       189498.03       374215.12
1970-1979     15-19           152414.77       155467.23       307882.00
1970-1979     20-24           110808.21       111270.45       222078.66
1970-1979     25-29            87292.95        85937.16       173230.11
1970-1979     30-34            73008.50        72118.73       145127.23
1970-1979     35-39            63377.68        62840.12       126217.79
1970-1979     40-44            54080.97        53402.94       107483.91
1970-1979     45-49            42331.10        41617.60        83948.70
1970-1979     50-54            32265.47        32557.38        64822.85
1970-1979     55-59            23832.64        23876.62        47709.26
1970-1979     60-64            17829.12        18763.63        36592.75
1970-1979     65-69            12383.28        12690.67        25073.95
1970-1979     70-74             7290.08         7169.96        14460.03
1970-1979     75-79             3947.24         3662.11         7609.35
1970-1979     80-84             1502.82         1520.17         3022.99
1970-1979     85-89              717.17          625.63         1342.80
1970-1979     90-94              283.69          203.16          486.85
1970-1979     95-99              128.90           81.85          210.75
1970-1979    100-104              42.78           16.90           59.68
1970-1979    105-109              19.00            1.93           20.93
1970-1979    110+                 21.48            1.52           22.99
1980-1989        0             34662.99        35972.95        70635.94
1980-1989      1-4            133221.33       139608.33       272829.66
1980-1989      5-9            170943.84       176970.45       347914.30
1980-1989     10-14           180233.99       186580.15       366814.13
1980-1989     15-19           181086.89       187549.46       368636.35
1980-1989     20-24           161484.01       161680.83       323164.83
1980-1989     25-29           134717.69       127338.35       262056.04
1980-1989     30-34           104562.87       100497.94       205060.82
1980-1989     35-39            83446.56        81115.50       164562.06
1980-1989     40-44            69082.48        67617.58       136700.06
1980-1989     45-49            58715.83        59005.59       117721.41
1980-1989     50-54            47951.52        47405.20        95356.72
1980-1989     55-59            37314.41        36404.50        73718.90
1980-1989     60-64            26210.43        24437.63        50648.06
1980-1989     65-69            18034.11        16231.32        34265.43
1980-1989     70-74            11651.11        10188.78        21839.89
1980-1989     75-79             6106.18         5263.17        11369.35
1980-1989     80-84             2387.23         1856.65         4243.88
1980-1989     85-89              847.07          543.86         1390.92
1980-1989     90-94              262.89          131.68          394.57
1980-1989     95-99               69.80           65.42          135.22
1980-1989    100-104              21.29           14.83           36.12
1980-1989    105-109              14.83            0.00           14.83
1980-1989    110+                  2.83            0.00            2.83
1990-1999        0             49522.51        52911.27       102433.77
1990-1999      1-4            203637.89       216342.88       419980.77
1990-1999      5-9            246860.87       256055.36       502916.23
1990-1999     10-14           218598.26       223927.91       442526.17
1990-1999     15-19           210006.75       214910.61       424917.36
1990-1999     20-24           202023.76       193873.70       395897.46
1990-1999     25-29           190941.14       175735.71       366676.85
1990-1999     30-34           179123.25       166105.61       345228.86
1990-1999     35-39           156082.15       142910.78       298992.93
1990-1999     40-44           119602.07       113577.84       233179.91
1990-1999     45-49            92201.69        90440.94       182642.63
1990-1999     50-54            72474.44        72431.02       144905.47
1990-1999     55-59            59801.43        59231.14       119032.57
1990-1999     60-64            45913.55        43715.15        89628.70
1990-1999     65-69            31714.43        28493.16        60207.59
1990-1999     70-74            19803.76        16276.92        36080.68
1990-1999     75-79            11560.56         8371.71        19932.27
1990-1999     80-84             5621.03         3500.96         9122.00
1990-1999     85-89             2107.34         1120.40         3227.75
1990-1999     90-94              665.09          292.76          957.85
1990-1999     95-99              167.08           58.91          225.99
1990-1999    100-104              32.51            8.79           41.30
1990-1999    105-109               0.00            3.77            3.77
1990-1999    110+                  0.00            0.00            0.00
2000-2008        0             69795.86        73969.81       143765.66
2000-2008      1-4            258892.50       273673.94       532566.44
2000-2008      5-9            313522.83       332110.25       645633.07
2000-2008     10-14           307482.52       321536.80       629019.32
2000-2008     15-19           279559.19       280527.34       560086.54
2000-2008     20-24           225281.18       214170.37       439451.55
2000-2008     25-29           206463.45       185471.33       391934.78
2000-2008     30-34           209062.87       185348.77       394411.64
2000-2008     35-39           201274.83       180073.13       381347.95
2000-2008     40-44           185214.24       167037.44       352251.68
2000-2008     45-49           152705.07       139403.18       292108.25
2000-2008     50-54           115511.36       108359.45       223870.81
2000-2008     55-59            86209.96        80888.49       167098.45
2000-2008     60-64            64371.40        59922.21       124293.61
2000-2008     65-69            47961.35        43877.12        91838.48
2000-2008     70-74            31864.52        27312.38        59176.90
2000-2008     75-79            19284.93        14562.87        33847.80
2000-2008     80-84             9723.03         6206.26        15929.29
2000-2008     85-89             3931.13         2124.71         6055.84
2000-2008     90-94             1208.00          483.39         1691.39
2000-2008     95-99              289.12           59.68          348.80
2000-2008    100-104              51.32            7.83           59.15
2000-2008    105-109               1.00            0.00            1.00
2000-2008    110+                  0.00            0.00            0.00
