Chile, Exposure to risk (period 5x5), 	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1994        0            403836.30       422187.99       826024.30
1992-1994      1-4           1666132.54      1739358.11      3405490.65
1992-1994      5-9           1943564.33      2015075.69      3958640.01
1992-1994     10-14          1828564.45      1885275.08      3713839.54
1992-1994     15-19          1777998.48      1824737.03      3602735.51
1992-1994     20-24          1826828.17      1812268.20      3639096.37
1992-1994     25-29          1872064.62      1808772.69      3680837.31
1992-1994     30-34          1789364.44      1719457.11      3508821.56
1992-1994     35-39          1500239.81      1425819.09      2926058.90
1992-1994     40-44          1236312.41      1174852.40      2411164.81
1992-1994     45-49          1028998.58       969340.24      1998338.83
1992-1994     50-54           884937.15       824957.39      1709894.54
1992-1994     55-59           721207.97       649558.83      1370766.80
1992-1994     60-64           683711.94       589730.68      1273442.62
1992-1994     65-69           545147.12       461244.45      1006391.57
1992-1994     70-74           390863.71       305366.72       696230.43
1992-1994     75-79           299024.40       209446.02       508470.42
1992-1994     80-84           203910.66       121595.83       325506.49
1992-1994     85-89            98441.14        48837.72       147278.86
1992-1994     90-94            33297.38        13724.47        47021.84
1992-1994     95-99             6786.20         2096.84         8883.04
1992-1994    100-104             861.10          242.53         1103.63
1992-1994    105-109              91.81           32.26          124.07
1992-1994    110+                 10.18            4.39           14.57
1995-1999        0            633347.74       662080.52      1295428.26
1995-1999      1-4           2615687.04      2727197.64      5342884.68
1995-1999      5-9           3466169.35      3608002.26      7074171.61
1995-1999     10-14          3167869.10      3281622.98      6449492.08
1995-1999     15-19          2991932.10      3070714.45      6062646.55
1995-1999     20-24          2997002.32      3018921.18      6015923.51
1995-1999     25-29          3044063.22      2992928.55      6036991.77
1995-1999     30-34          3121830.35      3008033.81      6129864.16
1995-1999     35-39          2899323.34      2781854.13      5681177.47
1995-1999     40-44          2375403.13      2257072.97      4632476.10
1995-1999     45-49          1969265.04      1871348.78      3840613.83
1995-1999     50-54          1639018.72      1541762.20      3180780.92
1995-1999     55-59          1385196.35      1266029.46      2651225.81
1995-1999     60-64          1148668.03      1010436.79      2159104.83
1995-1999     65-69          1047132.34       879484.15      1926616.49
1995-1999     70-74           765690.72       607646.80      1373337.52
1995-1999     75-79           542516.39       384931.03       927447.42
1995-1999     80-84           387767.69       226149.08       613916.77
1995-1999     85-89           202959.52       100246.10       303205.62
1995-1999     90-94            71767.35        29033.65       100801.00
1995-1999     95-99            16094.33         5272.80        21367.13
1995-1999    100-104            2004.49          511.40         2515.89
1995-1999    105-109             200.04           69.69          269.73
1995-1999    110+                 27.90           11.29           39.19
2000-2004        0            572195.55       596553.84      1168749.39
2000-2004      1-4           2322949.40      2413146.33      4736095.73
2000-2004      5-9           3227681.53      3350845.97      6578527.50
2000-2004     10-14          3475577.82      3606036.15      7081613.97
2000-2004     15-19          3172895.08      3284926.58      6457821.66
2000-2004     20-24          2984972.59      3033905.60      6018878.19
2000-2004     25-29          2996859.38      2973448.58      5970307.96
2000-2004     30-34          3035975.60      2972423.76      6008399.36
2000-2004     35-39          3127871.47      3006800.30      6134671.77
2000-2004     40-44          2897382.45      2771910.73      5669293.18
2000-2004     45-49          2341394.66      2223955.02      4565349.68
2000-2004     50-54          1943880.38      1844475.63      3788356.01
2000-2004     55-59          1591550.20      1482896.93      3074447.13
2000-2004     60-64          1340042.49      1196837.23      2536879.72
2000-2004     65-69          1086094.87       928132.20      2014227.07
2000-2004     70-74           943854.35       752731.21      1696585.55
2000-2004     75-79           650873.44       475878.58      1126752.02
2000-2004     80-84           433820.81       258843.05       692663.86
2000-2004     85-89           251384.21       120222.75       371606.96
2000-2004     90-94            97145.24        37769.77       134915.01
2000-2004     95-99            21462.72         6656.94        28119.65
2000-2004    100-104            2710.03          635.96         3345.99
2000-2004    105-109             211.99           43.23          255.22
2000-2004    110+                 28.48           18.39           46.87
2005-2009        0            578640.81       604239.66      1182880.47
2005-2009      1-4           2250941.57      2349722.60      4600664.17
2005-2009      5-9           2918042.93      3034175.33      5952218.26
2005-2009     10-14          3283498.99      3399884.90      6683383.90
2005-2009     15-19          3522746.88      3633422.28      7156169.17
2005-2009     20-24          3207878.22      3282646.15      6490524.37
2005-2009     25-29          3012377.75      3017586.74      6029964.48
2005-2009     30-34          3013779.69      2956180.42      5969960.11
2005-2009     35-39          3032100.31      2934145.35      5966245.66
2005-2009     40-44          3113721.70      2963312.86      6077034.56
2005-2009     45-49          2862904.96      2705212.01      5568116.96
2005-2009     50-54          2324523.09      2177439.11      4501962.20
2005-2009     55-59          1904818.90      1770237.72      3675056.62
2005-2009     60-64          1556259.86      1407138.85      2963398.71
2005-2009     65-69          1276044.09      1094848.34      2370892.42
2005-2009     70-74           997802.84       801184.49      1798987.33
2005-2009     75-79           805821.36       588648.51      1394469.87
2005-2009     80-84           502751.80       317389.70       820141.49
2005-2009     85-89           289278.93       144745.53       434024.45
2005-2009     90-94           127384.97        48044.79       175429.75
2005-2009     95-99            32428.75         9462.79        41891.54
2005-2009    100-104            3982.93          992.03         4974.96
2005-2009    105-109             318.37           80.78          399.14
2005-2009    110+                 23.33           13.40           36.73
2010-2014        0            601209.60       625541.99      1226751.58
2010-2014      1-4           2377513.70      2477126.78      4854640.49
2010-2014      5-9           2829131.61      2953250.80      5782382.40
2010-2014     10-14          2980423.74      3104905.88      6085329.62
2010-2014     15-19          3344642.27      3451659.47      6796301.74
2010-2014     20-24          3574614.35      3657361.45      7231975.80
2010-2014     25-29          3247002.99      3277904.48      6524907.47
2010-2014     30-34          3042901.01      3004972.95      6047873.96
2010-2014     35-39          3029704.16      2937583.40      5967287.56
2010-2014     40-44          3025508.20      2888594.84      5914103.04
2010-2014     45-49          3087926.27      2901929.71      5989855.97
2010-2014     50-54          2817452.67      2618870.45      5436323.12
2010-2014     55-59          2297068.38      2108339.47      4405407.85
2010-2014     60-64          1848769.62      1666525.78      3515295.40
2010-2014     65-69          1502753.61      1304335.48      2807089.08
2010-2014     70-74          1184065.10       958634.41      2142699.50
2010-2014     75-79           881368.92       648772.72      1530141.63
2010-2014     80-84           599815.73       393281.90       993097.62
2010-2014     85-89           333323.00       179220.02       512543.02
2010-2014     90-94           147582.32        59932.88       207515.20
2010-2014     95-99            43337.21        12236.99        55574.20
2010-2014    100-104            6452.38         1338.02         7790.40
2010-2014    105-109             460.70          100.32          561.02
2010-2014    110+                 46.93           20.70           67.63
2015-2019        0            557320.56       579047.73      1136368.29
2015-2019      1-4           2313285.47      2404077.32      4717362.79
2015-2019      5-9           2949519.61      3075421.46      6024941.07
2015-2019     10-14          2833251.46      2957700.98      5790952.44
2015-2019     15-19          3031402.05      3161001.64      6192403.69
2015-2019     20-24          3393784.27      3485235.88      6879020.15
2015-2019     25-29          3614026.79      3669929.27      7283956.06
2015-2019     30-34          3277720.04      3269898.89      6547618.93
2015-2019     35-39          3063576.68      2988656.81      6052233.49
2015-2019     40-44          3036311.69      2912860.40      5949172.09
2015-2019     45-49          3010005.46      2836881.98      5846887.44
2015-2019     50-54          3051388.95      2828436.38      5879825.33
2015-2019     55-59          2761959.69      2518375.22      5280334.92
2015-2019     60-64          2248775.86      2012242.53      4261018.39
2015-2019     65-69          1770840.19      1535548.14      3306388.33
2015-2019     70-74          1417487.02      1166810.79      2584297.81
2015-2019     75-79          1055679.16       792259.44      1847938.60
2015-2019     80-84           725524.64       478528.72      1204053.35
2015-2019     85-89           402905.36       227827.15       630732.51
2015-2019     90-94           161403.83        71604.80       233008.63
2015-2019     95-99            47617.85        15488.78        63106.63
2015-2019    100-104            8164.25         1674.82         9839.07
2015-2019    105-109             738.74           91.25          829.99
2015-2019    110+                 64.79           26.39           91.18
