Denmark, Exposure to risk (period 5x5), 	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1835-1839        0             88284.57        91272.73       179557.30
1835-1839      1-4            295697.10       299488.45       595185.55
1835-1839      5-9            323795.88       329358.64       653154.52
1835-1839     10-14           336194.91       339098.75       675293.66
1835-1839     15-19           322544.34       320866.75       643411.09
1835-1839     20-24           275443.47       270271.13       545714.60
1835-1839     25-29           235236.87       230121.58       465358.45
1835-1839     30-34           223837.55       223048.04       446885.59
1835-1839     35-39           201645.43       200129.89       401775.33
1835-1839     40-44           177537.38       170182.35       347719.73
1835-1839     45-49           150219.85       140501.17       290721.02
1835-1839     50-54           131819.90       120867.23       252687.13
1835-1839     55-59           121889.87       110100.76       231990.63
1835-1839     60-64           100723.82        88056.49       188780.31
1835-1839     65-69            77514.50        64835.70       142350.20
1835-1839     70-74            56325.54        45241.23       101566.77
1835-1839     75-79            34691.63        26735.00        61426.63
1835-1839     80-84            17687.53        12528.74        30216.27
1835-1839     85-89             6404.98         3846.24        10251.22
1835-1839     90-94             1491.48          893.44         2384.92
1835-1839     95-99              303.62          159.64          463.26
1835-1839    100-104              19.77           18.29           38.06
1835-1839    105-109               1.93            9.99           11.92
1835-1839    110+                  0.00            0.00            0.00
1840-1844        0             87680.24        90383.26       178063.50
1840-1844      1-4            308236.62       312123.82       620360.43
1840-1844      5-9            348874.76       354890.52       703765.27
1840-1844     10-14           313184.80       319256.25       632441.05
1840-1844     15-19           328235.10       331446.84       659681.94
1840-1844     20-24           313353.91       310068.03       623421.94
1840-1844     25-29           264102.61       258976.61       523079.22
1840-1844     30-34           223334.11       220224.67       443558.78
1840-1844     35-39           213725.46       213813.68       427539.14
1840-1844     40-44           189250.02       186934.11       376184.13
1840-1844     45-49           167810.42       158498.92       326309.34
1840-1844     50-54           137520.38       125953.96       263474.34
1840-1844     55-59           119289.31       106764.11       226053.42
1840-1844     60-64           105761.13        92042.50       197803.63
1840-1844     65-69            82149.59        69031.95       151181.54
1840-1844     70-74            56263.41        45277.90       101541.31
1840-1844     75-79            36083.78        27344.34        63428.12
1840-1844     80-84            18372.79        12941.69        31314.48
1840-1844     85-89             6447.63         4097.16        10544.80
1840-1844     90-94             1740.38          853.08         2593.46
1840-1844     95-99              281.52          167.61          449.13
1840-1844    100-104              15.73           16.11           31.84
1840-1844    105-109               3.40            3.08            6.48
1840-1844    110+                  0.00            0.36            0.36
1845-1849        0             93312.36        95162.76       188475.12
1845-1849      1-4            326929.75       329539.72       656469.46
1845-1849      5-9            366930.53       375582.76       742513.29
1845-1849     10-14           337378.25       345202.75       682581.00
1845-1849     15-19           307747.76       306797.51       614545.27
1845-1849     20-24           322442.72       307075.31       629518.03
1845-1849     25-29           299789.42       289299.16       589088.58
1845-1849     30-34           247568.00       245463.56       493031.56
1845-1849     35-39           214832.92       214863.89       429696.80
1845-1849     40-44           200950.03       200146.13       401096.16
