Hungary, Exposure to risk (period 5x5), 	Last modified: 30 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1954        0            459727.48       482387.51       942114.99
1950-1954      1-4           1678968.39      1748666.64      3427635.03
1950-1954      5-9           1903829.02      1970950.85      3874779.86
1950-1954     10-14          1843555.50      1886594.33      3730149.83
1950-1954     15-19          1840736.47      1858004.50      3698740.97
1950-1954     20-24          1944268.67      1923382.83      3867651.50
1950-1954     25-29          2017518.98      1897775.33      3915294.31
1950-1954     30-34          1685472.14      1503992.87      3189465.01
1950-1954     35-39          1577096.00      1402075.48      2979171.48
1950-1954     40-44          1891654.01      1727333.33      3618987.34
1950-1954     45-49          1676465.30      1555671.99      3232137.30
1950-1954     50-54          1552962.83      1411400.96      2964363.79
1950-1954     55-59          1338637.02      1081155.49      2419792.51
1950-1954     60-64          1069671.58       832219.89      1901891.47
1950-1954     65-69           905353.54       695244.38      1600597.92
1950-1954     70-74           633554.15       487795.67      1121349.82
1950-1954     75-79           376475.25       287033.88       663509.13
1950-1954     80-84           173118.08       134598.21       307716.29
1950-1954     85-89            58067.50        41167.73        99235.22
1950-1954     90-94            12097.32         7151.99        19249.31
1950-1954     95-99             1354.69          661.87         2016.55
1950-1954    100-104              54.66           23.35           78.01
1950-1954    105-109               0.00            0.00            0.00
1950-1954    110+                  0.00            0.00            0.00
1955-1959        0            429156.80       453123.64       882280.44
1955-1959      1-4           1821706.62      1909459.87      3731166.49
1955-1959      5-9           2103897.62      2187481.06      4291378.68
1955-1959     10-14          1889450.09      1945149.89      3834599.98
1955-1959     15-19          1816250.61      1810473.57      3626724.18
1955-1959     20-24          1796674.22      1733176.36      3529850.58
1955-1959     25-29          1905288.64      1844409.51      3749698.16
1955-1959     30-34          1977121.57      1846888.84      3824010.41
1955-1959     35-39          1649138.97      1467322.19      3116461.15
1955-1959     40-44          1539843.73      1368819.86      2908663.59
1955-1959     45-49          1843867.71      1676092.04      3519959.75
1955-1959     50-54          1622342.86      1490079.68      3112422.53
1955-1959     55-59          1482069.37      1320387.70      2802457.06
1955-1959     60-64          1242655.46       974789.93      2217445.39
1955-1959     65-69           950770.45       711187.01      1661957.45
1955-1959     70-74           736345.83       539269.07      1275614.90
1955-1959     75-79           446537.12       325534.51       772071.63
1955-1959     80-84           206375.48       148522.85       354898.33
1955-1959     85-89            66200.57        46386.13       112586.70
1955-1959     90-94            13413.77         8335.90        21749.68
1955-1959     95-99             1571.54          782.26         2353.80
1955-1959    100-104              96.00           22.77          118.77
1955-1959    105-109               1.68            0.00            1.68
1955-1959    110+                  0.00            0.00            0.00
1960-1964        0            324156.06       343870.19       668026.25
1960-1964      1-4           1426986.36      1503464.39      2930450.75
1960-1964      5-9           2227056.37      2339934.58      4566990.95
1960-1964     10-14          2089790.74      2169983.59      4259774.33
1960-1964     15-19          1871013.62      1913033.72      3784047.34
