Japan, Exposure to risk (period 5x5), 	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0           3636749.21      3800858.93      7437608.14
1947-1949      1-4          11101757.68     11438189.69     22539947.37
1947-1949      5-9          13678709.95     13993980.10     27672690.05
1947-1949     10-14         12919426.10     13178790.94     26098217.04
1947-1949     15-19         12379880.86     12496267.10     24876147.96
1947-1949     20-24         11192992.03     10450662.73     21643654.77
1947-1949     25-29          9453077.35      7436072.61     16889149.96
1947-1949     30-34          8262994.15      7019833.53     15282827.68
1947-1949     35-39          7698678.77      6953636.00     14652314.77
1947-1949     40-44          6371382.09      6331767.69     12703149.78
1947-1949     45-49          5756356.87      5920047.47     11676404.35
1947-1949     50-54          4709882.61      4879547.76      9589430.36
1947-1949     55-59          3992053.31      3963601.75      7955655.05
1947-1949     60-64          3390378.59      3068488.37      6458866.96
1947-1949     65-69          2873482.79      2311303.98      5184786.77
1947-1949     70-74          2078060.15      1501297.69      3579357.83
1947-1949     75-79          1073591.74       681152.44      1754744.18
1947-1949     80-84           489395.77       260435.32       749831.10
1947-1949     85-89           130802.36        58791.47       189593.83
1947-1949     90-94            27521.06        10675.37        38196.42
1947-1949     95-99             2834.58         1123.58         3958.15
1947-1949    100-104             181.22           67.51          248.73
1947-1949    105-109              17.67            7.50           25.17
1947-1949    110+                 16.83            5.50           22.33
1950-1954        0           5008507.39      5238209.80     10246717.19
1950-1954      1-4          21651010.05     22559202.31     44210212.36
1950-1954      5-9          23479896.40     24248107.80     47728004.20
1950-1954     10-14         22166147.10     22695293.39     44861440.50
1950-1954     15-19         21326889.91     21624656.92     42951546.83
1950-1954     20-24         19926185.41     19805256.92     39731442.33
1950-1954     25-29         17656630.72     15974694.21     33631324.93
1950-1954     30-34         14890299.15     12021889.84     26912188.99
1950-1954     35-39         13424983.45     11645051.87     25070035.32
1950-1954     40-44         12129253.67     11216038.53     23345292.20
1950-1954     45-49         10101082.49     10059740.33     20160822.82
1950-1954     50-54          8880045.79      9055315.12     17935360.91
1950-1954     55-59          7235798.66      7272188.47     14507987.13
1950-1954     60-64          6072612.90      5724794.79     11797407.69
1950-1954     65-69          4911874.77      4107121.56      9018996.33
1950-1954     70-74          3803010.54      2787689.10      6590699.64
1950-1954     75-79          2318369.83      1485226.45      3803596.28
1950-1954     80-84           955941.76       519045.88      1474987.63
1950-1954     85-89           314173.20       140011.03       454184.23
1950-1954     90-94            55113.46        20141.17        75254.63
1950-1954     95-99             6669.95         2116.81         8786.76
1950-1954    100-104             399.48          175.58          575.06
1950-1954    105-109              46.67            7.83           54.50
1950-1954    110+                  7.83            1.67            9.50
1955-1959        0           3967069.50      4171236.86      8138306.37
1955-1959      1-4          16904958.57     17680803.07     34585761.63
1955-1959      5-9          26298902.08     27407663.04     53706565.12
1955-1959     10-14         23431751.76     24146256.29     47578008.05
1955-1959     15-19         22037078.29     22278637.06     44315715.35
