Lithuania, Exposure to risk (period 5x5), 	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1964        0            143796.04       150296.43       294092.47
1960-1964      1-4            569742.71       589243.30      1158986.01
1960-1964      5-9            627342.16       649523.98      1276866.14
1960-1964     10-14           582447.55       597398.38      1179845.93
1960-1964     15-19           558287.46       556638.06      1114925.53
1960-1964     20-24           603881.15       569678.70      1173559.85
1960-1964     25-29           623616.77       562274.06      1185890.83
1960-1964     30-34           637825.43       552083.69      1189909.12
1960-1964     35-39           579575.58       426674.00      1006249.58
1960-1964     40-44           414497.98       308015.94       722513.92
1960-1964     45-49           376063.98       259585.39       635649.37
1960-1964     50-54           429694.69       342725.40       772420.09
1960-1964     55-59           404190.12       355078.15       759268.27
1960-1964     60-64           365544.06       248340.36       613884.42
1960-1964     65-69           278545.22       192891.75       471436.96
1960-1964     70-74           211051.04       123523.90       334574.94
1960-1964     75-79           132946.32        68321.74       201268.06
1960-1964     80-84            72641.31        36707.98       109349.29
1960-1964     85-89            31566.23        13586.63        45152.86
1960-1964     90-94            11684.92         4438.03        16122.94
1960-1964     95-99             3801.02         1203.39         5004.41
1960-1964    100-104             864.40          221.92         1086.32
1960-1964    105-109             137.98           16.59          154.57
1960-1964    110+                  7.34            0.00            7.34
1965-1969        0            130546.41       135922.41       266468.82
1965-1969      1-4            546526.08       569355.49      1115881.58
1965-1969      5-9            729741.16       751668.67      1481409.82
1965-1969     10-14           628382.75       650540.74      1278923.49
1965-1969     15-19           567596.64       582444.68      1150041.32
1965-1969     20-24           549297.31       539705.54      1089002.84
1965-1969     25-29           605115.17       573991.33      1179106.50
1965-1969     30-34           622851.12       567346.12      1190197.24
1965-1969     35-39           633433.31       552711.16      1186144.47
1965-1969     40-44           575583.72       426056.87      1001640.59
1965-1969     45-49           408343.97       303678.81       712022.78
1965-1969     50-54           371313.54       251966.43       623279.97
1965-1969     55-59           427248.33       327546.34       754794.67
1965-1969     60-64           393906.07       329204.15       723110.21
1965-1969     65-69           339009.95       219376.17       558386.12
1965-1969     70-74           238547.74       155756.06       394303.80
1965-1969     75-79           166790.20        90906.85       257697.05
1965-1969     80-84            97015.36        44227.08       141242.43
1965-1969     85-89            41011.47        18819.58        59831.05
1965-1969     90-94            13677.49         5236.27        18913.76
1965-1969     95-99             3938.23         1343.33         5281.56
1965-1969    100-104             893.57          221.02         1114.59
1965-1969    105-109             135.90           11.68          147.58
