Taiwan, Exposure to risk (period 5x5), 	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1974        0            878327.65       933626.50      1811954.15
1970-1974      1-4           3665173.31      3881757.21      7546930.52
1970-1974      5-9           4902161.69      5165929.32     10068091.00
1970-1974     10-14          4867373.60      5126315.99      9993689.58
1970-1974     15-19          4447238.22      4683131.94      9130370.17
1970-1974     20-24          3422071.25      3580139.24      7002210.48
1970-1974     25-29          2291556.53      2378383.56      4669940.08
1970-1974     30-34          2270438.41      2314663.29      4585101.70
1970-1974     35-39          2031212.05      2209812.31      4241024.36
1970-1974     40-44          1774756.13      2443319.22      4218075.35
1970-1974     45-49          1471199.15      2199039.77      3670238.92
1970-1974     50-54          1156058.27      1636118.92      2792177.20
1970-1974     55-59           925624.72      1220061.97      2145686.69
1970-1974     60-64           753183.72       867937.95      1621121.66
1970-1974     65-69           527316.47       529427.57      1056744.05
1970-1974     70-74           352352.53       295757.48       648110.01
1970-1974     75-79           201050.35       137620.11       338670.46
1970-1974     80-84            98959.33        56903.63       155862.95
1970-1974     85-89            41329.47        19578.15        60907.62
1970-1974     90-94            12167.55         4804.30        16971.85
1970-1974     95-99             2464.93          790.44         3255.37
1970-1974    100-104             330.28           73.01          403.29
1970-1974    105-109              22.18            0.37           22.55
1970-1974    110+                  0.00            0.00            0.00
1975-1979        0            871695.62       935994.51      1807690.13
1975-1979      1-4           3605371.45      3828550.59      7433922.04
1975-1979      5-9           4577232.36      4848905.99      9426138.35
1975-1979     10-14          4809233.78      5080815.46      9890049.23
1975-1979     15-19          4775657.67      5017918.29      9793575.96
1975-1979     20-24          4394467.09      4600520.45      8994987.55
1975-1979     25-29          3387871.20      3561212.23      6949083.43
1975-1979     30-34          2275233.12      2402688.56      4677921.68
1975-1979     35-39          2237750.89      2338399.22      4576150.11
1975-1979     40-44          1979754.63      2193439.29      4173193.92
1975-1979     45-49          1731872.21      2421844.47      4153716.67
1975-1979     50-54          1427831.89      2153192.11      3581024.00
1975-1979     55-59          1115298.58      1559630.01      2674928.59
1975-1979     60-64           887155.88      1138550.86      2025706.74
1975-1979     65-69           697311.96       758488.62      1455800.58
1975-1979     70-74           460151.11       425464.99       885616.10
1975-1979     75-79           271340.31       206220.13       477560.44
1975-1979     80-84           123599.17        77137.12       200736.29
1975-1979     85-89            47017.93        24143.21        71161.14
1975-1979     90-94            13670.66         6258.04        19928.70
1975-1979     95-99             2554.55         1223.44         3777.98
1975-1979    100-104             289.45          144.33          433.78
1975-1979    105-109               7.62            2.70           10.32
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0            881346.83       944475.17      1825822.00
1980-1984      1-4           3909328.09      4165523.19      8074851.28
1980-1984      5-9           4562663.58      4836320.03      9398983.61
1980-1984     10-14          4568475.59      4835031.58      9403507.17
1980-1984     15-19          4805988.35      5055306.05      9861294.40
1980-1984     20-24          4771772.97      5000054.39      9771827.36
1980-1984     25-29          4351245.97      4546508.54      8897754.51
1980-1984     30-34          3347943.36      3519157.74      6867101.10
1980-1984     35-39          2253403.28      2377975.47      4631378.75
1980-1984     40-44          2215175.44      2299567.39      4514742.83
1980-1984     45-49          1952001.41      2138785.03      4090786.45
1980-1984     50-54          1698472.54      2338367.05      4036839.59
1980-1984     55-59          1383053.80      2032713.59      3415767.39
1980-1984     60-64          1060372.63      1431102.91      2491475.54
1980-1984     65-69           814756.99       991512.48      1806269.46
1980-1984     70-74           601297.89       610550.03      1211847.91
1980-1984     75-79           354884.82       298722.92       653607.74
1980-1984     80-84           169178.28       114008.31       283186.59
1980-1984     85-89            62308.83        34652.43        96961.26
1980-1984     90-94            16940.11         8303.98        25244.08
1980-1984     95-99             3204.08         1748.06         4952.14
1980-1984    100-104             362.73          232.79          595.53
1980-1984    105-109              13.18           10.01           23.19
1980-1984    110+                  0.00            0.00            0.00
1985-1989        0            733176.17       789759.83      1522936.00
1985-1989      1-4           3480479.35      3710961.16      7191440.51
1985-1989      5-9           4866818.25      5170301.66     10037119.90
1985-1989     10-14          4547880.26      4813270.75      9361151.01
1985-1989     15-19          4559697.72      4797040.00      9356737.72
1985-1989     20-24          4798176.45      5038438.95      9836615.41
1985-1989     25-29          4709289.16      4929518.98      9638808.15
1985-1989     30-34          4287790.10      4474569.95      8762360.04
1985-1989     35-39          3292926.69      3450034.69      6742961.37
1985-1989     40-44          2240980.54      2341855.05      4582835.59
1985-1989     45-49          2193995.31      2250239.89      4444235.20
1985-1989     50-54          1925786.53      2075027.86      4000814.38
1985-1989     55-59          1655115.94      2223337.59      3878453.53
1985-1989     60-64          1325699.81      1878795.24      3204495.05
1985-1989     65-69           982383.85      1263290.51      2245674.36
1985-1989     70-74           711982.62       815973.10      1527955.72
1985-1989     75-79           471765.44       438679.71       910445.14
1985-1989     80-84           226298.07       166030.72       392328.78
1985-1989     85-89            87397.59        52344.17       139741.75
1985-1989     90-94            22989.71        11711.44        34701.15
1985-1989     95-99             3964.12         1938.68         5902.80
1985-1989    100-104             392.40          192.74          585.14
1985-1989    105-109              11.63            4.27           15.90
1985-1989    110+                  0.00            0.00            0.00
1990-1994        0            738462.17       803217.17      1541679.33
1990-1994      1-4           3140781.79      3394637.98      6535419.77
1990-1994      5-9           4279182.43      4561281.28      8840463.72
1990-1994     10-14          4852881.40      5148596.29     10001477.69
1990-1994     15-19          4529146.52      4761511.35      9290657.86
1990-1994     20-24          4543381.49      4775652.77      9319034.26
1990-1994     25-29          4739403.19      4973909.14      9713312.34
1990-1994     30-34          4659000.41      4868095.98      9527096.38
1990-1994     35-39          4242218.02      4416483.34      8658701.36
1990-1994     40-44          3268994.70      3407312.12      6676306.82
1990-1994     45-49          2227641.41      2302570.75      4530212.16
1990-1994     50-54          2164496.17      2185442.20      4349938.37
1990-1994     55-59          1876150.82      1973571.30      3849722.11
1990-1994     60-64          1589154.81      2059976.91      3649131.72
1990-1994     65-69          1238385.69      1677279.18      2915664.87
1990-1994     70-74           871548.37      1057415.71      1928964.09
1990-1994     75-79           570231.37       604621.37      1174852.74
1990-1994     80-84           313019.79       252964.72       565984.52
1990-1994     85-89           121524.10        78606.76       200130.86
1990-1994     90-94            33667.61        17710.78        51378.38
1990-1994     95-99             5714.91         2578.56         8293.47
1990-1994    100-104             510.49          204.60          715.08
1990-1994    105-109              12.67            2.01           14.69
1990-1994    110+                  0.00            0.00            0.00
1995-1999        0            695247.67       756621.83      1451869.50
1995-1999      1-4           3081507.74      3348347.84      6429855.59
1995-1999      5-9           3867127.83      4210722.47      8077850.30
1995-1999     10-14          4246674.65      4535029.57      8781704.22
1995-1999     15-19          4842559.24      5121382.21      9963941.45
1995-1999     20-24          4506320.99      4729730.50      9236051.48
1995-1999     25-29          4519689.67      4720207.95      9239897.63
1995-1999     30-34          4735827.60      4928698.59      9664526.19
1995-1999     35-39          4660728.24      4827602.29      9488330.53
1995-1999     40-44          4230830.68      4357728.74      8588559.42
1995-1999     45-49          3239812.00      3323554.00      6563366.00
1995-1999     50-54          2162461.52      2185931.53      4348393.06
1995-1999     55-59          2098580.03      2051140.63      4149720.66
1995-1999     60-64          1793217.21      1815542.13      3608759.34
1995-1999     65-69          1478090.63      1853370.34      3331460.97
1995-1999     70-74          1095520.82      1427796.98      2523317.81
1995-1999     75-79           709248.68       808392.09      1517640.77
1995-1999     80-84           391912.54       358632.75       750545.30
1995-1999     85-89           177001.66       126251.41       303253.08
1995-1999     90-94            49471.58        27908.03        77379.61
1995-1999     95-99             8863.75         4085.96        12949.71
1995-1999    100-104             908.08          337.61         1245.68
1995-1999    105-109              30.69            4.96           35.65
1995-1999    110+                  0.00            0.00            0.00
2000-2004        0            587920.67       644510.67      1232431.33
2000-2004      1-4           2737474.71      2983036.04      5720510.75
2000-2004      5-9           3829589.78      4160117.49      7989707.27
2000-2004     10-14          3862207.18      4202124.33      8064331.51
2000-2004     15-19          4234732.12      4502618.62      8737350.74
2000-2004     20-24          4843226.53      5076525.83      9919752.37
2000-2004     25-29          4540381.08      4702267.85      9242648.93
2000-2004     30-34          4553924.60      4693897.52      9247822.12
2000-2004     35-39          4732878.03      4882514.29      9615392.32
2000-2004     40-44          4634231.90      4751927.33      9386159.23
2000-2004     45-49          4192861.14      4257103.23      8449964.38
2000-2004     50-54          3201518.27      3219096.43      6420614.70
2000-2004     55-59          2119026.59      2085204.34      4204230.94
2000-2004     60-64          2030443.87      1917372.37      3947816.24
2000-2004     65-69          1695132.20      1641851.52      3336983.73
2000-2004     70-74          1341637.44      1593440.87      2935078.32
2000-2004     75-79           927834.38      1122011.23      2049845.60
2000-2004     80-84           516728.80       510431.14      1027159.94
2000-2004     85-89           235224.54       189954.67       425179.21
2000-2004     90-94            76464.89        48493.33       124958.22
2000-2004     95-99            14016.57         7162.96        21179.53
2000-2004    100-104            1509.84          602.35         2112.19
2000-2004    105-109              66.75           13.74           80.48
2000-2004    110+                  0.00            0.00            0.00
2005-2009        0            459749.50       503251.67       963001.17
2005-2009      1-4           2136137.60      2340438.39      4476575.98
2005-2009      5-9           3353249.34      3654977.83      7008227.17
2005-2009     10-14          3824661.18      4151070.25      7975731.43
2005-2009     15-19          3851923.84      4178789.25      8030713.09
2005-2009     20-24          4233230.25      4468727.36      8701957.61
2005-2009     25-29          4912522.82      5055173.71      9967696.53
2005-2009     30-34          4620527.58      4670080.30      9290607.89
2005-2009     35-39          4587397.87      4643550.62      9230948.49
2005-2009     40-44          4722144.53      4803404.02      9525548.55
2005-2009     45-49          4607655.73      4643858.99      9251514.72
2005-2009     50-54          4159618.48      4130563.18      8290181.66
2005-2009     55-59          3161149.91      3091338.83      6252488.75
2005-2009     60-64          2065946.50      1964466.60      4030413.10
2005-2009     65-69          1938532.89      1754825.72      3693358.61
2005-2009     70-74          1560797.10      1426999.05      2987796.16
2005-2009     75-79          1163535.05      1279905.02      2443440.06
2005-2009     80-84           710775.05       762397.77      1473172.83
2005-2009     85-89           334108.62       293700.39       627809.02
2005-2009     90-94           111087.61        80551.85       191639.47
2005-2009     95-99            23546.23        14110.38        37656.61
2005-2009    100-104            2617.27         1407.26         4024.53
2005-2009    105-109             131.03           54.19          185.22
2005-2009    110+                  0.00            0.00            0.00
2010-2014        0            451722.83       487050.67       938773.50
2010-2014      1-4           1895965.16      2061056.90      3957022.05
2010-2014      5-9           2630253.78      2881059.78      5511313.55
2010-2014     10-14          3352193.71      3653182.58      7005376.29
2010-2014     15-19          3821719.69      4139225.66      7960945.35
2010-2014     20-24          3852634.79      4157172.19      8009806.98
2010-2014     25-29          4322627.64      4453926.42      8776554.06
2010-2014     30-34          5054747.57      5024501.68     10079249.25
2010-2014     35-39          4703772.63      4625729.12      9329501.75
2010-2014     40-44          4612270.57      4576632.24      9188902.81
2010-2014     45-49          4716866.66      4700474.24      9417340.90
2010-2014     50-54          4583941.36      4513505.71      9097447.07
2010-2014     55-59          4119736.12      3979136.24      8098872.36
2010-2014     60-64          3103227.55      2937164.11      6040391.66
2010-2014     65-69          1994699.23      1821576.08      3816275.31
2010-2014     70-74          1809933.61      1551791.58      3361725.19
2010-2014     75-79          1380831.81      1166993.67      2547825.49
2010-2014     80-84           930808.68       919068.09      1849876.77
2010-2014     85-89           481881.89       460407.52       942289.41
2010-2014     90-94           169783.36       133870.62       303653.99
2010-2014     95-99            36375.93        25289.24        61665.17
2010-2014    100-104            4456.95         3092.77         7549.71
2010-2014    105-109             238.67          176.76          415.43
2010-2014    110+                  0.66            0.53            1.19
2015-2019        0            451220.96       485332.21       936553.17
2015-2019      1-4           2025042.16      2176173.10      4201215.26
2015-2019      5-9           2383536.30      2586333.17      4969869.47
2015-2019     10-14          2627959.12      2878408.13      5506367.26
2015-2019     15-19          3350505.94      3646420.11      6996926.05
2015-2019     20-24          3817798.85      4122997.07      7940795.93
2015-2019     25-29          3859186.95      4140273.86      7999460.81
2015-2019     30-34          4381543.30      4430192.62      8811735.92
2015-2019     35-39          5091627.14      4988754.17     10080381.31
2015-2019     40-44          4707377.08      4570170.60      9277547.68
2015-2019     45-49          4593599.08      4487294.03      9080893.12
2015-2019     50-54          4680825.71      4571373.01      9252198.72
2015-2019     55-59          4526517.42      4349716.73      8876234.16
2015-2019     60-64          4040178.53      3788096.82      7828275.35
2015-2019     65-69          3008177.86      2741022.56      5749200.42
2015-2019     70-74          1876528.28      1627732.92      3504261.21
2015-2019     75-79          1622589.35      1291054.11      2913643.46
2015-2019     80-84          1129477.13       857034.82      1986511.95
2015-2019     85-89           646744.36       558012.46      1204756.82
2015-2019     90-94           253046.67       210981.47       464028.15
2015-2019     95-99            58205.69        41134.47        99340.16
2015-2019    100-104            6925.36         4452.73        11378.09
2015-2019    105-109             377.55          201.65          579.20
2015-2019    110+                  2.40            0.33            2.72
2020-2021        0            152286.62       163909.47       316196.09
2020-2021      1-4            737511.97       792491.03      1530003.00
2020-2021      5-9           1014888.59      1091171.21      2106059.80
