The United States of America, Exposure to risk (period 5x5), 	Last modified: 05 Sep 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1934        0           1906136.03      1972065.37      3878201.40
1933-1934      1-4           8487855.26      8692506.34     17180361.60
1933-1934      5-9          11848527.14     12293323.32     24141850.46
1933-1934     10-14         12295179.57     12458049.39     24753228.96
1933-1934     15-19         11725584.34     11675670.09     23401254.43
1933-1934     20-24         11314645.84     11067993.32     22382639.15
1933-1934     25-29         10529042.10     10235252.64     20764294.74
1933-1934     30-34          9560060.32      9443916.73     19003977.05
1933-1934     35-39          8906716.66      9033722.12     17940438.77
1933-1934     40-44          8427258.25      8830810.25     17258068.51
1933-1934     45-49          7166916.33      7743698.07     14910614.40
1933-1934     50-54          6100086.90      6609801.29     12709888.19
1933-1934     55-59          5067032.65      5440899.83     10507932.48
1933-1934     60-64          4011421.80      4232979.02      8244400.82
1933-1934     65-69          3054216.32      3157552.58      6211768.90
1933-1934     70-74          2120404.30      2117986.48      4238390.78
1933-1934     75-79          1350106.16      1295523.28      2645629.45
1933-1934     80-84           678519.44       583439.88      1261959.32
1933-1934     85-89           266444.58       204158.68       470603.27
1933-1934     90-94            75651.30        50289.08       125940.38
1933-1934     95-99            17006.54         9841.97        26848.51
1933-1934    100-104            3541.80         1867.50         5409.30
1933-1934    105-109             440.31          204.36          644.67
1933-1934    110+                 32.73           10.83           43.56
1935-1939        0           4869267.21      5057569.27      9926836.48
1935-1939      1-4          20271015.98     20776027.10     41047043.08
1935-1939      5-9          27813333.99     28771583.26     56584917.24
1935-1939     10-14         30144625.34     30803068.08     60947693.42
1935-1939     15-19         30218232.61     30089782.47     60308015.08
1935-1939     20-24         28919301.73     28159487.92     57078789.65
1935-1939     25-29         27327289.29     26565736.13     53893025.42
1935-1939     30-34         25100273.17     24633590.88     49733864.06
1935-1939     35-39         23005144.48     22962353.31     45967497.78
1935-1939     40-44         21522303.99     22089899.02     43612203.01
1935-1939     45-49         19367001.21     20525637.29     39892638.50
