Australia, Life tables (period 1x5), Total	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1924        0      0.06135  0.05866  0.25  100000    5866   95621  6199192  61.99
1921-1924        1      0.01132  0.01125  0.50   94134    1059   93604  6103572  64.84
1921-1924        2      0.00475  0.00473  0.50   93074     441   92854  6009968  64.57
1921-1924        3      0.00318  0.00318  0.50   92634     294   92487  5917114  63.88
1921-1924        4      0.00260  0.00260  0.50   92339     240   92219  5824627  63.08
1921-1924        5      0.00203  0.00203  0.50   92099     187   92006  5732408  62.24
1921-1924        6      0.00185  0.00185  0.50   91913     170   91827  5640402  61.37
1921-1924        7      0.00174  0.00174  0.50   91742     160   91662  5548574  60.48
1921-1924        8      0.00151  0.00151  0.50   91583     138   91513  5456912  59.58
1921-1924        9      0.00131  0.00130  0.50   91444     119   91385  5365398  58.67
1921-1924       10      0.00127  0.00127  0.50   91325     116   91267  5274014  57.75
1921-1924       11      0.00131  0.00131  0.50   91209     120   91149  5182747  56.82
1921-1924       12      0.00129  0.00129  0.50   91090     117   91031  5091597  55.90
1921-1924       13      0.00133  0.00133  0.50   90972     121   90912  5000566  54.97
1921-1924       14      0.00160  0.00160  0.50   90852     145   90779  4909654  54.04
1921-1924       15      0.00157  0.00157  0.50   90706     142   90635  4818875  53.13
1921-1924       16      0.00177  0.00177  0.50   90564     160   90484  4728240  52.21
1921-1924       17      0.00218  0.00218  0.50   90404     197   90306  4637756  51.30
1921-1924       18      0.00227  0.00227  0.50   90207     205   90105  4547450  50.41
1921-1924       19      0.00254  0.00254  0.50   90002     229   89888  4457345  49.52
1921-1924       20      0.00260  0.00260  0.50   89774     233   89657  4367457  48.65
1921-1924       21      0.00283  0.00282  0.50   89541     253   89414  4277800  47.78
1921-1924       22      0.00297  0.00297  0.50   89288     265   89155  4188386  46.91
1921-1924       23      0.00311  0.00311  0.50   89023     277   88884  4099231  46.05
1921-1924       24      0.00319  0.00318  0.50   88746     282   88605  4010346  45.19
1921-1924       25      0.00317  0.00316  0.50   88464     280   88324  3921742  44.33
1921-1924       26      0.00347  0.00346  0.50   88184     306   88031  3833418  43.47
1921-1924       27      0.00334  0.00333  0.50   87878     293   87732  3745387  42.62
1921-1924       28      0.00362  0.00362  0.50   87585     317   87427  3657655  41.76
1921-1924       29      0.00374  0.00373  0.50   87268     326   87106  3570228  40.91
1921-1924       30      0.00379  0.00378  0.50   86943     329   86778  3483123  40.06
1921-1924       31      0.00342  0.00342  0.50   86614     296   86466  3396344  39.21
1921-1924       32      0.00408  0.00407  0.50   86318     352   86142  3309878  38.35
1921-1924       33      0.00418  0.00418  0.50   85966     359   85787  3223736  37.50
1921-1924       34      0.00432  0.00431  0.50   85607     369   85423  3137949  36.66
1921-1924       35      0.00465  0.00464  0.50   85239     396   85041  3052526  35.81
1921-1924       36      0.00470  0.00469  0.50   84843     398   84644  2967485  34.98
1921-1924       37      0.00488  0.00486  0.50   84445     411   84240  2882841  34.14
1921-1924       38      0.00553  0.00552  0.50   84034     464   83802  2798602  33.30
1921-1924       39      0.00550  0.00549  0.50   83570     459   83341  2714799  32.49
1921-1924       40      0.00614  0.00612  0.50   83112     509   82858  2631458  31.66
1921-1924       41      0.00508  0.00507  0.50   82603     419   82394  2548601  30.85
1921-1924       42      0.00663  0.00661  0.50   82185     543   81913  2466207  30.01
1921-1924       43      0.00628  0.00626  0.50   81641     511   81386  2384294  29.20
1921-1924       44      0.00636  0.00633  0.50   81130     514   80873  2302908  28.39
1921-1924       45      0.00816  0.00813  0.50   80616     655   80288  2222035  27.56
1921-1924       46      0.00736  0.00734  0.50   79961     587   79668  2141746  26.78
1921-1924       47      0.00835  0.00831  0.50   79374     660   79044  2062079  25.98
1921-1924       48      0.00884  0.00880  0.50   78714     693   78368  1983034  25.19
1921-1924       49      0.00873  0.00869  0.50   78021     678   77682  1904667  24.41
1921-1924       50      0.01119  0.01113  0.50   77343     861   76913  1826984  23.62
1921-1924       51      0.00885  0.00882  0.50   76482     674   76145  1750071  22.88
1921-1924       52      0.01129  0.01123  0.50   75808     851   75383  1673926  22.08
1921-1924       53      0.01189  0.01182  0.50   74957     886   74514  1598543  21.33
1921-1924       54      0.01313  0.01305  0.50   74071     967   73588  1524029  20.58
1921-1924       55      0.01328  0.01319  0.50   73105     964   72623  1450441  19.84
1921-1924       56      0.01553  0.01541  0.50   72140    1112   71584  1377819  19.10
1921-1924       57      0.01508  0.01496  0.50   71028    1063   70497  1306234  18.39
1921-1924       58      0.01760  0.01745  0.50   69966    1221   69355  1235737  17.66
1921-1924       59      0.01777  0.01762  0.50   68745    1211   68139  1166382  16.97
1921-1924       60      0.02338  0.02311  0.50   67534    1561   66753  1098243  16.26
1921-1924       61      0.01865  0.01847  0.50   65973    1219   65364  1031489  15.64
1921-1924       62      0.02412  0.02383  0.50   64754    1543   63983   966126  14.92
1921-1924       63      0.02717  0.02680  0.50   63211    1694   62364   902143  14.27
1921-1924       64      0.02892  0.02851  0.50   61517    1754   60640   839779  13.65
1921-1924       65      0.03521  0.03460  0.50   59763    2068   58729   779139  13.04
1921-1924       66      0.03099  0.03052  0.50   57695    1761   56815   720410  12.49
1921-1924       67      0.03608  0.03544  0.50   55934    1983   54943   663595  11.86
1921-1924       68      0.04156  0.04072  0.50   53952    2197   52854   608652  11.28
1921-1924       69      0.04102  0.04020  0.50   51755    2080   50715   555798  10.74
1921-1924       70      0.05066  0.04941  0.50   49675    2454   48448   505083  10.17
1921-1924       71      0.04477  0.04379  0.50   47220    2068   46187   456636   9.67
1921-1924       72      0.05908  0.05739  0.50   45153    2591   43857   410449   9.09
1921-1924       73      0.06438  0.06237  0.50   42562    2655   41234   366592   8.61
1921-1924       74      0.06985  0.06749  0.50   39907    2693   38560   325358   8.15
1921-1924       75      0.07968  0.07662  0.50   37214    2851   35788   286798   7.71
1921-1924       76      0.08916  0.08535  0.50   34362    2933   32896   251010   7.30
1921-1924       77      0.08644  0.08286  0.50   31429    2604   30127   218114   6.94
1921-1924       78      0.10991  0.10419  0.50   28825    3003   27323   187987   6.52
1921-1924       79      0.10765  0.10215  0.50   25822    2638   24503   160664   6.22
1921-1924       80      0.12628  0.11878  0.50   23184    2754   21807   136161   5.87
1921-1924       81      0.10550  0.10022  0.50   20430    2047   19406   114354   5.60
1921-1924       82      0.13784  0.12896  0.50   18383    2371   17197    94947   5.17
1921-1924       83      0.14327  0.13369  0.50   16012    2141   14942    77750   4.86
1921-1924       84      0.17455  0.16054  0.50   13871    2227   12758    62808   4.53
1921-1924       85      0.19191  0.17511  0.50   11645    2039   10625    50050   4.30
1921-1924       86      0.20571  0.18653  0.50    9606    1792    8710    39425   4.10
1921-1924       87      0.21593  0.19489  0.50    7814    1523    7052    30716   3.93
