Northern Ireland, Life tables (period 5x1), Total	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0      0.08077  0.07648  0.31  100000    7648   94690  5442769  54.43
  1922         1-4      0.01018  0.03963  1.32   92352    3660  359601  5348079  57.91
  1922         5-9      0.00269  0.01334  2.14   88692    1183  440074  4988479  56.25
  1922        10-14     0.00220  0.01094  2.77   87509     957  435412  4548404  51.98
  1922        15-19     0.00485  0.02398  2.71   86551    2076  428006  4112993  47.52
  1922        20-24     0.00617  0.03038  2.53   84475    2567  416030  3684987  43.62
  1922        25-29     0.00710  0.03492  2.58   81909    2861  402634  3268956  39.91
  1922        30-34     0.00767  0.03762  2.49   79048    2974  387785  2866322  36.26
  1922        35-39     0.00829  0.04066  2.60   76074    3093  372946  2478538  32.58
  1922        40-44     0.00891  0.04359  2.51   72981    3181  356985  2105591  28.85
  1922        45-49     0.01123  0.05478  2.74   69800    3823  340345  1748606  25.05
  1922        50-54     0.01720  0.08260  2.60   65977    5450  316824  1408261  21.34
  1922        55-59     0.02103  0.10025  2.67   60527    6068  288483  1091437  18.03
  1922        60-64     0.03107  0.14448  2.58   54459    7868  253278   802954  14.74
  1922        65-69     0.03953  0.18082  2.65   46591    8425  213116   549676  11.80
  1922        70-74     0.07864  0.33113  2.62   38166   12638  160710   336560   8.82
  1922        75-79     0.10738  0.41934  2.39   25528   10705   99695   175851   6.89
  1922        80-84     0.16872  0.58139  2.33   14823    8618   51078    76156   5.14
  1922        85-89     0.22582  0.68813  2.16    6205    4270   18908    25078   4.04
  1922        90-94     0.29767  0.78747  2.01    1935    1524    5119     6170   3.19
  1922        95-99     0.38079  0.86437  1.84     411     356     934     1050   2.55
  1922       100-104    0.47136  0.91732  1.67      56      51     109      117   2.09
  1922       105-109    0.56392  0.95038  1.51       5       4       8        8   1.76
  1922       110+       0.63785  1.00000  1.57       0       0       0        0   1.57
  1923           0      0.08286  0.07836  0.31  100000    7836   94560  5554949  55.55
  1923         1-4      0.01096  0.04257  1.26   92164    3923  357902  5460389  59.25
  1923         5-9      0.00239  0.01189  2.39   88241    1049  438467  5102487  57.82
  1923        10-14     0.00220  0.01094  2.62   87192     954  433690  4664020  53.49
  1923        15-19     0.00368  0.01826  2.72   86238    1575  427607  4230331  49.05
  1923        20-24     0.00551  0.02717  2.55   84663    2300  417679  3802724  44.92
  1923        25-29     0.00590  0.02909  2.53   82363    2396  405891  3385045  41.10
  1923        30-34     0.00630  0.03099  2.50   79966    2478  393643  2979154  37.26
  1923        35-39     0.00717  0.03523  2.60   77488    2730  380900  2585510  33.37
  1923        40-44     0.00823  0.04033  2.49   74758    3015  366235  2204611  29.49
  1923        45-49     0.01010  0.04938  2.72   71743    3543  350628  1838375  25.62
  1923        50-54     0.01575  0.07584  2.58   68200    5172  328459  1487748  21.81
  1923        55-59     0.02024  0.09666  2.67   63028    6092  300950  1159289  18.39
  1923        60-64     0.03099  0.14393  2.53   56936    8195  264439   858338  15.08
