Belarus, Life tables (period 1x1), Females	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.04374  0.04229  0.22  100000    4229   96686  7197231  71.97
  1959           1      0.00672  0.00670  0.50   95771     641   95450  7100545  74.14
  1959           2      0.00214  0.00214  0.50   95129     204   95028  7005095  73.64
  1959           3      0.00137  0.00137  0.50   94926     130   94861  6910067  72.79
  1959           4      0.00094  0.00094  0.50   94796      89   94751  6815206  71.89
  1959           5      0.00086  0.00086  0.50   94707      81   94666  6720455  70.96
  1959           6      0.00093  0.00093  0.50   94626      88   94582  6625789  70.02
  1959           7      0.00067  0.00067  0.50   94538      63   94506  6531207  69.09
  1959           8      0.00065  0.00065  0.50   94475      62   94444  6436701  68.13
  1959           9      0.00049  0.00049  0.50   94413      47   94390  6342257  67.18
  1959          10      0.00064  0.00064  0.50   94367      60   94337  6247867  66.21
  1959          11      0.00056  0.00056  0.50   94307      53   94280  6153530  65.25
  1959          12      0.00063  0.00063  0.50   94254      60   94224  6059250  64.29
  1959          13      0.00054  0.00054  0.50   94194      51   94168  5965026  63.33
  1959          14      0.00053  0.00053  0.50   94143      50   94118  5870858  62.36
  1959          15      0.00060  0.00060  0.50   94093      57   94064  5776740  61.39
  1959          16      0.00073  0.00073  0.50   94036      69   94002  5682675  60.43
  1959          17      0.00066  0.00066  0.50   93967      62   93936  5588674  59.47
  1959          18      0.00092  0.00092  0.50   93906      87   93862  5494737  58.51
  1959          19      0.00092  0.00092  0.50   93819      86   93776  5400875  57.57
  1959          20      0.00099  0.00099  0.50   93733      92   93687  5307099  56.62
  1959          21      0.00071  0.00071  0.50   93641      66   93607  5213412  55.67
  1959          22      0.00113  0.00113  0.50   93574     106   93521  5119805  54.71
  1959          23      0.00105  0.00105  0.50   93468      98   93419  5026284  53.78
  1959          24      0.00117  0.00117  0.50   93370     109   93315  4932864  52.83
  1959          25      0.00132  0.00132  0.50   93261     123   93199  4839549  51.89
  1959          26      0.00107  0.00107  0.50   93138     100   93088  4746350  50.96
  1959          27      0.00109  0.00109  0.50   93038     102   92987  4653262  50.01
  1959          28      0.00138  0.00138  0.50   92936     128   92872  4560275  49.07
  1959          29      0.00112  0.00111  0.50   92808     103   92756  4467403  48.14
  1959          30      0.00164  0.00164  0.50   92704     152   92628  4374647  47.19
  1959          31      0.00125  0.00125  0.50   92552     116   92494  4282019  46.27
  1959          32      0.00163  0.00163  0.50   92436     151   92361  4189525  45.32
  1959          33      0.00150  0.00150  0.50   92285     138   92216  4097164  44.40
  1959          34      0.00144  0.00144  0.50   92147     133   92081  4004948  43.46
  1959          35      0.00167  0.00167  0.50   92014     154   91937  3912868  42.52
  1959          36      0.00200  0.00199  0.50   91860     183   91769  3820931  41.60
  1959          37      0.00228  0.00228  0.50   91677     209   91572  3729162  40.68
  1959          38      0.00216  0.00216  0.50   91468     197   91369  3637589  39.77
  1959          39      0.00194  0.00193  0.50   91271     177   91182  3546220  38.85
  1959          40      0.00251  0.00251  0.50   91094     228   90980  3455038  37.93
  1959          41      0.00226  0.00226  0.50   90866     206   90763  3364058  37.02
  1959          42      0.00224  0.00224  0.50   90660     203   90559  3273295  36.11
  1959          43      0.00243  0.00243  0.50   90457     220   90348  3182736  35.18
  1959          44      0.00259  0.00258  0.50   90238     233   90121  3092389  34.27
  1959          45      0.00396  0.00396  0.50   90005     356   89827  3002267  33.36
  1959          46      0.00293  0.00292  0.50   89648     262   89517  2912441  32.49
  1959          47      0.00370  0.00369  0.50   89386     330   89221  2822923  31.58
  1959          48      0.00376  0.00375  0.50   89056     334   88889  2733702  30.70
  1959          49      0.00373  0.00373  0.50   88722     331   88557  2644813  29.81
  1959          50      0.00616  0.00614  0.50   88392     543   88120  2556256  28.92
  1959          51      0.00338  0.00337  0.50   87849     296   87701  2468136  28.10
  1959          52      0.00553  0.00551  0.50   87553     483   87311  2380435  27.19
  1959          53      0.00500  0.00499  0.50   87070     435   86852  2293124  26.34
  1959          54      0.00544  0.00542  0.50   86635     470   86400  2206271  25.47
  1959          55      0.00676  0.00674  0.50   86165     581   85875  2119871  24.60
  1959          56      0.00595  0.00594  0.50   85585     508   85331  2033996  23.77
  1959          57      0.00708  0.00705  0.50   85077     600   84776  1948666  22.90
  1959          58      0.00803  0.00799  0.50   84476     675   84139  1863889  22.06
  1959          59      0.00916  0.00912  0.50   83801     764   83419  1779750  21.24
  1959          60      0.01392  0.01383  0.50   83037    1148   82463  1696331  20.43
  1959          61      0.00742  0.00739  0.50   81889     605   81587  1613868  19.71
  1959          62      0.01562  0.01549  0.50   81284    1259   80654  1532282  18.85
  1959          63      0.01301  0.01293  0.50   80025    1034   79507  1451627  18.14
  1959          64      0.01479  0.01468  0.50   78990    1159   78411  1372120  17.37
  1959          65      0.01858  0.01841  0.50   77831    1433   77115  1293709  16.62
  1959          66      0.01179  0.01172  0.50   76398     895   75951  1216595  15.92
  1959          67      0.02040  0.02020  0.50   75503    1525   74740  1140644  15.11
  1959          68      0.01980  0.01960  0.50   73978    1450   73253  1065904  14.41
  1959          69      0.02008  0.01988  0.50   72528    1442   71807   992651  13.69
  1959          70      0.03218  0.03167  0.50   71086    2251   69960   920844  12.95
  1959          71      0.02092  0.02070  0.50   68835    1425   68122   850884  12.36
  1959          72      0.04360  0.04267  0.50   67410    2876   65972   782762  11.61
  1959          73      0.04184  0.04098  0.50   64534    2644   63211   716790  11.11
  1959          74      0.04341  0.04249  0.50   61889    2629   60574   653579  10.56
  1959          75      0.05746  0.05585  0.50   59260    3310   57605   593005  10.01
  1959          76      0.04043  0.03963  0.50   55950    2217   54841   535400   9.57
  1959          77      0.05350  0.05211  0.50   53732    2800   52332   480559   8.94
  1959          78      0.06889  0.06659  0.50   50932    3392   49237   428227   8.41
  1959          79      0.07151  0.06905  0.50   47541    3282   45899   378990   7.97
  1959          80      0.12019  0.11338  0.50   44258    5018   41749   333091   7.53
  1959          81      0.06788  0.06565  0.50   39240    2576   37952   291341   7.42
  1959          82      0.09164  0.08762  0.50   36664    3213   35058   253389   6.91
  1959          83      0.09587  0.09148  0.50   33452    3060   31921   218331   6.53
  1959          84      0.09233  0.08826  0.50   30391    2682   29050   186410   6.13
  1959          85      0.14888  0.13857  0.50   27709    3840   25789   157360   5.68
  1959          86      0.13100  0.12294  0.50   23870    2935   22402   131570   5.51
  1959          87      0.15013  0.13965  0.50   20935    2924   19473   109168   5.21
  1959          88      0.13443  0.12597  0.50   18011    2269   16877    89695   4.98
  1959          89      0.16591  0.15320  0.50   15743    2412   14537    72818   4.63
  1959          90      0.25160  0.22349  0.50   13331    2979   11841    58281   4.37
  1959          91      0.18052  0.16558  0.50   10351    1714    9494    46440   4.49
  1959          92      0.19187  0.17508  0.50    8637    1512    7881    36946   4.28
  1959          93      0.20376  0.18492  0.50    7125    1318    6466    29064   4.08
  1959          94      0.21619  0.19510  0.50    5808    1133    5241    22598   3.89
  1959          95      0.22915  0.20560  0.50    4675     961    4194    17357   3.71
  1959          96      0.24265  0.21640  0.50    3714     804    3312    13163   3.54
  1959          97      0.25669  0.22749  0.50    2910     662    2579     9851   3.39
  1959          98      0.27124  0.23885  0.50    2248     537    1979     7272   3.24
  1959          99      0.28630  0.25045  0.50    1711     429    1497     5293   3.09
  1959         100      0.30185  0.26227  0.50    1282     336    1114     3796   2.96
  1959         101      0.31787  0.27428  0.50     946     260     816     2682   2.83
  1959         102      0.33434  0.28645  0.50     687     197     588     1865   2.72
  1959         103      0.35121  0.29875  0.50     490     146     417     1277   2.61
  1959         104      0.36847  0.31114  0.50     344     107     290      860   2.50
  1959         105      0.38607  0.32360  0.50     237      77     198      570   2.41
  1959         106      0.40397  0.33609  0.50     160      54     133      372   2.32
  1959         107      0.42213  0.34856  0.50     106      37      88      239   2.24
  1959         108      0.44051  0.36100  0.50      69      25      57      151   2.18
  1959         109      0.45905  0.37335  0.50      44      17      36       94   2.13
  1959         110+     0.47770  1.00000  2.09      28      28      58       58   2.09
  1960           0      0.03132  0.03053  0.17  100000    3053   97461  7481432  74.81
  1960           1      0.00397  0.00396  0.50   96947     384   96755  7383971  76.16
  1960           2      0.00154  0.00154  0.50   96563     149   96488  7287216  75.47
  1960           3      0.00098  0.00098  0.50   96414      94   96367  7190728  74.58
  1960           4      0.00095  0.00095  0.50   96320      92   96274  7094361  73.65
  1960           5      0.00060  0.00060  0.50   96228      57   96199  6998087  72.72
  1960           6      0.00080  0.00080  0.50   96171      77   96132  6901888  71.77
  1960           7      0.00063  0.00063  0.50   96094      61   96063  6805755  70.82
  1960           8      0.00063  0.00063  0.50   96033      61   96003  6709692  69.87
  1960           9      0.00047  0.00047  0.50   95972      45   95950  6613689  68.91
  1960          10      0.00050  0.00050  0.50   95927      48   95903  6517740  67.94
  1960          11      0.00050  0.00050  0.50   95879      48   95855  6421836  66.98
  1960          12      0.00046  0.00046  0.50   95831      44   95809  6325981  66.01
  1960          13      0.00068  0.00068  0.50   95787      65   95755  6230172  65.04
  1960          14      0.00049  0.00049  0.50   95722      47   95698  6134417  64.09
  1960          15      0.00062  0.00062  0.50   95675      59   95645  6038719  63.12
  1960          16      0.00057  0.00057  0.50   95615      54   95588  5943074  62.16
  1960          17      0.00059  0.00059  0.50   95561      56   95533  5847486  61.19
  1960          18      0.00077  0.00077  0.50   95505      73   95468  5751952  60.23
  1960          19      0.00069  0.00069  0.50   95432      66   95399  5656484  59.27
  1960          20      0.00105  0.00105  0.50   95366     100   95316  5561085  58.31
  1960          21      0.00079  0.00079  0.50   95265      76   95228  5465769  57.37
  1960          22      0.00090  0.00090  0.50   95190      86   95147  5370542  56.42
  1960          23      0.00077  0.00077  0.50   95104      73   95067  5275395  55.47
  1960          24      0.00092  0.00092  0.50   95031      87   94987  5180328  54.51
  1960          25      0.00108  0.00108  0.50   94943     102   94892  5085341  53.56
  1960          26      0.00100  0.00100  0.50   94841      95   94794  4990449  52.62
  1960          27      0.00079  0.00079  0.50   94746      75   94709  4895655  51.67
