Finland, Life tables (period 1x1), Females	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.18301  0.16260  0.31  100000   16260   88847  4025533  40.26
  1878           1      0.08360  0.08025  0.50   83740    6720   80380  3936686  47.01
  1878           2      0.04683  0.04576  0.50   77020    3524   75258  3856306  50.07
  1878           3      0.02823  0.02783  0.50   73495    2046   72473  3781049  51.45
  1878           4      0.02138  0.02116  0.50   71450    1512   70694  3708576  51.90
  1878           5      0.01569  0.01557  0.50   69938    1089   69394  3637882  52.02
  1878           6      0.01256  0.01249  0.50   68849     860   68420  3568488  51.83
  1878           7      0.01002  0.00997  0.50   67990     678   67651  3500069  51.48
  1878           8      0.00825  0.00821  0.50   67312     553   67035  3432418  50.99
  1878           9      0.00642  0.00640  0.50   66759     427   66545  3365383  50.41
  1878          10      0.00668  0.00666  0.50   66332     442   66111  3298837  49.73
  1878          11      0.00578  0.00576  0.50   65890     380   65700  3232726  49.06
  1878          12      0.00560  0.00558  0.50   65510     366   65327  3167026  48.34
  1878          13      0.00514  0.00513  0.50   65145     334   64977  3101698  47.61
  1878          14      0.00502  0.00501  0.50   64810     325   64648  3036721  46.86
  1878          15      0.00569  0.00568  0.50   64486     366   64303  2972073  46.09
  1878          16      0.00627  0.00625  0.50   64120     401   63919  2907770  45.35
  1878          17      0.00614  0.00612  0.50   63719     390   63524  2843851  44.63
  1878          18      0.00584  0.00582  0.50   63329     369   63145  2780327  43.90
  1878          19      0.00570  0.00568  0.50   62961     358   62782  2717182  43.16
  1878          20      0.00569  0.00567  0.50   62603     355   62425  2654400  42.40
  1878          21      0.00606  0.00604  0.50   62248     376   62060  2591975  41.64
  1878          22      0.00717  0.00714  0.50   61872     442   61651  2529915  40.89
  1878          23      0.00606  0.00604  0.50   61430     371   61244  2468265  40.18
  1878          24      0.00682  0.00679  0.50   61059     415   60851  2407021  39.42
  1878          25      0.00593  0.00591  0.50   60644     358   60464  2346169  38.69
  1878          26      0.00833  0.00829  0.50   60285     500   60035  2285705  37.91
  1878          27      0.00848  0.00845  0.50   59785     505   59533  2225670  37.23
  1878          28      0.00847  0.00844  0.50   59280     500   59030  2166137  36.54
  1878          29      0.00748  0.00745  0.50   58780     438   58561  2107107  35.85
  1878          30      0.00795  0.00791  0.50   58342     462   58111  2048546  35.11
  1878          31      0.00738  0.00735  0.50   57881     426   57668  1990434  34.39
  1878          32      0.00732  0.00730  0.50   57455     419   57245  1932767  33.64
  1878          33      0.00839  0.00835  0.50   57036     476   56798  1875521  32.88
  1878          34      0.00861  0.00858  0.50   56559     485   56317  1818724  32.16
  1878          35      0.00916  0.00912  0.50   56074     511   55819  1762407  31.43
  1878          36      0.00848  0.00845  0.50   55563     469   55328  1706588  30.71
  1878          37      0.00906  0.00902  0.50   55094     497   54845  1651260  29.97
  1878          38      0.00977  0.00972  0.50   54597     531   54332  1596415  29.24
  1878          39      0.00969  0.00965  0.50   54066     521   53805  1542083  28.52
  1878          40      0.01049  0.01044  0.50   53545     559   53265  1488277  27.80
  1878          41      0.01056  0.01051  0.50   52986     557   52708  1435012  27.08
  1878          42      0.01136  0.01130  0.50   52429     592   52133  1382305  26.37
  1878          43      0.01147  0.01141  0.50   51837     591   51541  1330172  25.66
  1878          44      0.01032  0.01027  0.50   51246     526   50983  1278630  24.95
  1878          45      0.00911  0.00907  0.50   50720     460   50490  1227648  24.20
  1878          46      0.01231  0.01223  0.50   50260     615   49952  1177158  23.42
  1878          47      0.01230  0.01222  0.50   49645     607   49341  1127206  22.71
  1878          48      0.01023  0.01018  0.50   49038     499   48789  1077865  21.98
  1878          49      0.01104  0.01098  0.50   48539     533   48272  1029076  21.20
  1878          50      0.01404  0.01394  0.50   48006     669   47671   980804  20.43
  1878          51      0.01592  0.01580  0.50   47337     748   46963   933132  19.71
  1878          52      0.01536  0.01524  0.50   46589     710   46234   886169  19.02
  1878          53      0.01477  0.01466  0.50   45879     672   45543   839936  18.31
  1878          54      0.01438  0.01428  0.50   45206     645   44884   794393  17.57
  1878          55      0.01982  0.01962  0.50   44561     874   44124   749509  16.82
  1878          56      0.02026  0.02006  0.50   43687     876   43248   705386  16.15
  1878          57      0.02428  0.02399  0.50   42810    1027   42297   662137  15.47
  1878          58      0.01961  0.01941  0.50   41783     811   41378   619841  14.83
  1878          59      0.02482  0.02451  0.50   40972    1004   40470   578463  14.12
  1878          60      0.03274  0.03222  0.50   39968    1288   39324   537993  13.46
  1878          61      0.03368  0.03312  0.50   38680    1281   38040   498669  12.89
  1878          62      0.03475  0.03415  0.50   37399    1277   36760   460630  12.32
  1878          63      0.03944  0.03868  0.50   36122    1397   35423   423870  11.73
  1878          64      0.03959  0.03882  0.50   34725    1348   34051   388446  11.19
  1878          65      0.04574  0.04472  0.50   33377    1493   32630   354396  10.62
  1878          66      0.05065  0.04940  0.50   31884    1575   31097   321765  10.09
  1878          67      0.05919  0.05749  0.50   30309    1743   29438   290668   9.59
  1878          68      0.06171  0.05986  0.50   28567    1710   27712   261230   9.14
  1878          69      0.05535  0.05386  0.50   26857    1446   26134   233519   8.69
  1878          70      0.06602  0.06391  0.50   25410    1624   24598   207385   8.16
  1878          71      0.08489  0.08144  0.50   23786    1937   22818   182787   7.68
  1878          72      0.08840  0.08466  0.50   21849    1850   20924   159969   7.32
  1878          73      0.08958  0.08574  0.50   19999    1715   19142   139045   6.95
  1878          74      0.09061  0.08668  0.50   18285    1585   17492   119903   6.56
  1878          75      0.10574  0.10043  0.50   16700    1677   15861   102410   6.13
  1878          76      0.12322  0.11607  0.50   15023    1744   14151    86549   5.76
  1878          77      0.15780  0.14626  0.50   13279    1942   12308    72398   5.45
  1878          78      0.13447  0.12600  0.50   11337    1428   10623    60090   5.30
  1878          79      0.12444  0.11715  0.50    9908    1161    9328    49468   4.99
  1878          80      0.18959  0.17318  0.50    8748    1515    7990    40140   4.59
  1878          81      0.18499  0.16933  0.50    7233    1225    6620    32150   4.45
  1878          82      0.19579  0.17834  0.50    6008    1071    5472    25529   4.25
  1878          83      0.20706  0.18764  0.50    4937     926    4473    20057   4.06
  1878          84      0.21880  0.19723  0.50    4010     791    3615    15584   3.89
  1878          85      0.23102  0.20710  0.50    3219     667    2886    11969   3.72
  1878          86      0.24370  0.21723  0.50    2553     555    2275     9083   3.56
  1878          87      0.25685  0.22761  0.50    1998     455    1771     6807   3.41
  1878          88      0.27045  0.23823  0.50    1543     368    1359     5037   3.26
  1878          89      0.28449  0.24906  0.50    1176     293    1029     3677   3.13
  1878          90      0.29897  0.26009  0.50     883     230     768     2648   3.00
  1878          91      0.31386  0.27129  0.50     653     177     565     1880   2.88
  1878          92      0.32914  0.28263  0.50     476     135     409     1315   2.76
  1878          93      0.34480  0.29410  0.50     341     100     291      907   2.65
  1878          94      0.36080  0.30566  0.50     241      74     204      615   2.55
  1878          95      0.37711  0.31728  0.50     167      53     141      411   2.46
  1878          96      0.39370  0.32895  0.50     114      38      95      270   2.37
  1878          97      0.41055  0.34063  0.50      77      26      64      175   2.28
  1878          98      0.42761  0.35229  0.50      51      18      42      111   2.20
  1878          99      0.44484  0.36390  0.50      33      12      27       70   2.12
  1878         100      0.46220  0.37544  0.50      21       8      17       43   2.05
  1878         101      0.47966  0.38688  0.50      13       5      10       26   1.99
  1878         102      0.49717  0.39819  0.50       8       3       6       15   1.92
  1878         103      0.51468  0.40934  0.50       5       2       4        9   1.86
  1878         104      0.53216  0.42032  0.50       3       1       2        5   1.81
  1878         105      0.54956  0.43110  0.50       2       1       1        3   1.76
  1878         106      0.56684  0.44166  0.50       1       0       1        2   1.71
  1878         107      0.58396  0.45199  0.50       1       0       0        1   1.67
  1878         108      0.60087  0.46206  0.50       0       0       0        0   1.63
  1878         109      0.61755  0.47186  0.50       0       0       0        0   1.60
  1878         110+     0.63396  1.00000  1.58       0       0       0        0   1.58
  1879           0      0.14307  0.13029  0.31  100000   13029   91064  4608049  46.08
  1879           1      0.05056  0.04931  0.50   86971    4289   84827  4516985  51.94
  1879           2      0.03392  0.03335  0.50   82683    2758   81304  4432159  53.60
  1879           3      0.02326  0.02299  0.50   79925    1838   79006  4350855  54.44
  1879           4      0.01745  0.01730  0.50   78087    1351   77412  4271849  54.71
  1879           5      0.01106  0.01100  0.50   76736     844   76314  4194437  54.66
  1879           6      0.00791  0.00788  0.50   75892     598   75593  4118123  54.26
  1879           7      0.00747  0.00744  0.50   75294     560   75014  4042530  53.69
  1879           8      0.00599  0.00597  0.50   74734     446   74511  3967516  53.09
  1879           9      0.00541  0.00540  0.50   74288     401   74087  3893005  52.40
  1879          10      0.00470  0.00469  0.50   73887     347   73713  3818918  51.69
  1879          11      0.00354  0.00354  0.50   73540     260   73410  3745205  50.93
  1879          12      0.00396  0.00396  0.50   73280     290   73135  3671795  50.11
  1879          13      0.00372  0.00372  0.50   72990     271   72854  3598660  49.30
  1879          14      0.00487  0.00486  0.50   72719     353   72542  3525805  48.49
  1879          15      0.00462  0.00460  0.50   72365     333   72199  3453263  47.72
  1879          16      0.00369  0.00368  0.50   72032     265   71899  3381065  46.94
  1879          17      0.00439  0.00438  0.50   71767     314   71610  3309165  46.11
  1879          18      0.00442  0.00441  0.50   71452     315   71295  3237556  45.31
  1879          19      0.00507  0.00506  0.50   71137     360   70957  3166261  44.51
  1879          20      0.00622  0.00620  0.50   70777     439   70557  3095304  43.73
  1879          21      0.00597  0.00595  0.50   70338     418   70129  3024747  43.00
  1879          22      0.00659  0.00657  0.50   69920     459   69690  2954618  42.26
  1879          23      0.00597  0.00595  0.50   69460     413   69253  2884928  41.53
  1879          24      0.00581  0.00580  0.50   69047     400   68847  2815674  40.78
  1879          25      0.00652  0.00650  0.50   68647     446   68423  2746828  40.01
  1879          26      0.00577  0.00575  0.50   68200     392   68004  2678404  39.27
  1879          27      0.00642  0.00640  0.50   67808     434   67591  2610400  38.50
  1879          28      0.00709  0.00707  0.50   67374     476   67136  2542809  37.74
  1879          29      0.00548  0.00546  0.50   66898     365   66715  2475673  37.01
  1879          30      0.00901  0.00897  0.50   66533     597   66234  2408957  36.21
  1879          31      0.00863  0.00860  0.50   65936     567   65652  2342723  35.53
  1879          32      0.00844  0.00840  0.50   65369     549   65094  2277071  34.83
  1879          33      0.00776  0.00773  0.50   64820     501   64569  2211977  34.13
  1879          34      0.00931  0.00927  0.50   64319     596   64021  2147407  33.39
  1879          35      0.00851  0.00848  0.50   63723     540   63453  2083387  32.69
  1879          36      0.01076  0.01070  0.50   63182     676   62844  2019934  31.97
