Slovenia, Life tables (period 1x1), Females	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0      0.01267  0.01253  0.12  100000    1253   98901  7488060  74.88
  1983           1      0.00152  0.00152  0.50   98747     150   98673  7389158  74.83
  1983           2      0.00091  0.00091  0.50   98598      89   98553  7290486  73.94
  1983           3      0.00055  0.00055  0.50   98508      54   98481  7191933  73.01
  1983           4      0.00041  0.00041  0.50   98454      41   98434  7093452  72.05
  1983           5      0.00014  0.00014  0.50   98413      14   98407  6995018  71.08
  1983           6      0.00007  0.00007  0.50   98400       7   98396  6896611  70.09
  1983           7      0.00041  0.00041  0.50   98393      40   98373  6798215  69.09
  1983           8      0.00021  0.00021  0.50   98353      21   98343  6699842  68.12
  1983           9      0.00007  0.00007  0.50   98332       7   98329  6601499  67.13
  1983          10      0.00014  0.00014  0.50   98325      14   98318  6503171  66.14
  1983          11      0.00007  0.00007  0.50   98311       7   98308  6404853  65.15
  1983          12      0.00007  0.00007  0.50   98304       7   98300  6306545  64.15
  1983          13      0.00000  0.00000  0.50   98297       0   98297  6208245  63.16
  1983          14      0.00030  0.00030  0.50   98297      29   98282  6109948  62.16
  1983          15      0.00022  0.00022  0.50   98267      21   98257  6011666  61.18
  1983          16      0.00035  0.00035  0.50   98246      34   98229  5913410  60.19
  1983          17      0.00048  0.00048  0.50   98212      47   98188  5815181  59.21
  1983          18      0.00021  0.00021  0.50   98165      20   98155  5716992  58.24
  1983          19      0.00063  0.00062  0.50   98145      61   98114  5618837  57.25
  1983          20      0.00048  0.00048  0.50   98084      47   98060  5520723  56.29
  1983          21      0.00020  0.00020  0.50   98036      20   98027  5422663  55.31
  1983          22      0.00053  0.00053  0.50   98017      52   97991  5324637  54.32
  1983          23      0.00060  0.00060  0.50   97965      59   97935  5226646  53.35
  1983          24      0.00040  0.00040  0.50   97906      39   97886  5128711  52.38
  1983          25      0.00052  0.00052  0.50   97866      51   97841  5030824  51.40
  1983          26      0.00063  0.00063  0.50   97816      61   97785  4932983  50.43
  1983          27      0.00050  0.00050  0.50   97754      49   97730  4835198  49.46
  1983          28      0.00050  0.00050  0.50   97706      49   97681  4737468  48.49
  1983          29      0.00081  0.00081  0.50   97657      79   97618  4639787  47.51
  1983          30      0.00043  0.00043  0.50   97578      42   97557  4542169  46.55
  1983          31      0.00076  0.00076  0.50   97536      74   97499  4444612  45.57
  1983          32      0.00095  0.00095  0.50   97462      93   97416  4347113  44.60
  1983          33      0.00060  0.00059  0.50   97369      58   97340  4249698  43.65
  1983          34      0.00113  0.00113  0.50   97311     110   97256  4152357  42.67
  1983          35      0.00095  0.00095  0.50   97201      92   97155  4055101  41.72
  1983          36      0.00123  0.00123  0.50   97109     120   97049  3957946  40.76
  1983          37      0.00092  0.00092  0.50   96989      90   96944  3860897  39.81
  1983          38      0.00098  0.00098  0.50   96900      95   96852  3763953  38.84
  1983          39      0.00141  0.00141  0.50   96804     137   96736  3667101  37.88
  1983          40      0.00171  0.00171  0.50   96668     166   96585  3570364  36.93
  1983          41      0.00146  0.00146  0.50   96502     141   96432  3473779  36.00
  1983          42      0.00266  0.00266  0.50   96362     256   96234  3377347  35.05
  1983          43      0.00181  0.00181  0.50   96106     174   96018  3281114  34.14
  1983          44      0.00276  0.00276  0.50   95931     265   95799  3185095  33.20
  1983          45      0.00290  0.00290  0.50   95666     277   95528  3089297  32.29
  1983          46      0.00344  0.00344  0.50   95389     328   95225  2993769  31.38
  1983          47      0.00383  0.00383  0.50   95062     364   94880  2898543  30.49
  1983          48      0.00341  0.00340  0.50   94698     322   94537  2803663  29.61
  1983          49      0.00414  0.00413  0.50   94376     390   94181  2709127  28.71
  1983          50      0.00372  0.00371  0.50   93986     349   93811  2614946  27.82
  1983          51      0.00494  0.00493  0.50   93637     462   93406  2521134  26.92
  1983          52      0.00704  0.00701  0.50   93175     654   92849  2427728  26.06
  1983          53      0.00602  0.00600  0.50   92522     555   92244  2334880  25.24
  1983          54      0.00561  0.00559  0.50   91967     514   91710  2242635  24.39
  1983          55      0.00688  0.00686  0.50   91453     627   91139  2150926  23.52
  1983          56      0.00725  0.00723  0.50   90825     656   90497  2059787  22.68
  1983          57      0.00808  0.00805  0.50   90169     726   89806  1969290  21.84
  1983          58      0.00901  0.00897  0.50   89443     802   89042  1879484  21.01
  1983          59      0.01165  0.01158  0.50   88641    1027   88128  1790441  20.20
  1983          60      0.00909  0.00905  0.50   87615     793   87218  1702314  19.43
  1983          61      0.01197  0.01190  0.50   86822    1033   86305  1615095  18.60
  1983          62      0.01229  0.01221  0.50   85788    1048   85265  1528790  17.82
  1983          63      0.01363  0.01353  0.50   84741    1147   84167  1443526  17.03
  1983          64      0.01391  0.01381  0.50   83594    1155   83017  1359358  16.26
  1983          65      0.01715  0.01700  0.50   82439    1402   81738  1276342  15.48
  1983          66      0.01575  0.01563  0.50   81038    1266   80404  1194604  14.74
  1983          67      0.02087  0.02066  0.50   79771    1648   78947  1114199  13.97
  1983          68      0.02601  0.02567  0.50   78123    2006   77120  1035252  13.25
  1983          69      0.02350  0.02323  0.50   76117    1768   75233   958132  12.59
  1983          70      0.02834  0.02795  0.50   74349    2078   73310   882898  11.88
  1983          71      0.03477  0.03418  0.50   72271    2470   71036   809588  11.20
  1983          72      0.03591  0.03528  0.50   69801    2462   68570   738552  10.58
  1983          73      0.04064  0.03983  0.50   67339    2682   65998   669982   9.95
  1983          74      0.04835  0.04721  0.50   64657    3052   63130   603984   9.34
  1983          75      0.05251  0.05117  0.50   61604    3152   60028   540854   8.78
  1983          76      0.06097  0.05916  0.50   58452    3458   56723   480826   8.23
  1983          77      0.06331  0.06136  0.50   54994    3375   53306   424103   7.71
  1983          78      0.07499  0.07228  0.50   51619    3731   49754   370796   7.18
  1983          79      0.08303  0.07972  0.50   47888    3818   45979   321043   6.70
  1983          80      0.09603  0.09163  0.50   44070    4038   42051   275063   6.24
  1983          81      0.11058  0.10479  0.50   40032    4195   37935   233012   5.82
  1983          82      0.11848  0.11186  0.50   35837    4009   33833   195078   5.44
  1983          83      0.13808  0.12916  0.50   31828    4111   29773   161245   5.07
  1983          84      0.15610  0.14480  0.50   27717    4013   25711   131472   4.74
  1983          85      0.14782  0.13764  0.50   23704    3263   22073   105762   4.46
  1983          86      0.18746  0.17139  0.50   20441    3504   18689    83689   4.09
  1983          87      0.19979  0.18164  0.50   16938    3077   15399    65000   3.84
  1983          88      0.21985  0.19807  0.50   13861    2746   12488    49600   3.58
  1983          89      0.24132  0.21533  0.50   11116    2394    9919    37112   3.34
  1983          90      0.26417  0.23335  0.50    8722    2035    7704    27193   3.12
  1983          91      0.28837  0.25203  0.50    6687    1685    5844    19489   2.91
  1983          92      0.31384  0.27127  0.50    5001    1357    4323    13645   2.73
  1983          93      0.34048  0.29095  0.50    3645    1060    3115     9322   2.56
  1983          94      0.36817  0.31093  0.50    2584     804    2183     6207   2.40
  1983          95      0.39676  0.33108  0.50    1781     590    1486     4025   2.26
  1983          96      0.42607  0.35124  0.50    1191     418     982     2539   2.13
  1983          97      0.45591  0.37127  0.50     773     287     629     1557   2.01
  1983          98      0.48607  0.39103  0.50     486     190     391      927   1.91
  1983          99      0.51633  0.41038  0.50     296     121     235      536   1.81
  1983         100      0.54647  0.42920  0.50     174      75     137      301   1.73
  1983         101      0.57627  0.44737  0.50     100      45      77      164   1.65
  1983         102      0.60553  0.46481  0.50      55      26      42       87   1.58
  1983         103      0.63406  0.48143  0.50      29      14      22       45   1.52
  1983         104      0.66167  0.49718  0.50      15       8      11       22   1.46
  1983         105      0.68822  0.51203  0.50       8       4       6       11   1.41
  1983         106      0.71359  0.52594  0.50       4       2       3        5   1.37
  1983         107      0.73769  0.53891  0.50       2       1       1        2   1.33
  1983         108      0.76043  0.55095  0.50       1       0       1        1   1.29
