Belgium, Life tables (period 1x5), Females	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1844        0      0.14937  0.13549  0.31  100000   13549   90707  4022015  40.22
1841-1844        1      0.07458  0.07190  0.50   86451    6216   83343  3931308  45.47
1841-1844        2      0.04052  0.03971  0.50   80235    3186   78642  3847965  47.96
1841-1844        3      0.02654  0.02619  0.50   77049    2018   76040  3769323  48.92
1841-1844        4      0.01868  0.01850  0.50   75031    1388   74337  3693283  49.22
1841-1844        5      0.01417  0.01407  0.50   73643    1036   73125  3618946  49.14
1841-1844        6      0.01218  0.01210  0.50   72607     879   72167  3545821  48.84
1841-1844        7      0.01073  0.01068  0.50   71728     766   71345  3473654  48.43
1841-1844        8      0.00959  0.00954  0.50   70962     677   70624  3402309  47.95
1841-1844        9      0.00927  0.00923  0.50   70285     648   69961  3331685  47.40
1841-1844       10      0.00834  0.00830  0.50   69637     578   69347  3261724  46.84
1841-1844       11      0.00748  0.00746  0.50   69058     515   68801  3192377  46.23
1841-1844       12      0.00703  0.00700  0.50   68543     480   68303  3123576  45.57
1841-1844       13      0.00707  0.00705  0.50   68063     480   67823  3055273  44.89
1841-1844       14      0.00755  0.00753  0.50   67584     509   67329  2987449  44.20
1841-1844       15      0.00833  0.00830  0.50   67075     557   66797  2920120  43.54
1841-1844       16      0.00899  0.00895  0.50   66518     595   66221  2853323  42.90
1841-1844       17      0.00929  0.00925  0.50   65923     609   65619  2787102  42.28
1841-1844       18      0.00937  0.00933  0.50   65314     609   65009  2721484  41.67
1841-1844       19      0.00934  0.00929  0.50   64704     601   64404  2656474  41.06
1841-1844       20      0.00923  0.00919  0.50   64103     589   63808  2592071  40.44
1841-1844       21      0.00927  0.00923  0.50   63514     586   63221  2528262  39.81
1841-1844       22      0.00944  0.00940  0.50   62928     591   62632  2465041  39.17
1841-1844       23      0.00978  0.00973  0.50   62336     607   62033  2402409  38.54
1841-1844       24      0.00993  0.00988  0.50   61730     610   61425  2340376  37.91
1841-1844       25      0.00998  0.00993  0.50   61120     607   60816  2278951  37.29
1841-1844       26      0.01013  0.01008  0.50   60513     610   60208  2218135  36.66
