Ireland, Life tables (period 1x5), Females	Last modified: 12 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1954        0      0.03729  0.03620  0.19  100000    3620   97073  6804726  68.05
1950-1954        1      0.00370  0.00369  0.50   96380     356   96202  6707653  69.60
1950-1954        2      0.00201  0.00201  0.50   96024     193   95928  6611451  68.85
1950-1954        3      0.00137  0.00137  0.50   95832     131   95766  6515523  67.99
1950-1954        4      0.00109  0.00109  0.50   95700     104   95648  6419757  67.08
1950-1954        5      0.00093  0.00093  0.50   95596      89   95552  6324109  66.15
1950-1954        6      0.00080  0.00080  0.50   95507      77   95469  6228557  65.22
1950-1954        7      0.00065  0.00065  0.50   95431      62   95400  6133088  64.27
1950-1954        8      0.00062  0.00062  0.50   95369      59   95339  6037688  63.31
1950-1954        9      0.00041  0.00041  0.50   95310      39   95290  5942349  62.35
1950-1954       10      0.00058  0.00058  0.50   95271      55   95243  5847058  61.37
1950-1954       11      0.00061  0.00061  0.50   95216      58   95187  5751815  60.41
1950-1954       12      0.00053  0.00053  0.50   95158      50   95133  5656628  59.44
1950-1954       13      0.00065  0.00065  0.50   95108      62   95077  5561495  58.48
1950-1954       14      0.00079  0.00078  0.50   95046      75   95009  5466418  57.51
1950-1954       15      0.00092  0.00092  0.50   94971      87   94928  5371410  56.56
1950-1954       16      0.00100  0.00100  0.50   94884      95   94837  5276482  55.61
1950-1954       17      0.00102  0.00102  0.50   94789      96   94741  5181645  54.66
1950-1954       18      0.00118  0.00118  0.50   94693     112   94637  5086904  53.72
1950-1954       19      0.00129  0.00129  0.50   94581     122   94520  4992268  52.78
1950-1954       20      0.00143  0.00143  0.50   94459     135   94391  4897748  51.85
1950-1954       21      0.00147  0.00147  0.50   94324     138   94255  4803357  50.92
1950-1954       22      0.00153  0.00153  0.50   94185     144   94113  4709102  50.00
1950-1954       23      0.00183  0.00183  0.50   94041     172   93955  4614989  49.07
1950-1954       24      0.00177  0.00177  0.50   93869     166   93786  4521033  48.16
1950-1954       25      0.00173  0.00173  0.50   93703     162   93622  4427247  47.25
1950-1954       26      0.00183  0.00182  0.50   93541     171   93455  4333625  46.33
1950-1954       27      0.00189  0.00189  0.50   93370     176   93282  4240170  45.41
1950-1954       28      0.00218  0.00218  0.50   93194     203   93092  4146888  44.50
1950-1954       29      0.00237  0.00237  0.50   92991     220   92881  4053796  43.59
1950-1954       30      0.00245  0.00245  0.50   92770     227   92657  3960915  42.70
1950-1954       31      0.00197  0.00197  0.50   92543     182   92452  3868258  41.80
1950-1954       32      0.00265  0.00264  0.50   92361     244   92239  3775806  40.88
1950-1954       33      0.00230  0.00230  0.50   92117     212   92011  3683568  39.99
1950-1954       34      0.00248  0.00248  0.50   91905     228   91791  3591557  39.08
1950-1954       35      0.00286  0.00286  0.50   91677     262   91546  3499765  38.17
1950-1954       36      0.00290  0.00289  0.50   91415     265   91283  3408219  37.28
1950-1954       37      0.00277  0.00276  0.50   91150     252   91024  3316937  36.39
1950-1954       38      0.00380  0.00379  0.50   90899     345   90726  3225912  35.49
1950-1954       39      0.00307  0.00307  0.50   90554     278   90415  3135186  34.62
1950-1954       40      0.00420  0.00419  0.50   90276     378   90087  3044771  33.73
1950-1954       41      0.00278  0.00278  0.50   89898     250   89773  2954684  32.87
1950-1954       42      0.00445  0.00444  0.50   89648     398   89449  2864911  31.96
1950-1954       43      0.00388  0.00387  0.50   89250     346   89077  2775463  31.10
1950-1954       44      0.00387  0.00386  0.50   88904     343   88733  2686386  30.22
1950-1954       45      0.00498  0.00496  0.50   88561     440   88341  2597653  29.33
