Slovakia , Life tables (period 1x5), Females	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1954        0      0.07789  0.07394  0.31  100000    7394   94928  6556209  65.56
1950-1954        1      0.00740  0.00737  0.50   92606     683   92264  6461281  69.77
1950-1954        2      0.00309  0.00308  0.50   91923     283   91781  6369016  69.29
1950-1954        3      0.00187  0.00187  0.50   91640     171   91554  6277235  68.50
1950-1954        4      0.00130  0.00129  0.50   91468     118   91409  6185681  67.63
1950-1954        5      0.00086  0.00086  0.50   91350      79   91311  6094272  66.71
1950-1954        6      0.00072  0.00072  0.50   91271      66   91238  6002961  65.77
1950-1954        7      0.00071  0.00071  0.50   91205      64   91173  5911723  64.82
1950-1954        8      0.00052  0.00052  0.50   91141      48   91117  5820550  63.86
1950-1954        9      0.00053  0.00053  0.50   91093      48   91069  5729433  62.90
1950-1954       10      0.00056  0.00056  0.50   91045      51   91020  5638364  61.93
1950-1954       11      0.00061  0.00061  0.50   90995      56   90967  5547344  60.96
1950-1954       12      0.00056  0.00056  0.50   90939      51   90913  5456377  60.00
1950-1954       13      0.00072  0.00072  0.50   90888      65   90855  5365464  59.03
1950-1954       14      0.00064  0.00064  0.50   90823      58   90794  5274608  58.08
1950-1954       15      0.00090  0.00090  0.50   90764      81   90724  5183815  57.11
1950-1954       16      0.00108  0.00108  0.50   90683      98   90634  5093091  56.16
1950-1954       17      0.00118  0.00118  0.50   90585     107   90531  5002457  55.22
1950-1954       18      0.00134  0.00134  0.50   90478     121   90417  4911925  54.29
1950-1954       19      0.00151  0.00151  0.50   90357     137   90289  4821508  53.36
1950-1954       20      0.00172  0.00171  0.50   90220     155   90143  4731219  52.44
1950-1954       21      0.00163  0.00163  0.50   90066     147   89992  4641076  51.53
1950-1954       22      0.00183  0.00183  0.50   89919     165   89837  4551084  50.61
1950-1954       23      0.00177  0.00176  0.50   89754     158   89675  4461247  49.71
1950-1954       24      0.00168  0.00167  0.50   89596     150   89521  4371572  48.79
1950-1954       25      0.00169  0.00169  0.50   89446     151   89370  4282051  47.87
1950-1954       26      0.00195  0.00195  0.50   89295     174   89208  4192681  46.95
1950-1954       27      0.00175  0.00174  0.50   89121     155   89043  4103473  46.04
1950-1954       28      0.00190  0.00189  0.50   88965     169   88881  4014430  45.12
1950-1954       29      0.00203  0.00202  0.50   88797     180   88707  3925549  44.21
1950-1954       30      0.00211  0.00211  0.50   88617     187   88524  3836842  43.30
1950-1954       31      0.00212  0.00212  0.50   88431     187   88337  3748318  42.39
1950-1954       32      0.00165  0.00165  0.50   88243     145   88171  3659981  41.48
1950-1954       33      0.00215  0.00215  0.50   88098     189   88003  3571810  40.54
1950-1954       34      0.00207  0.00206  0.50   87909     181   87818  3483807  39.63
1950-1954       35      0.00229  0.00229  0.50   87727     201   87627  3395989  38.71
1950-1954       36      0.00199  0.00199  0.50   87526     174   87440  3308362  37.80
