East Germany, Life tables (period 5x1), Females	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0      0.04129  0.03998  0.21  100000    3998   96829  7087528  70.88
  1956         1-4      0.00170  0.00675  1.36   96002     648  382299  6990698  72.82
  1956         5-9      0.00042  0.00211  2.33   95354     201  476233  6608399  69.30
  1956        10-14     0.00036  0.00181  2.57   95153     172  475344  6132167  64.45
  1956        15-19     0.00061  0.00306  2.70   94980     291  474233  5656823  59.56
  1956        20-24     0.00087  0.00434  2.71   94689     411  472506  5182590  54.73
  1956        25-29     0.00097  0.00482  2.52   94278     454  470265  4710084  49.96
  1956        30-34     0.00142  0.00706  2.67   93824     663  467574  4239819  45.19
  1956        35-39     0.00190  0.00945  2.55   93161     881  463651  3772245  40.49
  1956        40-44     0.00267  0.01326  2.62   92281    1224  458488  3308594  35.85
  1956        45-49     0.00385  0.01906  2.64   91057    1735  451188  2850106  31.30
  1956        50-54     0.00550  0.02713  2.64   89322    2423  440888  2398917  26.86
  1956        55-59     0.00837  0.04103  2.62   86899    3566  426023  1958029  22.53
  1956        60-64     0.01359  0.06587  2.66   83333    5489  403812  1532006  18.38
  1956        65-69     0.02380  0.11284  2.70   77843    8784  369048  1128194  14.49
  1956        70-74     0.04372  0.19825  2.65   69060   13691  313188   759146  10.99
  1956        75-79     0.07779  0.32768  2.60   55369   18143  233244   445958   8.05
  1956        80-84     0.13796  0.50851  2.42   37225   18929  137208   212714   5.71
  1956        85-89     0.21458  0.67347  2.24   18296   12322   57423    75506   4.13
  1956        90-94     0.31119  0.81107  2.05    5974    4846   15571    18083   3.03
  1956        95-99     0.43920  0.90509  1.75    1129    1022    2326     2512   2.23
  1956       100-104    0.57054  0.95439  1.51     107     102     179      186   1.74
  1956       105-109    0.69376  0.97707  1.32       5       5       7        7   1.44
  1956       110+       0.78355  1.00000  1.28       0       0       0        0   1.28
  1957           0      0.04055  0.03928  0.20  100000    3928   96873  7050536  70.51
  1957         1-4      0.00182  0.00726  1.42   96072     698  382486  6953662  72.38
  1957         5-9      0.00051  0.00252  2.19   95374     241  476196  6571176  68.90
  1957        10-14     0.00041  0.00205  2.49   95134     195  475179  6094980  64.07
