West Germany, Life tables (period 5x1), Females	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0      0.03608  0.03505  0.19  100000    3505   97149  7088760  70.89
  1956         1-4      0.00136  0.00543  1.50   96495     524  384670  6991611  72.46
  1956         5-9      0.00046  0.00229  2.19   95971     220  479234  6606941  68.84
  1956        10-14     0.00031  0.00156  2.53   95751     149  478385  6127706  64.00
  1956        15-19     0.00050  0.00249  2.57   95602     238  477429  5649321  59.09
  1956        20-24     0.00073  0.00364  2.58   95364     348  475977  5171892  54.23
  1956        25-29     0.00099  0.00493  2.64   95016     468  473976  4695915  49.42
  1956        30-34     0.00127  0.00633  2.58   94548     598  471292  4221939  44.65
  1956        35-39     0.00174  0.00868  2.65   93950     815  467834  3750647  39.92
  1956        40-44     0.00257  0.01275  2.63   93135    1188  462853  3282814  35.25
  1956        45-49     0.00374  0.01852  2.67   91947    1703  455773  2819960  30.67
  1956        50-54     0.00568  0.02804  2.66   90244    2530  445304  2364188  26.20
  1956        55-59     0.00879  0.04306  2.66   87714    3777  429727  1918884  21.88
  1956        60-64     0.01479  0.07152  2.70   83937    6003  405865  1489157  17.74
  1956        65-69     0.02633  0.12410  2.69   77934    9671  367344  1083292  13.90
  1956        70-74     0.04846  0.21745  2.64   68263   14844  306315   715948  10.49
  1956        75-79     0.08690  0.35873  2.57   53419   19163  220509   409633   7.67
  1956        80-84     0.14394  0.52402  2.41   34256   17951  124714   189124   5.52
  1956        85-89     0.22562  0.69080  2.19   16305   11264   49923    64410   3.95
  1956        90-94     0.32984  0.82450  1.97    5042    4157   12602    14487   2.87
  1956        95-99     0.46034  0.91589  1.71     885     810    1760     1885   2.13
  1956       100-104    0.59431  0.96020  1.48      74      71     120      124   1.67
  1956       105-109    0.71680  0.97990  1.29       3       3       4        4   1.39
  1956       110+       0.80401  1.00000  1.24       0       0       0        0   1.24
  1957           0      0.03313  0.03225  0.18  100000    3225   97340  7106223  71.06
  1957         1-4      0.00134  0.00535  1.50   96775     518  385805  7008883  72.42
  1957         5-9      0.00048  0.00238  2.18   96257     229  480637  6623078  68.81
  1957        10-14     0.00034  0.00170  2.58   96028     163  479743  6142441  63.97
  1957        15-19     0.00058  0.00288  2.60   95864     276  478658  5662698  59.07
  1957        20-24     0.00073  0.00363  2.59   95588     347  477103  5184040  54.23
  1957        25-29     0.00100  0.00501  2.58   95241     477  475053  4706937  49.42
  1957        30-34     0.00130  0.00646  2.60   94764     612  472351  4231884  44.66
  1957        35-39     0.00177  0.00882  2.61   94153     831  468774  3759533  39.93
  1957        40-44     0.00256  0.01271  2.59   93322    1186  463749  3290759  35.26
  1957        45-49     0.00373  0.01850  2.64   92136    1704  456664  2827011  30.68
  1957        50-54     0.00574  0.02830  2.67   90431    2559  446181  2370347  26.21
  1957        55-59     0.00890  0.04361  2.66   87872    3832  430401  1924166  21.90
  1957        60-64     0.01501  0.07250  2.66   84040    6093  405936  1493764  17.77
  1957        65-69     0.02657  0.12514  2.67   77947    9754  367055  1087828  13.96
  1957        70-74     0.04822  0.21651  2.65   68193   14765  306219   720773  10.57
  1957        75-79     0.08586  0.35400  2.52   53428   18914  220274   414554   7.76
  1957        80-84     0.13904  0.51090  2.41   34514   17633  126823   194280   5.63
  1957        85-89     0.22294  0.68696  2.21   16881   11597   52017    67457   4.00
  1957        90-94     0.32345  0.81998  1.99    5284    4333   13396    15439   2.92
  1957        95-99     0.45624  0.91408  1.72     951     870    1906     2043   2.15
  1957       100-104    0.59174  0.95970  1.48      82      78     133      137   1.68
  1957       105-109    0.71587  0.97984  1.29       3       3       5        5   1.39
  1957       110+       0.80417  1.00000  1.24       0       0       0        0   1.24
  1958           0      0.03267  0.03181  0.17  100000    3181   97371  7179629  71.80
  1958         1-4      0.00118  0.00469  1.53   96819     454  386152  7082258  73.15
  1958         5-9      0.00042  0.00210  2.20   96365     202  481258  6696106  69.49
  1958        10-14     0.00031  0.00154  2.69   96162     148  480469  6214848  64.63
  1958        15-19     0.00049  0.00246  2.65   96014     236  479516  5734380  59.72
  1958        20-24     0.00065  0.00326  2.53   95778     312  478120  5254864  54.87
  1958        25-29     0.00093  0.00463  2.66   95466     442  476296  4776744  50.04
  1958        30-34     0.00118  0.00588  2.62   95024     558  473793  4300447  45.26
  1958        35-39     0.00164  0.00814  2.63   94466     769  470503  3826655  40.51
  1958        40-44     0.00246  0.01225  2.68   93696    1148  465815  3356151  35.82
  1958        45-49     0.00353  0.01750  2.67   92548    1619  458968  2890337  31.23
  1958        50-54     0.00554  0.02734  2.65   90929    2486  448799  2431369  26.74
  1958        55-59     0.00848  0.04158  2.66   88443    3678  433596  1982570  22.42
  1958        60-64     0.01419  0.06875  2.72   84766    5827  410543  1548974  18.27
  1958        65-69     0.02427  0.11488  2.68   78938    9068  373692  1138431  14.42
  1958        70-74     0.04488  0.20304  2.66   69870   14186  316089   764739  10.95
  1958        75-79     0.08003  0.33470  2.56   55684   18638  232880   448649   8.06
  1958        80-84     0.13225  0.49437  2.45   37046   18314  138483   215769   5.82
  1958        85-89     0.21385  0.67117  2.23   18732   12572   58790    77286   4.13
  1958        90-94     0.31230  0.80821  2.02    6160    4978   15940    18496   3.00
  1958        95-99     0.45253  0.91264  1.73    1181    1078    2382     2556   2.16
  1958       100-104    0.59191  0.95993  1.48     103      99     167      173   1.68
  1958       105-109    0.71929  0.98031  1.29       4       4       6        6   1.39
  1958       110+       0.80920  1.00000  1.24       0       0       0        0   1.24
  1959           0      0.03169  0.03088  0.17  100000    3088   97436  7204007  72.04
  1959         1-4      0.00123  0.00492  1.52   96912     477  386465  7106571  73.33
  1959         5-9      0.00041  0.00205  2.24   96435     197  481632  6720106  69.68
  1959        10-14     0.00034  0.00169  2.71   96238     163  480816  6238474  64.82
  1959        15-19     0.00050  0.00252  2.64   96075     242  479805  5757658  59.93
  1959        20-24     0.00066  0.00332  2.60   95833     318  478403  5277853  55.07
  1959        25-29     0.00089  0.00444  2.68   95515     424  476591  4799451  50.25
  1959        30-34     0.00117  0.00581  2.62   95091     553  474140  4322859  45.46
  1959        35-39     0.00169  0.00843  2.69   94539     797  470852  3848719  40.71
  1959        40-44     0.00232  0.01156  2.69   93741    1084  466199  3377867  36.03
  1959        45-49     0.00353  0.01749  2.65   92658    1621  459474  2911667  31.42
  1959        50-54     0.00538  0.02656  2.66   91037    2418  449522  2452194  26.94
  1959        55-59     0.00827  0.04055  2.68   88619    3594  434744  2002672  22.60
  1959        60-64     0.01375  0.06664  2.69   85025    5666  412028  1567929  18.44
  1959        65-69     0.02408  0.11403  2.68   79360    9050  375797  1155901  14.57
  1959        70-74     0.04334  0.19671  2.65   70310   13831  319110   780104  11.10
  1959        75-79     0.07880  0.33048  2.56   56479   18665  236874   460995   8.16
  1959        80-84     0.13027  0.48790  2.43   37814   18449  141619   224120   5.93
