France, Civilian Population, Life tables (period 5x1), Females	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1816           0      0.18699  0.16573  0.31  100000   16573   88633  4111543  41.12
  1816         1-4      0.03027  0.11268  1.53   83427    9401  310530  4022910  48.22
  1816         5-9      0.01061  0.05150  2.18   74026    3812  359393  3712380  50.15
  1816        10-14     0.00533  0.02627  2.39   70214    1845  346254  3352987  47.75
  1816        15-19     0.00682  0.03358  2.64   68370    2296  336426  3006733  43.98
  1816        20-24     0.00797  0.03910  2.55   66074    2583  324033  2670307  40.41
  1816        25-29     0.00871  0.04263  2.48   63490    2707  310638  2346274  36.95
  1816        30-34     0.00979  0.04779  2.54   60783    2905  296760  2035636  33.49
  1816        35-39     0.01136  0.05527  2.55   57879    3199  281562  1738876  30.04
  1816        40-44     0.01290  0.06249  2.53   54680    3417  264951  1457314  26.65
  1816        45-49     0.01484  0.07156  2.52   51263    3668  247233  1192363  23.26
  1816        50-54     0.01886  0.09015  2.55   47594    4291  227470   945131  19.86
  1816        55-59     0.02490  0.11755  2.62   43304    5090  204418   717661  16.57
  1816        60-64     0.03983  0.18154  2.57   38213    6937  174188   513243  13.43
  1816        65-69     0.05229  0.23175  2.55   31276    7248  138625   339054  10.84
  1816        70-74     0.08506  0.35102  2.51   24028    8434   99159   200429   8.34
  1816        75-79     0.11876  0.45287  2.38   15594    7062   59463   101270   6.49
  1816        80-84     0.18919  0.62490  2.28    8532    5332   28181    41807   4.90
  1816        85-89     0.22118  0.66772  2.03    3200    2137    9661    13626   4.26
  1816        90-94     0.25086  0.73045  2.14    1063     777    3096     3965   3.73
  1816        95-99     0.31969  0.80726  1.93     287     231     724      869   3.03
  1816       100-104    0.37341  0.85513  1.83      55      47     127      145   2.62
  1816       105-109    0.43042  0.89329  1.73       8       7      17       18   2.30
  1816       110+       0.47620  1.00000  2.10       1       1       2        2   2.10
  1817           0      0.18173  0.16159  0.31  100000   16159   88917  4022980  40.23
  1817         1-4      0.03528  0.12982  1.54   83841   10885  308539  3934064  46.92
  1817         5-9      0.01110  0.05377  2.13   72957    3923  353512  3625524  49.69
  1817        10-14     0.00571  0.02811  2.42   69034    1941  340152  3272012  47.40
  1817        15-19     0.00716  0.03522  2.61   67093    2363  329823  2931861  43.70
  1817        20-24     0.00862  0.04218  2.50   64730    2731  316825  2602038  40.20
  1817        25-29     0.00880  0.04303  2.48   61999    2668  303265  2285213  36.86
  1817        30-34     0.00981  0.04789  2.56   59332    2841  289713  1981948  33.40
  1817        35-39     0.01132  0.05505  2.54   56490    3110  274809  1692235  29.96
  1817        40-44     0.01327  0.06423  2.53   53380    3429  258421  1417426  26.55
  1817        45-49     0.01566  0.07540  2.55   49952    3766  240517  1159006  23.20
  1817        50-54     0.01983  0.09456  2.54   46185    4367  220199   918489  19.89
  1817        55-59     0.02470  0.11663  2.62   41818    4877  197495   698289  16.70
  1817        60-64     0.04057  0.18459  2.56   36941    6819  168079   500794  13.56
  1817        65-69     0.05140  0.22803  2.53   30122    6869  133617   332716  11.05
  1817        70-74     0.08161  0.33911  2.51   23253    7885   96628   199099   8.56
  1817        75-79     0.11449  0.44143  2.41   15368    6784   59250   102471   6.67
  1817        80-84     0.18337  0.61272  2.29    8584    5260   28684    43221   5.04
  1817        85-89     0.20688  0.64304  2.06    3324    2138   10333    14538   4.37
  1817        90-94     0.26489  0.75603  2.16    1187     897    3387     4205   3.54
  1817        95-99     0.34328  0.83148  1.90     290     241     701      818   2.82
  1817       100-104    0.41182  0.88344  1.77      49      43     105      116   2.38
  1817       105-109    0.48398  0.92125  1.64       6       5      11       12   2.05
  1817       110+       0.54243  1.00000  1.84       0       0       1        1   1.84
  1818           0      0.18571  0.16473  0.31  100000   16473   88701  3910039  39.10
  1818         1-4      0.03854  0.14065  1.51   83527   11748  304855  3821337  45.75
  1818         5-9      0.01211  0.05852  2.13   71779    4200  346845  3516482  48.99
  1818        10-14     0.00604  0.02974  2.40   67578    2010  332658  3169637  46.90
  1818        15-19     0.00758  0.03725  2.61   65569    2442  321999  2836979  43.27
  1818        20-24     0.00922  0.04503  2.48   63127    2843  308479  2514980  39.84
  1818        25-29     0.00946  0.04619  2.49   60284    2784  294438  2206501  36.60
  1818        30-34     0.01043  0.05086  2.55   57499    2924  280335  1912063  33.25
  1818        35-39     0.01181  0.05736  2.53   54575    3130  265131  1631729  29.90
  1818        40-44     0.01352  0.06538  2.51   51445    3363  248840  1366598  26.56
  1818        45-49     0.01560  0.07515  2.55   48081    3613  231567  1117757  23.25
  1818        50-54     0.01972  0.09408  2.56   44468    4183  212123   886190  19.93
  1818        55-59     0.02515  0.11862  2.62   40284    4778  190026   674067  16.73
  1818        60-64     0.03965  0.18078  2.56   35506    6419  161889   484041  13.63
  1818        65-69     0.05177  0.22952  2.53   29087    6676  128954   322152  11.08
  1818        70-74     0.08149  0.33871  2.51   22411    7591   93154   193198   8.62
  1818        75-79     0.11448  0.44112  2.40   14820    6537   57108   100044   6.75
  1818        80-84     0.17478  0.59406  2.30    8283    4920   28153    42936   5.18
  1818        85-89     0.20756  0.64693  2.09    3362    2175   10480    14783   4.40
  1818        90-94     0.25645  0.73941  2.14    1187     878    3423     4303   3.62
  1818        95-99     0.34005  0.82888  1.91     309     256     754      880   2.85
  1818       100-104    0.41115  0.88332  1.77      53      47     114      126   2.39
  1818       105-109    0.48620  0.92243  1.64       6       6      12       13   2.04
  1818       110+       0.54709  1.00000  1.83       0       0       1        1   1.83
  1819           0      0.19679  0.17339  0.31  100000   17339   88107  3793912  37.94
  1819         1-4      0.04160  0.15069  1.50   82661   12456  299443  3705804  44.83
