England and Wales, Total Population, Life tables (period 5x1), Females	Last modified: 27 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0      0.13607  0.12445  0.31  100000   12445   91464  4264844  42.65
  1841         1-4      0.03543  0.13010  1.48   87555   11391  321472  4173380  47.67
  1841         5-9      0.00925  0.04501  2.04   76164    3429  370669  3851908  50.57
  1841        10-14     0.00540  0.02667  2.55   72735    1940  358933  3481239  47.86
  1841        15-19     0.00797  0.03911  2.62   70796    2769  347396  3122306  44.10
  1841        20-24     0.00896  0.04382  2.52   68027    2981  332730  2774910  40.79
  1841        25-29     0.00999  0.04874  2.49   65046    3170  317284  2442179  37.55
  1841        30-34     0.01026  0.05000  2.51   61876    3094  301686  2124895  34.34
  1841        35-39     0.01254  0.06079  2.51   58782    3573  285009  1823209  31.02
  1841        40-44     0.01202  0.05833  2.50   55208    3220  268003  1538200  27.86
  1841        45-49     0.01519  0.07320  2.52   51988    3806  250519  1270197  24.43
  1841        50-54     0.01576  0.07589  2.55   48182    3657  231970  1019677  21.16
  1841        55-59     0.02621  0.12322  2.57   44526    5486  209314   787707  17.69
  1841        60-64     0.02826  0.13224  2.57   39039    5162  182650   578393  14.82
  1841        65-69     0.05081  0.22609  2.56   33877    7659  150732   395743  11.68
  1841        70-74     0.06609  0.28383  2.52   26218    7441  112603   245012   9.35
  1841        75-79     0.11327  0.43813  2.42   18776    8226   72628   132409   7.05
  1841        80-84     0.14464  0.52444  2.38   10550    5533   38253    59781   5.67
  1841        85-89     0.20760  0.65825  2.22    5017    3303   15908    21528   4.29
  1841        90-94     0.28632  0.77514  2.04    1715    1329    4642     5620   3.28
  1841        95-99     0.38223  0.86704  1.85     386     334     875      978   2.54
  1841       100-104    0.48758  0.92557  1.65      51      47      97      104   2.02
  1841       105-109    0.59447  0.95888  1.47       4       4       6        6   1.67
  1841       110+       0.67884  1.00000  1.47       0       0       0        0   1.47
  1842           0      0.14849  0.13477  0.31  100000   13477   90757  4220706  42.21
  1842         1-4      0.03570  0.13082  1.44   86523   11319  317099  4129949  47.73
  1842         5-9      0.00905  0.04407  2.02   75204    3314  366147  3812851  50.70
  1842        10-14     0.00527  0.02600  2.56   71890    1869  354893  3446704  47.94
  1842        15-19     0.00786  0.03856  2.63   70021    2700  343707  3091811  44.16
  1842        20-24     0.00896  0.04381  2.49   67321    2950  329186  2748104  40.82
  1842        25-29     0.00982  0.04794  2.52   64371    3086  314205  2418918  37.58
  1842        30-34     0.01020  0.04971  2.50   61285    3047  298796  2104712  34.34
  1842        35-39     0.01230  0.05970  2.56   58239    3477  282707  1805917  31.01
  1842        40-44     0.01214  0.05887  2.45   54761    3224  265589  1523209  27.82
  1842        45-49     0.01481  0.07149  2.58   51538    3685  248782  1257621  24.40
  1842        50-54     0.01584  0.07615  2.49   47853    3644  230117  1008839  21.08
  1842        55-59     0.02531  0.11953  2.68   44209    5284  208788   778722  17.61
  1842        60-64     0.02983  0.13876  2.49   38925    5401  181040   569934  14.64
  1842        65-69     0.05142  0.22931  2.64   33523    7687  149512   388895  11.60
  1842        70-74     0.06959  0.29550  2.45   25836    7635  109707   239382   9.27
  1842        75-79     0.11242  0.43861  2.50   18202    7983   71013   129676   7.12
  1842        80-84     0.14072  0.51431  2.38   10218    5255   37347    58662   5.74
  1842        85-89     0.20505  0.65437  2.24    4963    3248   15838    21316   4.29
  1842        90-94     0.29399  0.78698  2.05    1715    1350    4592     5478   3.19
  1842        95-99     0.40098  0.88104  1.82     365     322     803      886   2.42
  1842       100-104    0.51686  0.93740  1.60      43      41      79       83   1.91
  1842       105-109    0.63163  0.96697  1.41       3       3       4        4   1.58
  1842       110+       0.72007  1.00000  1.39       0       0       0        0   1.39
  1843           0      0.14823  0.13455  0.31  100000   13455   90771  4282114  42.82
  1843         1-4      0.03494  0.12819  1.42   86545   11095  317525  4191343  48.43
  1843         5-9      0.00843  0.04111  2.01   75450    3102  367966  3873819  51.34
  1843        10-14     0.00493  0.02435  2.56   72348    1761  357452  3505853  48.46
  1843        15-19     0.00726  0.03570  2.63   70587    2520  346972  3148401  44.60
  1843        20-24     0.00875  0.04282  2.48   68067    2914  332993  2801429  41.16
  1843        25-29     0.00934  0.04567  2.54   65152    2975  318440  2468436  37.89
  1843        30-34     0.01006  0.04905  2.50   62177    3050  303262  2149995  34.58
  1843        35-39     0.01204  0.05848  2.59   59127    3458  287310  1846734  31.23
  1843        40-44     0.01262  0.06110  2.42   55669    3401  269563  1559424  28.01
  1843        45-49     0.01404  0.06793  2.60   52268    3550  252834  1289861  24.68
  1843        50-54     0.01588  0.07634  2.46   48717    3719  234154  1037027  21.29
  1843        55-59     0.02339  0.11108  2.74   44998    4999  213679   802873  17.84
  1843        60-64     0.03122  0.14453  2.44   40000    5781  185176   589195  14.73
  1843        65-69     0.04792  0.21575  2.69   34219    7383  154065   404019  11.81
  1843        70-74     0.07060  0.29883  2.43   26836    8019  113588   249954   9.31
  1843        75-79     0.10798  0.42665  2.54   18816    8028   74346   136366   7.25
  1843        80-84     0.14102  0.51528  2.39   10788    5559   39421    62020   5.75
  1843        85-89     0.20419  0.65250  2.23    5229    3412   16711    22599   4.32
  1843        90-94     0.28942  0.78075  2.05    1817    1419    4902     5888   3.24
  1843        95-99     0.39255  0.87504  1.83     398     349     888      986   2.47
  1843       100-104    0.50485  0.93284  1.62      50      46      92       97   1.96
  1843       105-109    0.61724  0.96407  1.43       3       3       5        5   1.61
  1843       110+       0.70471  1.00000  1.42       0       0       0        0   1.42
  1844           0      0.14552  0.13232  0.31  100000   13232   90925  4249656  42.50
  1844         1-4      0.03536  0.12975  1.45   86768   11258  318384  4158731  47.93
  1844         5-9      0.00904  0.04400  2.02   75510    3322  367666  3840347  50.86
  1844        10-14     0.00507  0.02501  2.54   72188    1806  356505  3472681  48.11
  1844        15-19     0.00745  0.03662  2.64   70382    2577  345824  3116176  44.28
  1844        20-24     0.00917  0.04481  2.49   67805    3039  331393  2770352  40.86
  1844        25-29     0.00958  0.04680  2.54   64766    3031  316368  2438959  37.66
  1844        30-34     0.01037  0.05053  2.49   61735    3120  300832  2122590  34.38
  1844        35-39     0.01149  0.05588  2.58   58616    3276  285145  1821758  31.08
  1844        40-44     0.01268  0.06139  2.43   55340    3397  267980  1536614  27.77
  1844        45-49     0.01382  0.06691  2.62   51943    3476  251441  1268634  24.42
  1844        50-54     0.01713  0.08209  2.47   48467    3979  232253  1017193  20.99
  1844        55-59     0.02277  0.10825  2.73   44489    4816  211506   784939  17.64
  1844        60-64     0.03388  0.15589  2.44   39673    6184  182556   573434  14.45
  1844        65-69     0.04716  0.21261  2.69   33488    7120  150986   390878  11.67
  1844        70-74     0.07499  0.31442  2.43   26368    8291  110554   239891   9.10
  1844        75-79     0.10840  0.42766  2.53   18078    7731   71320   129337   7.15
  1844        80-84     0.14605  0.52821  2.38   10347    5465   37421    58017   5.61
  1844        85-89     0.21076  0.66436  2.22    4881    3243   15387    20596   4.22
  1844        90-94     0.29589  0.78786  2.03    1638    1291    4362     5209   3.18
  1844        95-99     0.39933  0.87950  1.82     348     306     765      846   2.44
  1844       100-104    0.51092  0.93499  1.61      42      39      77       81   1.93
  1844       105-109    0.62202  0.96497  1.43       3       3       4        4   1.60
  1844       110+       0.70829  1.00000  1.41       0       0       0        0   1.41
  1845           0      0.13866  0.12662  0.31  100000   12662   91315  4353085  43.53
  1845         1-4      0.03392  0.12480  1.43   87338   10900  321362  4261769  48.80
