Northern Ireland, Life tables (period 5x1), Females	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0      0.07217  0.06877  0.31  100000    6877   95283  5492485  54.92
  1922         1-4      0.00993  0.03871  1.36   93123    3604  362967  5397202  57.96
  1922         5-9      0.00291  0.01445  2.19   89519    1294  443957  5034235  56.24
  1922        10-14     0.00234  0.01166  2.72   88225    1028  438786  4590278  52.03
  1922        15-19     0.00473  0.02338  2.66   87197    2039  431216  4151492  47.61
  1922        20-24     0.00535  0.02642  2.54   85158    2250  420251  3720276  43.69
  1922        25-29     0.00704  0.03462  2.64   82908    2871  407768  3300025  39.80
  1922        30-34     0.00783  0.03838  2.49   80038    3071  392487  2892258  36.14
  1922        35-39     0.00869  0.04258  2.60   76966    3277  376963  2499771  32.48
  1922        40-44     0.00926  0.04526  2.50   73689    3335  360097  2122808  28.81
  1922        45-49     0.01177  0.05732  2.72   70354    4033  342596  1762711  25.05
  1922        50-54     0.01723  0.08274  2.59   66322    5487  318405  1420115  21.41
  1922        55-59     0.02186  0.10403  2.68   60834    6328  289486  1101710  18.11
  1922        60-64     0.03158  0.14663  2.56   54506    7992  253051   812225  14.90
  1922        65-69     0.03658  0.16831  2.63   46514    7829  214020   559174  12.02
  1922        70-74     0.07614  0.32289  2.65   38685   12491  164048   345154   8.92
  1922        75-79     0.10730  0.41907  2.39   26194   10977  102301   181106   6.91
  1922        80-84     0.16687  0.57763  2.34   15217    8790   52675    78805   5.18
  1922        85-89     0.22439  0.68565  2.16    6427    4407   19639    26129   4.07
  1922        90-94     0.29522  0.78454  2.01    2020    1585    5369     6491   3.21
  1922        95-99     0.37725  0.86166  1.85     435     375     994     1121   2.58
  1922       100-104    0.46694  0.91523  1.68      60      55     118      127   2.11
  1922       105-109    0.55903  0.94899  1.52       5       5       9        9   1.78
  1922       110+       0.63288  1.00000  1.58       0       0       0        0   1.58
  1923           0      0.07471  0.07107  0.31  100000    7107   95126  5581662  55.82
  1923         1-4      0.01080  0.04195  1.25   92893    3897  360848  5486537  59.06
  1923         5-9      0.00227  0.01130  2.46   88997    1006  442424  5125688  57.59
  1923        10-14     0.00252  0.01254  2.62   87991    1104  437326  4683264  53.22
  1923        15-19     0.00377  0.01868  2.70   86887    1623  430701  4245938  48.87
  1923        20-24     0.00561  0.02766  2.58   85265    2358  420620  3815237  44.75
  1923        25-29     0.00651  0.03205  2.54   82906    2657  408004  3394617  40.95
  1923        30-34     0.00660  0.03248  2.48   80249    2607  394682  2986613  37.22
  1923        35-39     0.00777  0.03813  2.61   77642    2961  381144  2591931  33.38
  1923        40-44     0.00871  0.04262  2.48   74682    3183  365376  2210787  29.60
  1923        45-49     0.01062  0.05188  2.74   71498    3709  349115  1845412  25.81
  1923        50-54     0.01674  0.08039  2.55   67789    5450  325609  1496297  22.07
  1923        55-59     0.01991  0.09515  2.67   62340    5931  297905  1170687  18.78
  1923        60-64     0.03040  0.14132  2.52   56408    7972  262232   872782  15.47
  1923        65-69     0.03347  0.15501  2.62   48437    7508  224338   610551  12.61
  1923        70-74     0.07045  0.30177  2.63   40929   12351  175322   386213   9.44
  1923        75-79     0.10151  0.40036  2.36   28577   11441  112711   210891   7.38
  1923        80-84     0.14969  0.53428  2.32   17136    9156   61162    98180   5.73
  1923        85-89     0.19450  0.63034  2.21    7981    5031   25863    37018   4.64
  1923        90-94     0.24731  0.71987  2.10    2950    2124    8587    11154   3.78
  1923        95-99     0.30876  0.79780  1.97     826     659    2135     2567   3.11
  1923       100-104    0.37768  0.86027  1.84     167     144     381      432   2.58
  1923       105-109    0.45190  0.90653  1.70      23      21      47       51   2.19
  1923       110+       0.51238  1.00000  1.95       2       2       4        4   1.95
  1924           0      0.07720  0.07332  0.31  100000    7332   94971  5475510  54.76
  1924         1-4      0.01203  0.04663  1.32   92668    4321  359090  5380539  58.06
  1924         5-9      0.00236  0.01170  1.99   88346    1033  438620  5021449  56.84
  1924        10-14     0.00199  0.00989  2.84   87313     864  434700  4582828  52.49
  1924        15-19     0.00406  0.02010  2.67   86450    1738  428203  4148129  47.98
  1924        20-24     0.00530  0.02618  2.56   84712    2218  418145  3719926  43.91
  1924        25-29     0.00644  0.03167  2.51   82494    2613  405970  3301781  40.02
  1924        30-34     0.00645  0.03172  2.44   79881    2534  392932  2895811  36.25
  1924        35-39     0.00754  0.03705  2.59   77347    2865  379831  2502879  32.36
  1924        40-44     0.00998  0.04864  2.44   74482    3623  363144  2123047  28.50
  1924        45-49     0.01045  0.05099  2.62   70859    3613  345699  1759904  24.84
  1924        50-54     0.01839  0.08795  2.51   67246    5914  321532  1414205  21.03
  1924        55-59     0.02188  0.10386  2.56   61332    6370  291095  1092673  17.82
  1924        60-64     0.03302  0.15215  2.43   54962    8363  253285   801578  14.58
  1924        65-69     0.04060  0.18483  2.58   46599    8613  212136   548293  11.77
  1924        70-74     0.07768  0.32547  2.51   37987   12364  159152   336157   8.85
  1924        75-79     0.10415  0.40751  2.33   25623   10442  100252   177005   6.91
  1924        80-84     0.17583  0.59697  2.31   15181    9063   51543    76753   5.06
  1924        85-89     0.22286  0.68193  2.15    6119    4172   18722    25210   4.12
  1924        90-94     0.28459  0.77063  2.03    1946    1500    5270     6488   3.33
  1924        95-99     0.35539  0.84303  1.88     446     376    1059     1218   2.73
  1924       100-104    0.43307  0.89692  1.73      70      63     145      159   2.27
  1924       105-109    0.51427  0.93389  1.59       7       7      13       14   1.93
  1924       110+       0.58002  1.00000  1.72       0       0       1        1   1.72
  1925           0      0.07976  0.07563  0.31  100000    7563   94813  5474084  54.74
  1925         1-4      0.01288  0.04980  1.32   92437    4603  357431  5379271  58.19
  1925         5-9      0.00301  0.01490  2.07   87834    1309  435336  5021840  57.17
  1925        10-14     0.00272  0.01350  2.69   86526    1168  429935  4586504  53.01
  1925        15-19     0.00404  0.02000  2.64   85358    1707  422754  4156569  48.70
  1925        20-24     0.00560  0.02761  2.54   83651    2309  412571  3733815  44.64
  1925        25-29     0.00561  0.02766  2.49   81341    2250  401048  3321244  40.83
  1925        30-34     0.00686  0.03376  2.56   79091    2670  388937  2920196  36.92
  1925        35-39     0.00761  0.03732  2.47   76421    2852  374901  2531260  33.12
  1925        40-44     0.00867  0.04241  2.51   73569    3120  360060  2156358  29.31
  1925        45-49     0.01019  0.04974  2.59   70448    3504  343810  1796298  25.50
