New Zealand, Life tables (period 5x1), Females	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0      0.02402  0.02354  0.14  100000    2354   97976  7083271  70.83
  1948         1-4      0.00204  0.00813  1.50   97646     794  388597  6985296  71.54
  1948         5-9      0.00081  0.00402  2.05   96852     389  483114  6596699  68.11
  1948        10-14     0.00085  0.00425  2.72   96463     410  481378  6113585  63.38
  1948        15-19     0.00142  0.00708  2.66   96053     680  478675  5632207  58.64
  1948        20-24     0.00174  0.00865  2.52   95373     825  474818  5153532  54.04
  1948        25-29     0.00191  0.00951  2.40   94548     899  470399  4678713  49.49
  1948        30-34     0.00178  0.00888  2.57   93649     832  466223  4208314  44.94
  1948        35-39     0.00240  0.01194  2.60   92817    1108  461426  3742091  40.32
  1948        40-44     0.00299  0.01483  2.63   91709    1360  455328  3280666  35.77
  1948        45-49     0.00409  0.02024  2.59   90349    1829  447333  2825338  31.27
  1948        50-54     0.00658  0.03239  2.63   88520    2867  435817  2378005  26.86
  1948        55-59     0.01051  0.05131  2.69   85653    4395  418108  1942187  22.67
  1948        60-64     0.01574  0.07598  2.72   81258    6174  392210  1524079  18.76
  1948        65-69     0.02563  0.12068  2.59   75084    9061  353579  1131869  15.07
  1948        70-74     0.04122  0.18795  2.66   66023   12409  301048   778291  11.79
  1948        75-79     0.07298  0.30968  2.56   53614   16603  227509   477243   8.90
  1948        80-84     0.11391  0.44085  2.44   37011   16316  143241   249734   6.75
  1948        85-89     0.16575  0.57210  2.29   20695   11839   71430   106493   5.15
  1948        90-94     0.22957  0.69546  2.17    8855    6158   26827    35062   3.96
  1948        95-99     0.31121  0.80367  1.99    2697    2167    6964     8236   3.05
  1948       100-104    0.40624  0.88304  1.80     529     468    1151     1271   2.40
  1948       105-109    0.50893  0.93358  1.61      62      58     114      121   1.95
  1948       110+       0.59300  1.00000  1.69       4       4       7        7   1.69
  1949           0      0.02737  0.02675  0.15  100000    2675   97734  7073757  70.74
  1949         1-4      0.00235  0.00935  1.44   97325     910  386970  6976023  71.68
  1949         5-9      0.00068  0.00340  2.11   96415     328  481129  6589053  68.34
  1949        10-14     0.00070  0.00350  2.60   96087     337  479629  6107924  63.57
  1949        15-19     0.00113  0.00565  2.81   95751     541  477569  5628295  58.78
  1949        20-24     0.00126  0.00626  2.86   95209     596  474770  5150727  54.10
  1949        25-29     0.00152  0.00759  2.54   94613     718  471300  4675957  49.42
  1949        30-34     0.00171  0.00854  2.70   93894     802  467630  4204657  44.78
  1949        35-39     0.00234  0.01164  2.50   93093    1084  462755  3737026  40.14
  1949        40-44     0.00286  0.01419  2.60   92009    1305  456910  3274271  35.59
  1949        45-49     0.00501  0.02477  2.57   90703    2246  448060  2817361  31.06
  1949        50-54     0.00725  0.03564  2.70   88457    3153  435042  2369301  26.78
  1949        55-59     0.01046  0.05102  2.64   85304    4352  416255  1934259  22.67
  1949        60-64     0.01588  0.07650  2.62   80952    6193  390023  1518004  18.75
  1949        65-69     0.02470  0.11667  2.63   74759    8722  353118  1127981  15.09
  1949        70-74     0.04181  0.19025  2.64   66037   12563  300496   774864  11.73
  1949        75-79     0.07558  0.32064  2.64   53474   17146  226871   474368   8.87
  1949        80-84     0.10564  0.42031  2.57   36328   15269  144533   247496   6.81
  1949        85-89     0.17228  0.58764  2.30   21059   12375   71830   102963   4.89
  1949        90-94     0.25487  0.73708  2.14    8684    6401   25113    31133   3.59
  1949        95-99     0.36466  0.85610  1.90    2283    1955    5360     6020   2.64
  1949       100-104    0.49042  0.92847  1.65     329     305     622      660   2.01
  1949       105-109    0.61820  0.96494  1.44      24      23      37       38   1.61
  1949       110+       0.71707  1.00000  1.39       1       1       1        1   1.39
  1950           0      0.02593  0.02537  0.15  100000    2537   97836  7124156  71.24
  1950         1-4      0.00158  0.00629  1.31   97463     613  388200  7026319  72.09
  1950         5-9      0.00063  0.00315  2.35   96850     305  483440  6638119  68.54
  1950        10-14     0.00049  0.00247  2.85   96545     238  482213  6154679  63.75
  1950        15-19     0.00101  0.00505  2.73   96307     486  480430  5672466  58.90
  1950        20-24     0.00132  0.00659  2.83   95821     632  477734  5192036  54.18
  1950        25-29     0.00133  0.00664  2.66   95189     632  474470  4714302  49.53
  1950        30-34     0.00159  0.00795  2.79   94557     751  471127  4239832  44.84
  1950        35-39     0.00222  0.01103  2.63   93806    1035  466572  3768705  40.18
  1950        40-44     0.00292  0.01448  2.63   92771    1344  460669  3302133  35.59
  1950        45-49     0.00488  0.02412  2.58   91427    2205  451804  2841464  31.08
  1950        50-54     0.00645  0.03179  2.72   89222    2836  439631  2389660  26.78
  1950        55-59     0.01054  0.05143  2.69   86386    4442  421671  1950030  22.57
  1950        60-64     0.01596  0.07682  2.59   81943    6295  394519  1528358  18.65
  1950        65-69     0.02648  0.12446  2.59   75648    9415  355593  1133840  14.99
  1950        70-74     0.04141  0.18895  2.69   66233   12515  302249   778247  11.75
  1950        75-79     0.06977  0.29975  2.65   53718   16102  230776   475998   8.86
  1950        80-84     0.11118  0.43411  2.48   37616   16329  146877   245221   6.52
  1950        85-89     0.18483  0.61581  2.29   21286   13108   70922    98344   4.62
  1950        90-94     0.27561  0.76585  2.10    8178    6263   22724    27422   3.35
  1950        95-99     0.39470  0.87875  1.84    1915    1683    4263     4698   2.45
  1950       100-104    0.52788  0.94233  1.59     232     219     414      435   1.87
  1950       105-109    0.65830  0.97216  1.38      13      13      20       20   1.51
  1950       110+       0.75589  1.00000  1.32       0       0       0        0   1.32
  1951           0      0.02344  0.02297  0.14  100000    2297   98019  7143807  71.44
