Switzerland, Life tables (period 5x10), Females	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1876-1879        0      0.21672  0.18867  0.31  100000   18867   87059  4217115  42.17
1876-1879      1-4      0.02201  0.08332  1.44   81133    6760  307211  4130055  50.90
1876-1879      5-9      0.00625  0.03072  2.15   74373    2284  365343  3822845  51.40
1876-1879     10-14     0.00418  0.02066  2.49   72088    1489  356696  3457502  47.96
1876-1879     15-19     0.00591  0.02916  2.63   70599    2059  348108  3100806  43.92
1876-1879     20-24     0.00726  0.03568  2.59   68540    2446  336817  2752698  40.16
1876-1879     25-29     0.00867  0.04245  2.51   66094    2806  323497  2415881  36.55
1876-1879     30-34     0.00979  0.04783  2.60   63289    3027  309171  2092384  33.06
1876-1879     35-39     0.01119  0.05445  2.52   60262    3281  293165  1783213  29.59
1876-1879     40-44     0.01143  0.05556  2.49   56980    3166  276955  1490048  26.15
1876-1879     45-49     0.01332  0.06450  2.56   53814    3471  260590  1213094  22.54
1876-1879     50-54     0.01856  0.08891  2.64   50343    4476  241162   952503  18.92
1876-1879     55-59     0.02653  0.12464  2.58   45867    5717  215518   711342  15.51
1876-1879     60-64     0.04064  0.18538  2.63   40150    7443  183129   495824  12.35
1876-1879     65-69     0.06539  0.28175  2.55   32707    9215  140923   312695   9.56
1876-1879     70-74     0.10316  0.40845  2.45   23492    9595   93012   171772   7.31
1876-1879     75-79     0.14074  0.51029  2.31   13897    7091   50387    78760   5.67
1876-1879     80-84     0.21216  0.66756  2.22    6805    4543   21413    28373   4.17
1876-1879     85-89     0.30535  0.80423  2.06    2262    1819    5959     6960   3.08
1876-1879     90-94     0.43241  0.89791  1.74     443     398     920     1002   2.26
1876-1879     95-99     0.54690  0.94752  1.55      45      43      78       82   1.81
1876-1879    100-104    0.66654  0.97308  1.36       2       2       3        4   1.49
1876-1879    105-109    0.76890  0.98481  1.22       0       0       0        0   1.30
1876-1879    110+       0.83952  1.00000  1.19       0       0       0        0   1.19
1880-1889        0      0.17041  0.15258  0.31  100000   15258   89535  4552740  45.53
1880-1889      1-4      0.01863  0.07115  1.44   84742    6029  323561  4463205  52.67
1880-1889      5-9      0.00543  0.02674  2.17   78713    2105  387617  4139644  52.59
1880-1889     10-14     0.00341  0.01693  2.53   76608    1297  379840  3752027  48.98
1880-1889     15-19     0.00550  0.02712  2.61   75311    2043  371664  3372187  44.78
1880-1889     20-24     0.00706  0.03468  2.56   73268    2541  360140  3000523  40.95
1880-1889     25-29     0.00796  0.03905  2.55   70727    2762  346864  2640383  37.33
1880-1889     30-34     0.00908  0.04441  2.53   67965    3019  332366  2293519  33.75
1880-1889     35-39     0.01037  0.05054  2.51   64946    3282  316568  1961153  30.20
1880-1889     40-44     0.01126  0.05475  2.49   61664    3376  299841  1644585  26.67
1880-1889     45-49     0.01274  0.06178  2.56   58288    3601  282662  1344744  23.07
1880-1889     50-54     0.01727  0.08290  2.60   54687    4534  262535  1062082  19.42
1880-1889     55-59     0.02509  0.11843  2.63   50153    5939  236705   799547  15.94
1880-1889     60-64     0.03912  0.17864  2.57   44214    7898  201893   562842  12.73
1880-1889     65-69     0.06008  0.26215  2.57   36315    9520  158461   360948   9.94
1880-1889     70-74     0.09382  0.38008  2.50   26795   10184  108549   202488   7.56
1880-1889     75-79     0.14447  0.52354  2.37   16611    8696   60196    93938   5.66
1880-1889     80-84     0.20829  0.65945  2.22    7914    5219   25058    33743   4.26
1880-1889     85-89     0.29219  0.77922  2.01    2695    2100    7188     8685   3.22
1880-1889     90-94     0.38463  0.86855  1.84     595     517    1344     1497   2.52
1880-1889     95-99     0.50278  0.93190  1.62      78      73     145      154   1.96
1880-1889    100-104    0.61326  0.96317  1.44       5       5       8        9   1.62
1880-1889    105-109    0.71391  0.97902  1.29       0       0       0        0   1.40
1880-1889    110+       0.78771  1.00000  1.27       0       0       0        0   1.27
1890-1899        0      0.14831  0.13462  0.31  100000   13462   90767  4859175  48.59
1890-1899      1-4      0.01426  0.05502  1.42   86538    4761  333890  4768408  55.10
1890-1899      5-9      0.00444  0.02193  2.19   81777    1793  403847  4434518  54.23
1890-1899     10-14     0.00320  0.01586  2.56   79984    1269  396826  4030671  50.39
1890-1899     15-19     0.00507  0.02503  2.63   78716    1970  388905  3633845  46.16
1890-1899     20-24     0.00604  0.02976  2.57   76745    2284  378172  3244940  42.28
1890-1899     25-29     0.00702  0.03451  2.56   74461    2570  366035  2866768  38.50
1890-1899     30-34     0.00780  0.03826  2.55   71891    2751  352728  2500733  34.78
