Italy , Life tables (period 5x10), Females	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1879        0      0.23257  0.20057  0.31  100000   20057   86243  3322088  33.22
1872-1879      1-4      0.06666  0.22865  1.51   79943   18279  274211  3235845  40.48
1872-1879      5-9      0.01372  0.06570  1.80   61664    4051  295351  2961634  48.03
1872-1879     10-14     0.00645  0.03176  2.53   57613    1830  283553  2666283  46.28
1872-1879     15-19     0.00731  0.03590  2.57   55783    2002  274043  2382729  42.71
1872-1879     20-24     0.00929  0.04543  2.56   53781    2443  262950  2108686  39.21
1872-1879     25-29     0.01029  0.05018  2.51   51338    2576  250275  1845736  35.95
1872-1879     30-34     0.01108  0.05392  2.54   48762    2629  237335  1595462  32.72
1872-1879     35-39     0.01240  0.06017  2.52   46133    2776  223782  1358126  29.44
1872-1879     40-44     0.01281  0.06209  2.51   43357    2692  210083  1134344  26.16
1872-1879     45-49     0.01428  0.06901  2.58   40664    2806  196517   924261  22.73
1872-1879     50-54     0.01817  0.08704  2.59   37858    3295  181361   727744  19.22
1872-1879     55-59     0.02579  0.12160  2.66   34563    4203  162984   546383  15.81
1872-1879     60-64     0.04035  0.18410  2.62   30360    5589  138519   383398  12.63
1872-1879     65-69     0.06421  0.27808  2.59   24771    6888  107285   244879   9.89
1872-1879     70-74     0.09222  0.37341  2.45   17883    6678   72409   137594   7.69
1872-1879     75-79     0.14740  0.53609  2.46   11205    6007   40753    65186   5.82
1872-1879     80-84     0.18699  0.61805  2.26    5198    3213   17181    24433   4.70
1872-1879     85-89     0.25427  0.73220  2.10    1985    1454    5717     7252   3.65
1872-1879     90-94     0.33183  0.82435  1.95     532     438    1321     1535   2.89
1872-1879     95-99     0.42728  0.89523  1.76      93      84     196      214   2.29
1872-1879    100-104    0.52473  0.93874  1.58      10       9      18       18   1.89
1872-1879    105-109    0.62074  0.96406  1.42       1       1       1        1   1.60
1872-1879    110+       0.69579  1.00000  1.44       0       0       0        0   1.44
1880-1889        0      0.21633  0.18838  0.31  100000   18838   87079  3593751  35.94
1880-1889      1-4      0.05906  0.20547  1.46   81162   16677  282357  3506672  43.21
1880-1889      5-9      0.01204  0.05798  1.84   64486    3739  310628  3224315  50.00
1880-1889     10-14     0.00575  0.02835  2.55   60747    1722  299519  2913687  47.96
1880-1889     15-19     0.00696  0.03423  2.58   59025    2021  290231  2614168  44.29
1880-1889     20-24     0.00870  0.04257  2.55   57004    2427  279080  2323937  40.77
1880-1889     25-29     0.00935  0.04566  2.48   54578    2492  266615  2044857  37.47
1880-1889     30-34     0.01010  0.04926  2.49   52086    2566  253981  1778242  34.14
1880-1889     35-39     0.01061  0.05169  2.48   49520    2560  241151  1524260  30.78
1880-1889     40-44     0.01154  0.05603  2.44   46960    2631  228058  1283109  27.32
1880-1889     45-49     0.01169  0.05678  2.51   44329    2517  215385  1055051  23.80
1880-1889     50-54     0.01633  0.07848  2.53   41812    3281  200953   839666  20.08
1880-1889     55-59     0.02091  0.09951  2.59   38531    3834  183396   638712  16.58
1880-1889     60-64     0.03744  0.17166  2.58   34696    5956  159086   455316  13.12
1880-1889     65-69     0.05590  0.24538  2.51   28740    7052  126166   296230  10.31
1880-1889     70-74     0.09008  0.36540  2.42   21688    7925   87973   170064   7.84
1880-1889     75-79     0.13541  0.49651  2.31   13763    6834   50466    82090   5.96
1880-1889     80-84     0.19153  0.62567  2.23    6930    4336   22636    31624   4.56
1880-1889     85-89     0.26655  0.74821  2.07    2594    1941    7281     8988   3.46
1880-1889     90-94     0.37113  0.85141  1.82     653     556    1498     1707   2.61
1880-1889     95-99     0.45815  0.91222  1.70      97      89     193      208   2.15
1880-1889    100-104    0.56326  0.95095  1.52       9       8      14       15   1.76
1880-1889    105-109    0.66355  0.97196  1.36       0       0       1        1   1.50
1880-1889    110+       0.73992  1.00000  1.35       0       0       0        0   1.35
1890-1899        0      0.18836  0.16681  0.31  100000   16681   88559  4069949  40.70
1890-1899      1-4      0.04560  0.16371  1.50   83319   13640  299115  3981390  47.78
1890-1899      5-9      0.00815  0.03968  1.74   69679    2765  339375  3682275  52.85
1890-1899     10-14     0.00451  0.02230  2.67   66914    1492  331087  3342901  49.96
1890-1899     15-19     0.00616  0.03035  2.59   65422    1986  322326  3011813  46.04
1890-1899     20-24     0.00772  0.03790  2.54   63436    2404  311256  2689487  42.40
1890-1899     25-29     0.00808  0.03961  2.50   61032    2417  299115  2378230  38.97
1890-1899     30-34     0.00866  0.04238  2.51   58614    2484  286878  2079116  35.47
1890-1899     35-39     0.00908  0.04440  2.52   56130    2492  274467  1792238  31.93
1890-1899     40-44     0.00998  0.04868  2.48   53638    2611  261611  1517771  28.30
1890-1899     45-49     0.01005  0.04904  2.57   51027    2502  249052  1256160  24.62
1890-1899     50-54     0.01422  0.06872  2.57   48525    3335  234525  1007108  20.75
1890-1899     55-59     0.01804  0.08653  2.65   45190    3910  216744   772583  17.10
1890-1899     60-64     0.03339  0.15493  2.67   41280    6396  191516   555839  13.47
1890-1899     65-69     0.05604  0.24658  2.57   34884    8602  153490   364324  10.44
1890-1899     70-74     0.08117  0.33674  2.47   26283    8850  109032   210834   8.02
1890-1899     75-79     0.14843  0.53810  2.45   17432    9380   63196   101802   5.84
1890-1899     80-84     0.18221  0.60937  2.28    8052    4907   26929    38606   4.79
1890-1899     85-89     0.24884  0.72311  2.10    3145    2274    9140    11677   3.71
1890-1899     90-94     0.32812  0.82023  1.95     871     714    2177     2537   2.91
1890-1899     95-99     0.42554  0.89443  1.76     157     140     329      360   2.30
1890-1899    100-104    0.52513  0.93902  1.58      17      16      30       31   1.89
1890-1899    105-109    0.62319  0.96464  1.42       1       1       2        2   1.60
1890-1899    110+       0.69969  1.00000  1.43       0       0       0        0   1.43
1900-1909        0      0.17324  0.15484  0.31  100000   15484   89379  4414160  44.14
1900-1909      1-4      0.03677  0.13421  1.39   84516   11343  308513  4324780  51.17
1900-1909      5-9      0.00606  0.02973  1.84   73173    2175  358989  4016267  54.89
1900-1909     10-14     0.00368  0.01826  2.66   70997    1297  351955  3657278  51.51
1900-1909     15-19     0.00546  0.02693  2.62   69701    1877  344030  3305323  47.42
1900-1909     20-24     0.00697  0.03425  2.55   67824    2323  333419  2961293  43.66
1900-1909     25-29     0.00738  0.03622  2.50   65501    2372  321578  2627874  40.12
1900-1909     30-34     0.00776  0.03809  2.51   63129    2404  309648  2306296  36.53
1900-1909     35-39     0.00815  0.03995  2.52   60724    2426  297603  1996648  32.88
1900-1909     40-44     0.00886  0.04333  2.49   58298    2526  285144  1699045  29.14
