Republic of Korea, Life tables (period 5x10), Females	Last modified: 20 Jul 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2003-2009        0      0.00390  0.00389  0.14  100000     389   99666  8209835  82.10
2003-2009      1-4      0.00027  0.00107  1.69   99611     107  398198  8110169  81.42
2003-2009      5-9      0.00014  0.00070  2.28   99504      70  497333  7711972  77.50
2003-2009     10-14     0.00012  0.00059  2.73   99435      58  497042  7214639  72.56
2003-2009     15-19     0.00022  0.00109  2.72   99377     109  496635  6717598  67.60
2003-2009     20-24     0.00035  0.00177  2.65   99268     176  495926  6220963  62.67
2003-2009     25-29     0.00044  0.00222  2.50   99092     220  494910  5725037  57.78
2003-2009     30-34     0.00055  0.00272  2.58   98872     269  493709  5230127  52.90
2003-2009     35-39     0.00072  0.00361  2.65   98603     356  492178  4736417  48.04
2003-2009     40-44     0.00102  0.00511  2.66   98247     502  490063  4244239  43.20
2003-2009     45-49     0.00148  0.00737  2.63   97746     720  487022  3754177  38.41
2003-2009     50-54     0.00211  0.01051  2.64   97025    1020  482719  3267155  33.67
2003-2009     55-59     0.00310  0.01541  2.66   96005    1479  476572  2784435  29.00
2003-2009     60-64     0.00505  0.02495  2.69   94526    2359  467193  2307863  24.41
2003-2009     65-69     0.00895  0.04385  2.73   92168    4042  451678  1840670  19.97
2003-2009     70-74     0.01721  0.08283  2.73   88126    7299  424036  1388992  15.76
2003-2009     75-79     0.03441  0.15943  2.70   80827   12886  374490   964955  11.94
2003-2009     80-84     0.06692  0.28861  2.62   67941   19609  293025   590466   8.69
2003-2009     85-89     0.12008  0.46102  2.48   48332   22282  185564   297440   6.15
2003-2009     90-94     0.19998  0.64747  2.28   26050   16867   84341   111876   4.29
2003-2009     95-99     0.31303  0.81137  2.03    9183    7451   23803    27535   3.00
2003-2009    100-104    0.45414  0.91440  1.73    1732    1584    3488     3732   2.15
2003-2009    105-109    0.60396  0.96305  1.46     148     143     236      244   1.65
2003-2009    110+       0.72053  1.00000  1.39       5       5       8        8   1.39
2010-2019        0      0.00269  0.00268  0.14  100000     268   99770  8506217  85.06
2010-2019      1-4      0.00016  0.00063  1.59   99732      63  398776  8406447  84.29
2010-2019      5-9      0.00008  0.00039  2.35   99669      39  498243  8007670  80.34
2010-2019     10-14     0.00008  0.00040  2.68   99630      40  498058  7509428  75.37
2010-2019     15-19     0.00017  0.00085  2.69   99590      84  497756  7011370  70.40
2010-2019     20-24     0.00025  0.00127  2.60   99506     127  497225  6513613  65.46
2010-2019     25-29     0.00035  0.00174  2.62   99379     173  496485  6016389  60.54
2010-2019     30-34     0.00048  0.00240  2.61   99207     238  495463  5519904  55.64
2010-2019     35-39     0.00061  0.00304  2.62   98969     301  494127  5024440  50.77
2010-2019     40-44     0.00084  0.00418  2.62   98668     413  492358  4530313  45.91
2010-2019     45-49     0.00117  0.00584  2.65   98255     574  489925  4037955  41.10
2010-2019     50-54     0.00162  0.00808  2.62   97681     789  486526  3548030  36.32
2010-2019     55-59     0.00220  0.01093  2.64   96893    1059  481961  3061504  31.60
2010-2019     60-64     0.00331  0.01640  2.68   95834    1572  475516  2579543  26.92
2010-2019     65-69     0.00562  0.02776  2.74   94262    2617  465383  2104027  22.32
2010-2019     70-74     0.01094  0.05341  2.76   91645    4895  447267  1638644  17.88
2010-2019     75-79     0.02260  0.10753  2.75   86750    9328  412765  1191378  13.73
2010-2019     80-84     0.04733  0.21342  2.70   77422   16523  349117   778613  10.06
2010-2019     85-89     0.09386  0.38229  2.57   60899   23281  248026   429496   7.05
2010-2019     90-94     0.16818  0.58302  2.37   37618   21932  130407   181469   4.82
2010-2019     95-99     0.28224  0.77827  2.12   15686   12208   43253    51062   3.26
2010-2019    100-104    0.43354  0.90549  1.78    3478    3149    7264     7809   2.25
2010-2019    105-109    0.59934  0.96285  1.48     329     317     528      545   1.66
2010-2019    110+       0.72856  1.00000  1.37      12      12      17       17   1.37
