Taiwan, Life tables (period 5x10), Females	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1970-1979        0      0.01243  0.01230  0.12  100000    1230   98922  7307704  73.08
1970-1979      1-4      0.00177  0.00707  1.40   98770     698  393267  7208782  72.99
1970-1979      5-9      0.00043  0.00212  2.15   98072     208  489768  6815515  69.49
1970-1979     10-14     0.00036  0.00181  2.70   97864     177  488913  6325747  64.64
1970-1979     15-19     0.00064  0.00321  2.66   97687     314  487703  5836834  59.75
1970-1979     20-24     0.00083  0.00415  2.56   97373     404  485884  5349131  54.93
1970-1979     25-29     0.00093  0.00464  2.54   96970     450  483745  4863247  50.15
1970-1979     30-34     0.00126  0.00626  2.64   96520     604  481175  4379502  45.37
1970-1979     35-39     0.00173  0.00862  2.63   95916     826  477621  3898327  40.64
1970-1979     40-44     0.00259  0.01287  2.67   95089    1224  472595  3420707  35.97
1970-1979     45-49     0.00382  0.01891  2.67   93865    1775  465197  2948112  31.41
1970-1979     50-54     0.00605  0.02984  2.68   92090    2748  454065  2482915  26.96
1970-1979     55-59     0.00928  0.04543  2.67   89343    4059  437245  2028850  22.71
1970-1979     60-64     0.01491  0.07205  2.68   85284    6144  412175  1591604  18.66
1970-1979     65-69     0.02556  0.12060  2.67   79140    9544  373444  1179430  14.90
1970-1979     70-74     0.04326  0.19618  2.63   69596   13653  315608   805986  11.58
1970-1979     75-79     0.07087  0.30186  2.55   55943   16887  238274   490378   8.77
1970-1979     80-84     0.11786  0.45251  2.44   39056   17673  149957   252104   6.45
1970-1979     85-89     0.17778  0.60148  2.31   21382   12861   72345   102147   4.78
1970-1979     90-94     0.26411  0.74912  2.11    8521    6383   24170    29803   3.50
1970-1979     95-99     0.36560  0.85590  1.89    2138    1830    5005     5633   2.63
1970-1979    100-104    0.48319  0.92484  1.66     308     285     590      628   2.04
1970-1979    105-109    0.60328  0.96150  1.46      23      22      37       38   1.65
1970-1979    110+       0.69735  1.00000  1.43       1       1       1        1   1.43
1980-1989        0      0.00737  0.00732  0.13  100000     732   99366  7554930  75.55
1980-1989      1-4      0.00093  0.00370  1.48   99268     367  396146  7455564  75.11
1980-1989      5-9      0.00032  0.00160  2.35   98900     158  494081  7059418  71.38
1980-1989     10-14     0.00030  0.00148  2.61   98742     146  493359  6565337  66.49
1980-1989     15-19     0.00053  0.00264  2.67   98596     260  492373  6071978  61.58
1980-1989     20-24     0.00068  0.00340  2.53   98336     334  490853  5579605  56.74
1980-1989     25-29     0.00075  0.00374  2.54   98001     366  489107  5088752  51.93
1980-1989     30-34     0.00091  0.00454  2.59   97635     444  487109  4599645  47.11
1980-1989     35-39     0.00130  0.00647  2.66   97192     629  484488  4112536  42.31
1980-1989     40-44     0.00189  0.00942  2.69   96563     910  480712  3628048  37.57
1980-1989     45-49     0.00308  0.01530  2.69   95653    1464  474876  3147336  32.90
1980-1989     50-54     0.00480  0.02371  2.66   94189    2233  465721  2672461  28.37
1980-1989     55-59     0.00754  0.03705  2.68   91956    3407  451872  2206739  24.00
1980-1989     60-64     0.01244  0.06047  2.68   88549    5354  430346  1754867  19.82
1980-1989     65-69     0.02153  0.10254  2.69   83194    8531  396258  1324521  15.92
1980-1989     70-74     0.03640  0.16759  2.64   74664   12513  343757   928263  12.43
1980-1989     75-79     0.06170  0.26828  2.57   62150   16674  270243   584505   9.40
1980-1989     80-84     0.10576  0.41721  2.47   45477   18973  179395   314262   6.91
1980-1989     85-89     0.16532  0.57358  2.33   26503   15202   91953   134866   5.09
1980-1989     90-94     0.23710  0.70991  2.17   11302    8023   33839    42913   3.80
1980-1989     95-99     0.34577  0.83956  1.94    3278    2753    7961     9074   2.77
1980-1989    100-104    0.46392  0.91656  1.70     526     482    1039     1114   2.12
1980-1989    105-109    0.58682  0.95792  1.48      44      42      72       74   1.69
1980-1989    110+       0.68403  1.00000  1.46       2       2       3        3   1.46
1990-1999        0      0.00585  0.00582  0.14  100000     582   99498  7779064  77.79
1990-1999      1-4      0.00058  0.00233  1.55   99418     232  397104  7679567  77.25
1990-1999      5-9      0.00025  0.00127  2.33   99186     126  495596  7282462  73.42
1990-1999     10-14     0.00026  0.00130  2.74   99060     129  495010  6786867  68.51
1990-1999     15-19     0.00048  0.00240  2.61   98931     237  494090  6291857  63.60
1990-1999     20-24     0.00055  0.00275  2.52   98694     271  492798  5797766  58.74
1990-1999     25-29     0.00064  0.00319  2.58   98423     314  491354  5304968  53.90
1990-1999     30-34     0.00080  0.00400  2.61   98108     393  489605  4813614  49.06
1990-1999     35-39     0.00111  0.00555  2.65   97716     542  487306  4324009  44.25
1990-1999     40-44     0.00158  0.00789  2.66   97174     767  484075  3836702  39.48
1990-1999     45-49     0.00244  0.01211  2.67   96407    1167  479315  3352627  34.78
1990-1999     50-54     0.00380  0.01882  2.67   95240    1793  472013  2873313  30.17
1990-1999     55-59     0.00601  0.02963  2.66   93447    2769  460759  2401300  25.70
1990-1999     60-64     0.00989  0.04835  2.67   90678    4384  443198  1940541  21.40
1990-1999     65-69     0.01667  0.08024  2.68   86294    6924  415382  1497343  17.35
1990-1999     70-74     0.02885  0.13517  2.67   79370   10728  371890  1081961  13.63
1990-1999     75-79     0.05086  0.22683  2.62   68642   15570  306158   710071  10.34
1990-1999     80-84     0.08867  0.36363  2.53   53071   19298  217649   403912   7.61
1990-1999     85-89     0.14547  0.52693  2.39   33773   17796  122340   186264   5.52
1990-1999     90-94     0.22176  0.68368  2.20   15977   10923   49257    63924   4.00
1990-1999     95-99     0.32686  0.82302  1.98    5054    4159   12725    14667   2.90
1990-1999    100-104    0.45114  0.91119  1.73     894     815    1807     1942   2.17
1990-1999    105-109    0.58241  0.95731  1.49      79      76     131      136   1.71
1990-1999    110+       0.68649  1.00000  1.46       3       3       5        5   1.46
2000-2009        0      0.00531  0.00529  0.14  100000     529   99544  8062213  80.62
2000-2009      1-4      0.00037  0.00147  1.61   99471     146  397535  7962669  80.05
2000-2009      5-9      0.00016  0.00080  2.31   99325      80  496411  7565134  76.17
2000-2009     10-14     0.00015  0.00076  2.69   99245      76  496051  7068724  71.22
2000-2009     15-19     0.00031  0.00156  2.78   99170     155  495503  6572673  66.28
2000-2009     20-24     0.00040  0.00200  2.52   99014     198  494579  6077170  61.38
2000-2009     25-29     0.00048  0.00242  2.58   98816     239  493502  5582591  56.49
2000-2009     30-34     0.00064  0.00320  2.62   98577     315  492137  5089089  51.63
2000-2009     35-39     0.00089  0.00444  2.66   98262     436  490289  4596952  46.78
2000-2009     40-44     0.00133  0.00663  2.65   97825     648  487603  4106663  41.98
2000-2009     45-49     0.00195  0.00970  2.65   97177     942  483672  3619060  37.24
2000-2009     50-54     0.00296  0.01470  2.65   96235    1414  477848  3135388  32.58
2000-2009     55-59     0.00462  0.02285  2.68   94821    2167  469076  2657540  28.03
2000-2009     60-64     0.00752  0.03694  2.68   92654    3423  455334  2188464  23.62
2000-2009     65-69     0.01254  0.06094  2.68   89231    5438  433546  1733130  19.42
2000-2009     70-74     0.02156  0.10265  2.67   83793    8602  398895  1299584  15.51
2000-2009     75-79     0.03660  0.16851  2.65   75191   12671  346224   900689  11.98
2000-2009     80-84     0.06585  0.28430  2.60   62520   17774  269934   554465   8.87
2000-2009     85-89     0.11517  0.44675  2.49   44746   19990  173575   284531   6.36
2000-2009     90-94     0.18987  0.62750  2.30   24755   15534   81817   110956   4.48
2000-2009     95-99     0.29469  0.79043  2.07    9221    7289   24733    29140   3.16
2000-2009    100-104    0.42726  0.89989  1.78    1933    1739    4070     4406   2.28
2000-2009    105-109    0.57173  0.95544  1.52     193     185     323      336   1.74
2000-2009    110+       0.68715  1.00000  1.46       9       9      13       13   1.46
2010-2019        0      0.00391  0.00390  0.14  100000     390   99665  8297252  82.97
2010-2019      1-4      0.00021  0.00083  1.67   99610      83  398249  8197587  82.30
2010-2019      5-9      0.00012  0.00058  2.46   99528      58  497493  7799337  78.36
2010-2019     10-14     0.00012  0.00059  2.66   99470      59  497213  7301844  73.41
2010-2019     15-19     0.00021  0.00106  2.80   99411     106  496824  6804631  68.45
2010-2019     20-24     0.00028  0.00138  2.57   99306     137  496195  6307807  63.52
2010-2019     25-29     0.00035  0.00176  2.66   99169     175  495434  5811612  58.60
2010-2019     30-34     0.00052  0.00259  2.64   98994     257  494362  5316178  53.70
2010-2019     35-39     0.00074  0.00370  2.68   98737     365  492836  4821816  48.83
2010-2019     40-44     0.00111  0.00551  2.65   98372     542  490586  4328979  44.01
2010-2019     45-49     0.00170  0.00844  2.66   97829     826  487211  3838394  39.24
2010-2019     50-54     0.00253  0.01255  2.64   97003    1218  482144  3351182  34.55
2010-2019     55-59     0.00365  0.01808  2.65   95785    1731  474866  2869038  29.95
2010-2019     60-64     0.00557  0.02751  2.67   94054    2588  464239  2394172  25.46
2010-2019     65-69     0.00898  0.04401  2.70   91466    4025  448071  1929933  21.10
2010-2019     70-74     0.01594  0.07688  2.69   87441    6722  421685  1481862  16.95
2010-2019     75-79     0.02876  0.13483  2.69   80719   10883  378413  1060177  13.13
2010-2019     80-84     0.05345  0.23736  2.64   69835   16576  310123   681764   9.76
2010-2019     85-89     0.09750  0.39332  2.54   53259   20948  214854   371641   6.98
2010-2019     90-94     0.16887  0.58446  2.37   32311   18885  111830   156787   4.85
2010-2019     95-99     0.27392  0.76613  2.12   13427   10286   37553    44957   3.35
2010-2019    100-104    0.41138  0.89155  1.82    3140    2800    6805     7403   2.36
2010-2019    105-109    0.56469  0.95418  1.53     341     325     575      598   1.76
2010-2019    110+       0.68797  1.00000  1.45      16      16      23       23   1.45
2020-2021        0      0.00357  0.00356  0.14  100000     356   99694  8405828  84.06
2020-2021      1-4      0.00016  0.00063  1.51   99644      63  398419  8306133  83.36
2020-2021      5-9      0.00009  0.00043  2.51   99581      43  497798  7907714  79.41
2020-2021     10-14     0.00011  0.00057  2.96   99538      57  497574  7409916  74.44
2020-2021     15-19     0.00022  0.00109  2.75   99481     109  497160  6912342  69.48
2020-2021     20-24     0.00033  0.00166  2.49   99372     165  496446  6415182  64.56
2020-2021     25-29     0.00034  0.00169  2.66   99207     167  495644  5918736  59.66
2020-2021     30-34     0.00046  0.00229  2.70   99040     227  494676  5423093  54.76
2020-2021     35-39     0.00066  0.00329  2.64   98813     325  493296  4928416  49.88
2020-2021     40-44     0.00104  0.00517  2.67   98487     510  491251  4435120  45.03
2020-2021     45-49     0.00162  0.00807  2.67   97978     791  488044  3943869  40.25
2020-2021     50-54     0.00239  0.01187  2.65   97187    1154  483218  3455825  35.56
2020-2021     55-59     0.00331  0.01642  2.65   96033    1577  476459  2972607  30.95
2020-2021     60-64     0.00496  0.02450  2.66   94456    2314  466872  2496148  26.43
